,date,name,code,oneopen,oneclose,twoclose,threeclose,fourclose,Return1,Return2,Return3,Return4
0,20240414.0,通程控股,000419.SZ,4.96,4.44,4.58,4.68,4.76,-0.1,-0.08,-0.06,-0.04
1,20240414.0,兴业银锡,000426.SZ,13.26,13.18,13.36,12.86,13.62,-0.01,0.01,-0.03,0.03
2,20240414.0,甘肃能化,000552.SZ,3.12,3.4,3.46,3.42,3.38,0.09,0.11,0.1,0.08
3,20240414.0,西安旅游,000610.SZ,15.66,12.38,13.5,13.33,13.71,-0.21,-0.14,-0.15,-0.12
4,20240414.0,鲁泰A,000726.SZ,6.33,6.25,6.14,6.17,6.16,-0.01,-0.03,-0.03,-0.03
5,20240407.0,伟星股份,002003.SZ,10.57,10.68,11.44,11.72,11.64,0.01,0.08,0.11,0.1
6,20240407.0,北化股份,002246.SZ,8.29,8.67,8.27,7.88,7.7,0.05,-0.0,-0.05,-0.07
7,20240407.0,华昌化工,002274.SZ,7.9,7.75,7.64,7.84,7.93,-0.02,-0.03,-0.01,0.0
8,20240407.0,理工能科,002322.SZ,13.37,12.92,13.6,12.97,13.28,-0.03,0.02,-0.03,-0.01
9,20240407.0,齐峰新材,002521.SZ,11.12,11.85,11.71,11.56,12.34,0.07,0.05,0.04,0.11
10,20240407.0,周大生,002867.SZ,19.21,18.84,18.12,16.19,15.97,-0.02,-0.06,-0.16,-0.17
11,20240407.0,佛燃能源,002911.SZ,10.26,10.66,10.71,9.76,9.59,0.04,0.04,-0.05,-0.07
12,20240407.0,交建股份,603815.SH,7.57,7.3,6.55,6.51,6.53,-0.04,-0.13,-0.14,-0.14
Col_sum,,,,,,,,,-0.04,0.05,-0.26,-0.15
