002286.SZ--------------------符合 七星落长空 3-2-1-1----------------20210824
002518.SZ--------------------符合 七星落长空 3-2-1-1----------------20210824
600808.SH--------------------符合 七星落长空 3-2-1-1----------------20210824
601058.SH--------------------符合 七星落长空 3-2-1-1----------------20210824
603396.SH--------------------符合 七星落长空 3-2-1-1----------------20210824
603968.SH--------------------符合 七星落长空 3-2-1-1----------------20210824
688388.SH--------------------符合 七星落长空 3-2-1-1----------------20210824
300659.SZ--------------------符合 七星落长空2----3-1-2-1-1 第 9 天买入------------20210824
000155.SZ  10.0077--------- 神龙摆尾3---------20210820
000821.SZ  9.9762--------- 神龙摆尾3---------20210820
002015.SZ  10.0408--------- 神龙摆尾3---------20210820
002610.SZ  10.1754--------- 神龙摆尾3---------20210820
002908.SZ  10.0--------- 神龙摆尾3---------20210820
002915.SZ  10.0--------- 神龙摆尾3---------20210820
600727.SH  10.0--------- 神龙摆尾3---------20210820
601882.SH  10.0--------- 神龙摆尾3---------20210820
603026.SH  9.9996--------- 神龙摆尾3---------20210820
603129.SH  10.0045--------- 神龙摆尾3---------20210820
603260.SH  10.0022--------- 神龙摆尾3---------20210820
-----日均线组合5-13-34 成功了 ----000009.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000408.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000528.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000532.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000659.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000733.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000739.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000821.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000915.SZ ----20210824
-----日均线组合5-13-34 成功了 ----000935.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002049.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002077.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002090.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002097.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002105.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002182.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002246.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002248.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002296.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002420.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002466.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002520.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002531.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002570.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002643.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002709.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002865.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002892.SZ ----20210824
-----日均线组合5-13-34 成功了 ----002903.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300005.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300016.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300017.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300019.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300025.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300032.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300041.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300042.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300069.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300129.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300161.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300205.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300231.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300310.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300329.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300364.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300409.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300414.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300421.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300457.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300488.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300546.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300553.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300605.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300607.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300645.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300661.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300724.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300737.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300745.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300772.SZ ----20210824
-----日均线组合5-13-34 成功了 ----300809.SZ ----20210824
-----日均线组合5-13-34 成功了 ----600098.SH ----20210824
-----日均线组合5-13-34 成功了 ----600222.SH ----20210824
-----日均线组合5-13-34 成功了 ----600246.SH ----20210824
-----日均线组合5-13-34 成功了 ----600353.SH ----20210824
-----日均线组合5-13-34 成功了 ----600399.SH ----20210824
-----日均线组合5-13-34 成功了 ----600438.SH ----20210824
-----日均线组合5-13-34 成功了 ----600499.SH ----20210824
-----日均线组合5-13-34 成功了 ----600512.SH ----20210824
-----日均线组合5-13-34 成功了 ----600532.SH ----20210824
-----日均线组合5-13-34 成功了 ----600610.SH ----20210824
-----日均线组合5-13-34 成功了 ----600728.SH ----20210824
-----日均线组合5-13-34 成功了 ----600765.SH ----20210824
-----日均线组合5-13-34 成功了 ----600804.SH ----20210824
-----日均线组合5-13-34 成功了 ----600851.SH ----20210824
-----日均线组合5-13-34 成功了 ----601011.SH ----20210824
-----日均线组合5-13-34 成功了 ----601608.SH ----20210824
-----日均线组合5-13-34 成功了 ----601636.SH ----20210824
-----日均线组合5-13-34 成功了 ----603026.SH ----20210824
-----日均线组合5-13-34 成功了 ----603042.SH ----20210824
-----日均线组合5-13-34 成功了 ----603066.SH ----20210824
-----日均线组合5-13-34 成功了 ----603081.SH ----20210824
-----日均线组合5-13-34 成功了 ----603218.SH ----20210824
-----日均线组合5-13-34 成功了 ----603220.SH ----20210824
-----日均线组合5-13-34 成功了 ----603367.SH ----20210824
-----日均线组合5-13-34 成功了 ----603535.SH ----20210824
-----日均线组合5-13-34 成功了 ----603578.SH ----20210824
-----日均线组合5-13-34 成功了 ----603583.SH ----20210824
-----日均线组合5-13-34 成功了 ----603617.SH ----20210824
-----日均线组合5-13-34 成功了 ----603659.SH ----20210824
-----日均线组合5-13-34 成功了 ----603678.SH ----20210824
-----日均线组合5-13-34 成功了 ----603685.SH ----20210824
-----日均线组合5-13-34 成功了 ----688116.SH ----20210824
-----日均线组合5-13-34 成功了 ----688188.SH ----20210824
