ts_code,trade_date
000090.SZ,20210628
000100.SZ,20210611
000155.SZ,20210610
000301.SZ,20210623
000428.SZ,20210623
000501.SZ,20210617
000528.SZ,20210623
000619.SZ,20210622
000668.SZ,20210701
000672.SZ,20210701
000722.SZ,20210622
000850.SZ,20210618
000985.SZ,20210622
000999.SZ,20210623
002020.SZ,20210621
002030.SZ,20210618
002044.SZ,20210625
002127.SZ,20210624
002152.SZ,20210611
002173.SZ,20210616
002196.SZ,20210624
002299.SZ,20210622
002318.SZ,20210625
002319.SZ,20210625
002327.SZ,20210621
002333.SZ,20210621
002341.SZ,20210618
002365.SZ,20210618
002378.SZ,20210618
002393.SZ,20210701
002415.SZ,20210610
002440.SZ,20210624
002442.SZ,20210624
002462.SZ,20210701
002463.SZ,20210623
002480.SZ,20210622
002517.SZ,20210621
002530.SZ,20210611
002552.SZ,20210611
002600.SZ,20210618
002624.SZ,20210621
002653.SZ,20210610
002676.SZ,20210617
002681.SZ,20210701
002688.SZ,20210618
002695.SZ,20210701
002697.SZ,20210625
002723.SZ,20210621
002737.SZ,20210616
002763.SZ,20210625
002768.SZ,20210624
002847.SZ,20210701
002912.SZ,20210611
002925.SZ,20210701
002949.SZ,20210622
002951.SZ,20210622
300014.SZ,20210610
300017.SZ,20210628
300024.SZ,20210616
300043.SZ,20210611
300083.SZ,20210621
300149.SZ,20210621
300226.SZ,20210618
300230.SZ,20210621
300246.SZ,20210618
300357.SZ,20210623
300369.SZ,20210611
300373.SZ,20210610
300379.SZ,20210611
300454.SZ,20210610
300465.SZ,20210611
300485.SZ,20210618
300510.SZ,20210611
300592.SZ,20210629
300639.SZ,20210621
300661.SZ,20210610
300674.SZ,20210611
300679.SZ,20210610
300697.SZ,20210610
300713.SZ,20210621
300724.SZ,20210611
300726.SZ,20210611
300743.SZ,20210621
300767.SZ,20210623
300791.SZ,20210622
300802.SZ,20210617
300812.SZ,20210611
600004.SH,20210623
600029.SH,20210624
600053.SH,20210622
600117.SH,20210701
600119.SH,20210701
600120.SH,20210618
600123.SH,20210623
600133.SH,20210622
600163.SH,20210625
600183.SH,20210623
600276.SH,20210623
600298.SH,20210623
600351.SH,20210610
600386.SH,20210622
600395.SH,20210623
600406.SH,20210624
600420.SH,20210621
600461.SH,20210618
600488.SH,20210701
600499.SH,20210618
600530.SH,20210618
600590.SH,20210621
600619.SH,20210621
600645.SH,20210618
600664.SH,20210610
600685.SH,20210621
600689.SH,20210701
600713.SH,20210701
600726.SH,20210618
600732.SH,20210611
600761.SH,20210628
600765.SH,20210621
600803.SH,20210622
600845.SH,20210611
600848.SH,20210701
600970.SH,20210623
600986.SH,20210611
601128.SH,20210701
601326.SH,20210623
601615.SH,20210610
601899.SH,20210701
601933.SH,20210625
601966.SH,20210618
603023.SH,20210622
603079.SH,20210622
603109.SH,20210610
603126.SH,20210618
603156.SH,20210617
603318.SH,20210622
603396.SH,20210617
603515.SH,20210610
603530.SH,20210622
603603.SH,20210618
603678.SH,20210701
603698.SH,20210629
603713.SH,20210701
603797.SH,20210623
603833.SH,20210623
603882.SH,20210610
603903.SH,20210618
603998.SH,20210701
688006.SH,20210617
688015.SH,20210617
