="",代码,名称,开盘涨幅,当日涨幅,近10日最高涨幅,近10日涨幅,琅琊飙升榜,琅琊排行榜(当日),琅琊排行榜(次日),首次封板,最后封板,当日价格,攻击波,回头波,次日开盘涨幅,次日涨幅,开板数,封单量,当日换手,最新五星买卖点,最新红黄白买卖点,最新神秘C点买卖点,最新智能亮点,几天几板,所属题材,涨停原因,流通市值,总市值
="",="300741",华宝股份,0.67%,16.78%,20.02%,12.96%,-22,="1",="23",09:51:48,09:51:48,26.31,16.42%,-2.70%,-1.94%,-3.95%,="1",135手,2.74%,买入: 9天,---,---,RSI金叉 MTM金叉 估值较低, 0天0板,深股通 | 电子烟 | 人造肉 | 烟草,全国“电子烟零售许可证”正式发布。公司为国内香精龙头，旗下拥有“喜登”等品牌；下游客户包括调味品、烟草中烟等,162.04亿,162.04亿
="",="688317",之江生物,8.45%,16.34%,51.21%,14.96%,-1,="2",="3",13:09:37,13:17:57,41.30,12.08%,-3.05%,15.16%,20.00%,="3",542手,17.94%,卖出: 6天,买入: 8天,---,BIAS金叉 MTM金叉 MA(20日线支撑) 估值合理, 0天0板,体外诊断 | 券商重仓 | 融资融券 | 新冠检测 | 专精特新 | 幽门螺旋杆菌 | 新冠治疗 | 肝炎概念,欧美多国爆发猴痘病例。公司产品中有猴痘病毒核酸测定试剂盒（荧光PCR法）,50.50亿,80.41亿
="",="600569",安阳钢铁,0.75%,9.36%,13.11%,1.50%,-9,="3",="12",10:08:59,10:08:59,2.92,8.96%,-0.68%,-2.05%,0.34%,="1",8195手,3.27%,买入: 9天,卖出: 30天,---,估值较高, 0天0板,融资融券,公司是集炼焦、烧结、冶炼、轧材及科研开发为一体的大型钢铁联合企业，钢铁板材占总产品超过70%,69.90亿,83.87亿
="",="600872",中炬高新,0.59%,8.28%,11.97%,10.91%,-14,="4",="18",11:01:48,11:01:48,25.51,7.73%,-1.58%,0.00%,-1.49%,="1",158手,5.27%,买入: 3天,---,---,北向增仓 估值较低, 0天0板,沪股通 | 参股新三板 | 稀土永磁 | 融资融券 | 粤港澳大湾区 | MSCI概念 | 回购概念 | 标普道琼斯A股,国内酱油龙头之一，已布局传统电商和新零售、社区团购以及直播带货,203.22亿,203.22亿
="",="002160",常铝股份,1.06%,8.18%,13.72%,11.35%,-3,="5",="8",14:23:03,14:26:54,4.10,7.33%,-1.68%,1.22%,1.71%,="4",1847手,6.58%,买入: 11天,---,---,BIAS金叉 MTM金叉 估值较低, 0天0板,新能源汽车 | 锂电池 | 特斯拉 | 医疗器械概念 | 新能源车零部件,下游车企加速复工复产。老牌铝板带箔加工企业，公司在汽车行业以提供汽车热交换材料、成套设备及整体解决方案为主，合作伙伴包括Valeo、Behr的全球采购体系，中国重汽、北汽福田、徐工机械等；实控人拟变更为济南市国资委,31.20亿,32.62亿
="",="002127",南极电商,0.77%,8.12%,11.39%,6.29%,-5,="6",="11",14:03:39,14:32:24,5.59,7.92%,-1.76%,0.54%,1.25%,="2",1.34万手,10.00%,买入: 21天,---,买入: 9天,WR金叉 MA(20日线支撑), 0天0板,电商 | 三胎概念 | 深股通 | 跨境电商 | 融资融券 | 新零售 | MSCI概念 | 网络直播 | 长三角一体化 | 标普道琼斯A股 | 网红经济,刘鹤：支持平台经济、民营经济持续健康发展。公司主要为小微电商及供应商提供品牌授权服务，部分业务模式类似SheIn；牵手C&A切入快时尚,111.50亿,137.23亿
T,="003022",联泓新科,2.66%,7.60%,23.79%,13.60%,="2",="7",="5",09:58:06,09:58:36,25.47,5.25%,-2.19%,-2.75%,7.97%,="2",43手,13.82%,买入: 17天,卖出: 1天,---,北向增仓 估值较低, 2天1板,光伏概念 | 深股通 | 锂电池 | 新材料概念 | 可降解塑料,欧盟计划到2025年将光伏发电能力翻一番。公司主要产品为乙烯-醋酸乙烯共聚物（EVA）、聚丙烯薄壁注塑专用料等，应用于塑料、日化、光伏等领域,78.12亿,340.17亿
="",="000682",东方电子,0.00%,7.38%,10.05%,6.44%,-9,="8",="17",13:34:54,13:34:54,6.84,8.40%,-2.43%,1.61%,-1.46%,="1",831手,3.43%,买入: 20天,---,---,KDJ金叉 北向增仓 估值合理, 0天0板,物联网 | 深股通 | 山东国企改革 | 充电桩 | 智能电网 | 基金重仓 | 社保重仓 | 节能环保 | 华为概念 | 电力物联网 | 数据中心 | 储能,中国电力自动化领域的领先企业，公司EMS能量管理系统已拓展应用于新能源和储能业务中,91.70亿,91.71亿
="",="002431",棕榈股份,0.22%,7.22%,22.76%,-20.57%,="7",="9",="2",09:33:15,09:50:30,4.90,6.99%,-2.58%,-10.00%,10.00%,="7",965手,34.04%,卖出: 10天,卖出: 6天,卖出: 6天,---,13天7板(4个一字板),职业教育 | 足球概念 | 土壤治理 | 土地流转 | 水利建设 | 虚拟现实 | 融资融券 | PPP概念 | 雄安新区 | 粤港澳大湾区 | 特色小镇 | 地下管网 | 乡村振兴 | 横琴新区 | 元宇宙 | 数字经济 | 新型城镇化,《关于推进以县城为重要载体的城镇化建设的意见》印发。公司主要业务已涵盖城镇及城市基础设施的规划设计、配套建设、产业策划运营；生态环境治理、土壤修复,71.46亿,72.86亿
="",="300071",华谊嘉信,13.77%,7.19%,20.06%,-10.48%,-11,="10",="21",09:34:39,09:34:39,3.58,2.58%,-10.72%,-1.96%,-1.96%,="1",283手,12.57%,卖出: 7天,---,---,估值较低, 0天0板,壳资源 | 股权转让 | 摘帽 | 资产重组 | 华为概念 | 高商誉 | 抖音,ST公司申请摘帽迎来高峰期。公司5月20日起撤销退市风险警示及其他风险警示,31.85亿,33.02亿
="",="603429",集友股份,-0.41%,6.97%,10.10%,-20.31%,-5,="11",="16",09:52:56,09:52:56,23.63,7.41%,-2.76%,-2.67%,-1.40%,="1",5767手,3.70%,买入: 9天,---,---,BOLL突破下轨 BIAS金叉 估值较低, 0天0板,沪股通 | 基金重仓 | 电子烟 | 烟草,1、国内较早烟用接装纸专业生产厂商之一，主营烟用接装纸、烟用封签纸及电化铝；与安徽中烟签订共建新型烟草制品框架协议，研究方向主要包括电子烟烟液、加热器、雾化器等；
2、2021年净利同比增长91%，拟10转4派2元,88.53亿,89.85亿
="",="603777",来伊份,0.00%,6.87%,9.97%,0.00%,-2,="12",="14",09:53:45,09:53:45,14.47,7.11%,-2.82%,-1.04%,-0.90%,="1",190手,8.70%,卖出: 0天,卖出: 7天,卖出: 7天,估值合理 五星卖点, 0天0板,电商 | 智能物流 | 新零售 | 白酒概念 | 休闲食品 | 大消费 | 回购概念 | 网红经济 | 社区团购,1、公司为休闲食品连锁行业龙头企业；
2、公司全资子公司上海醉爱酒业有限公司于2020年初推出自有品牌酱香型白酒产品,48.70亿,48.73亿
="",="603759",海天股份,1.76%,6.85%,15.69%,8.53%,-6,="13",="19",13:28:37,13:28:37,10.30,6.51%,-2.83%,-1.75%,-1.55%,="1",252手,4.32%,买入: 16天,买入: 7天,---,高管增持 估值较低, 0天0板,固废处理 | 污水处理 | 环保 | PPP概念,西南地区最大民营水务企业之一；公司主营供水业务及污水处理业务，拥有土壤修复业务,20.11亿,47.56亿
