ts_code,trade_date
000059.SZ,20210625
000519.SZ,20210610
000537.SZ,20210624
000590.SZ,20210623
000598.SZ,20210622
000672.SZ,20210617
000721.SZ,20210623
000733.SZ,20210630
000761.SZ,20210623
002004.SZ,20210630
002019.SZ,20210622
002051.SZ,20210621
002066.SZ,20210623
002093.SZ,20210630
002098.SZ,20210630
002111.SZ,20210630
002132.SZ,20210618
002207.SZ,20210611
002233.SZ,20210611
002453.SZ,20210610
002474.SZ,20210610
002531.SZ,20210615
002560.SZ,20210623
002597.SZ,20210624
002602.SZ,20210623
002659.SZ,20210611
002709.SZ,20210622
002713.SZ,20210628
002735.SZ,20210610
002813.SZ,20210610
002830.SZ,20210611
002878.SZ,20210623
002937.SZ,20210630
002940.SZ,20210630
002962.SZ,20210610
300016.SZ,20210630
300033.SZ,20210622
300056.SZ,20210623
300072.SZ,20210610
300120.SZ,20210630
300172.SZ,20210611
300231.SZ,20210623
300271.SZ,20210630
300272.SZ,20210610
300341.SZ,20210610
300377.SZ,20210622
300377.SZ,20210610
300421.SZ,20210622
300435.SZ,20210623
300454.SZ,20210701
300457.SZ,20210623
300681.SZ,20210623
300721.SZ,20210622
300724.SZ,20210623
300773.SZ,20210610
300809.SZ,20210623
600012.SH,20210622
600026.SH,20210622
600080.SH,20210621
600172.SH,20210623
600213.SH,20210623
600222.SH,20210624
600249.SH,20210630
600262.SH,20210622
600308.SH,20210625
600350.SH,20210622
600585.SH,20210625
600780.SH,20210611
600810.SH,20210622
600865.SH,20210618
600977.SH,20210622
600983.SH,20210629
600999.SH,20210623
601066.SH,20210623
601375.SH,20210610
601636.SH,20210615
601788.SH,20210622
601992.SH,20210625
603058.SH,20210630
603103.SH,20210625
603136.SH,20210622
603181.SH,20210623
603229.SH,20210701
603332.SH,20210624
603365.SH,20210701
603379.SH,20210617
603507.SH,20210623
603527.SH,20210621
603689.SH,20210624
603885.SH,20210622
603959.SH,20210622
603991.SH,20210621
688066.SH,20210630
688066.SH,20210615
688078.SH,20210610
688116.SH,20210622
