modecode,modename,info
b1,神4,--------- 神4---------20211129--20211210--北清环能--小树股票池**000803.SZ
b1,神4,--------- 神4---------20211130--20211210--岳阳兴长--强势股票**000819.SZ
b1,神4,--------- 神4---------20211130--20211210--桂林三金**002275.SZ
b11,神3,day3_shiti=0.71--------- 神3-----------涨停板日期:20211208--路畅科技--强势股票**002813.SZ
b4,神2,--下跌横盘-----神2  成功了---涨停板日期20211119 ----20211210--中化国际**600500.SH
b4,神2,--下跌横盘-----神2  成功了---涨停板日期20211119 ----20211210--京城股份**600860.SH
b4,神2,--下跌横盘-----神2  成功了---涨停板日期20211119 ----20211210--高新发展**000628.SZ
b5,早晨之星2,阴线实体=2.28--早晨之星2  成功了20211208--恒铭达**002947.SZ
b6,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20211209--鹏鼎控股**002938.SZ"
b6,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20211209--路畅科技--强势股票**002813.SZ"
b6,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20211209--兔宝宝**002043.SZ"
b6,峰回路转,"峰回路转第3天用软件条件挂单,挂涨停板的收盘价-- 20211209--山河智能--强势股票**002097.SZ"
b7,神1,-----神 1 成功了20211210--湘邮科技**600476.SH
b7,神1,-----神 1 成功了20211210--中广天择**603721.SH
b7,神1,-----神 1 成功了20211210--山东华鹏**603021.SH
b8,早晨之星,阴线实体=2.28--早晨之星  成功了20211208--恒铭达**002947.SZ
b9,龙战于野,阴线实体大于3.6最好:7.49-----龙战于野----20211208--众源新材--强势股票**603527.SH
b9,龙战于野,阴线实体大于3.6最好:2.95-----龙战于野----20211208--福达合金--强势股票**603045.SH
b9,龙战于野,阴线实体大于3.6最好:3.23-----龙战于野----20211208--沃特股份**002886.SZ
b9,龙战于野,阴线实体大于3.6最好:4.24-----龙战于野----20211208--科达制造--强势股票**600499.SH
b9,龙战于野,阴线实体大于3.6最好:3.23-----龙战于野----20211208--神力股份**603819.SH
c10,结界,---结界--20211210--上海石化**600688.SH
