modecode,modename,info
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=8.68--大于7个--换手率=113.2--流通市值=20.0亿--林海股份**600099.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=22.04换手率=82.3--流通市值=314.0亿--华海药业**600521.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=15.34--大于7个--换手率=43.9--流通市值=76.0亿--百利科技**603959.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=27.98换手率=109.3--流通市值=433.0亿--杉杉股份--有钱君股票池**600884.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.1换手率=77.3--流通市值=78.0亿--银轮股份**002126.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.31--大于7个--换手率=36.1--流通市值=47.0亿--天药股份**600488.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=20.38--大于7个--换手率=21.9--流通市值=520.0亿--韵达股份**002120.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.01--大于7个--换手率=70.6--流通市值=181.0亿--双良节能**600481.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.53--大于7个--换手率=82.9--流通市值=70.0亿--国脉科技--小树股票池**002093.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.61--大于7个--换手率=97.9--流通市值=29.0亿--鹭燕医药**002788.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=11.97换手率=77.6--流通市值=176.0亿--江苏国泰**002091.SZ
a3,筹码突破,--筹码突破--20220228--持仓量开始=20211217-结束=20220225--中间值=42.06换手率=19.4--流通市值=39.0亿--恒林股份**603661.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.37--大于7个--换手率=69.9--流通市值=14.0亿--红墙股份**002809.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=12.0换手率=50.7--流通市值=303.0亿--赛轮轮胎**601058.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.63--大于7个--换手率=58.8--流通市值=48.0亿--南京医药**600713.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=4.67--大于7个--换手率=26.7--流通市值=261.0亿--小商品城**600415.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=16.22换手率=45.9--流通市值=132.0亿--东材科技--有钱君股票池**601208.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=21.25--大于7个--换手率=70.0--流通市值=532.0亿--桐昆股份**601233.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=21.97--大于7个--换手率=67.1--流通市值=103.0亿--华宏科技--强势股票--有钱君股票池**002645.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=6.2换手率=61.5--流通市值=44.0亿--上海易连--强势股票**600836.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.6换手率=96.6--流通市值=71.0亿--海利得**002206.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=9.73--大于7个--换手率=95.2--流通市值=22.0亿--第一医药--强势股票**600833.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=25.08--大于7个--换手率=81.0--流通市值=161.0亿--双环传动**002472.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=3.69换手率=34.3--流通市值=44.0亿--云维股份**600725.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=10.06--大于7个--换手率=115.9--流通市值=45.0亿--鲁北化工**600727.SH
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=13.03--大于7个--换手率=70.3--流通市值=34.0亿--嘉事堂**002462.SZ
a3,筹码突破,--筹码突破--20220310--持仓量开始=20211224-结束=20220304--中间值=7.21--大于7个--换手率=114.0--流通市值=12.0亿--上海三毛**600689.SH
