xxxx,00_测试定时任务,"下载数据开始=20220323--,codename null---小树股票池**000001.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.78--周数=8--换手率,218.9--流通市值,66.2亿--,房产服务,皇庭国际**000056.SZ"
a3,筹码突破,"筹码突破--20220323--,电气设备,许继电气**000400.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.44--周数=6--换手率,258.2--流通市值,42.5亿--,化工原料,新金路--强势股票**000510.SZ"
f11,有惊无险2,"-----有惊无险2_2-----20220321--持仓量_周线开始=20220107-结束=20220318--中间值=6.44--周数=6--换手率,258.2--流通市值,42.5亿--,化工原料,新金路--强势股票**000510.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=2.62--周数=9--换手率,61.8--流通市值,93.9亿--,区域地产,荣安地产**000517.SZ"
a3,筹码突破,"筹码突破--20220323--,文教休闲,莱茵体育**000558.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--,文教休闲,莱茵体育**000558.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.79--周数=8--换手率,81.4--流通市值,17.4亿--,通信设备,汇源通信**000586.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=3.26--周数=8--换手率,146.9--流通市值,28.7亿--,区域地产,阳光股份**000608.SZ"
a72,神2pro,"--不是横盘-----神2pro  成功了---涨停板日期20220316 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=2.92--周数=8--换手率,291.1--流通市值,66.2亿--,全国地产,新华联**000620.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=4.55--周数=7--换手率,47.5--流通市值,67.7亿--,食品,西王食品**000639.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.21--周数=6--换手率,801.1--流通市值,77.8亿--,影视音像,湖北广电**000665.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=1.73--周数=9--换手率,159.8--流通市值,50.5亿--,全国地产,美好置业**000667.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.3--周数=10--换手率,48.7--流通市值,60.2亿--,全国地产,中交地产**000736.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=2.72--周数=9--换手率,78.3--流通市值,46.3亿--,全国地产,中国武夷**000797.SZ"
d3,阴错阳差,"--阴错阳差  成功了--20220321--,汽车整车,一汽解放**000800.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.86--周数=6--换手率,229.1--流通市值,29.7亿--,食品,粤桂股份**000833.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=2.88--周数=7--换手率,273.2--流通市值,38.2亿--,通信设备,富通信息**000836.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.62--周数=7--换手率,139.1--流通市值,54.7亿--,化工机械,石化机械**000852.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=2.68--周数=8--换手率,108.6--流通市值,51.3亿--,区域地产,津滨发展**000897.SZ"
a3,筹码突破,"筹码突破--20220323--,建筑工程,中南建设**000961.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=2.8--周数=8--换手率,177.0--流通市值,58.2亿--,区域地产,天保基建**000965.SZ"
a3,筹码突破,"筹码突破--20220323--,房产服务,招商积余**001914.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--,房产服务,招商积余**001914.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.58--周数=7--换手率,45.5--流通市值,35.4亿--,软件服务,金智科技**002090.SZ"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=4.9--周数=6--换手率,54.6--流通市值,46.7亿--,电器仪表,科陆电子**002121.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=8.35--周数=7--换手率,150.6--流通市值,42.5亿--,中成药,莱茵生物**002166.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=9.27--周数=6--换手率,43.9--流通市值,60.6亿--,通信设备,武汉凡谷**002194.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.88--周数=7--换手率,100.2--流通市值,39.7亿--,专用机械,海陆重工**002255.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=11.27--周数=6--换手率,108.0--流通市值,104.5亿--,农药化肥,华昌化工--强势股票**002274.SZ"
a4,短线强庄股,"--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.9--周数=8--换手率,137.8--流通市值,20.5亿--,化工机械,神开股份**002278.SZ"
a3,筹码突破,"筹码突破--20220323--,通信设备,光迅科技**002281.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=3.4--周数=6--换手率,63.4--流通市值,84.4亿--,房产服务,世联行**002285.SZ"
a3,筹码突破,"筹码突破--20220323--,电气设备,太阳电缆**002300.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=10.66--周数=6--换手率,334.1--流通市值,131.5亿--,中成药,众生药业**002317.SZ"
b3,见龙在田5,"--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=10.66--周数=6--换手率,334.1--流通市值,131.5亿--,中成药,众生药业**002317.SZ"
f11,有惊无险2,"-----有惊无险2-1-----20220322--持仓量_周线开始=20220107-结束=20220318--中间值=10.66--周数=6--换手率,334.1--流通市值,131.5亿--,中成药,众生药业**002317.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.4--周数=8--换手率,777.4--流通市值,34.5亿--,化学制药,亚太药业**002370.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=10.11--周数=6--换手率,37.7--流通市值,27.5亿--,塑料,双象股份**002395.SZ"
a3,筹码突破,"筹码突破--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.65--周数=7--换手率,353.7--流通市值,38.0亿--,中成药,汉森制药**002412.SZ"
a72,神2pro,"--不是横盘-----神2pro  成功了---涨停板日期20220310 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.65--周数=7--换手率,353.7--流通市值,38.0亿--,中成药,汉森制药**002412.SZ"
