000301.SZ-------------------G8买2 pro-1--强势股票----东方盛虹
600889.SH-------------------G8买2 pro-1--南京化纤
601969.SH-------------------G8买2 pro-1--强势股票----海南矿业
000009.SZ-------------------G8买2 pro-1--强势股票----中国宝安
000012.SZ-------------------G8买2 pro-1--强势股票----南玻A
000017.SZ-------------------G8买2 pro-1--深中华A
000045.SZ-------------------G8买2 pro-1--深纺织A
000060.SZ-------------------G8买2 pro-1--强势股票----中金岭南
000063.SZ-------------------G8买2 pro-1--中兴通讯
000153.SZ-------------------G8买2 pro-1--丰原药业
000155.SZ-------------------G8买2 pro-1--强势股票----川能动力
000159.SZ-------------------G8买2 pro-1--国际实业
000338.SZ-------------------G8买2 pro-1--潍柴动力
000408.SZ-------------------G8买2 pro-1--强势股票----藏格控股
000420.SZ-------------------G8买2 pro-1--强势股票----吉林化纤
000422.SZ-------------------G8买2 pro-1--强势股票----湖北宜化
000426.SZ-------------------G8买2 pro-1--兴业矿业
000498.SZ-------------------G8买2 pro-1--强势股票----山东路桥
000506.SZ-------------------G8买2 pro-1--中润资源
000507.SZ-------------------G8买2 pro-1--强势股票----珠海港
000510.SZ-------------------G8买2 pro-1--新金路
000519.SZ-------------------G8买2 pro-1--强势股票----中兵红箭
000532.SZ-------------------G8买2 pro-1--强势股票----华金资本
000534.SZ-------------------G8买2 pro-1--强势股票----万泽股份
000545.SZ-------------------G8买2 pro-1--金浦钛业
000551.SZ-------------------G8买2 pro-1--创元科技
000552.SZ-------------------G8买2 pro-1--强势股票----靖远煤电
000553.SZ-------------------G8买2 pro-1--安道麦A
000565.SZ-------------------G8买2 pro-1--渝三峡A
000567.SZ-------------------G8买2 pro-1--强势股票----海德股份
000570.SZ-------------------G8买2 pro-1--苏常柴A
000572.SZ-------------------G8买2 pro-1--海马汽车
000573.SZ-------------------G8买2 pro-1--粤宏远A
000576.SZ-------------------G8买2 pro-1--强势股票----甘化科工
000591.SZ-------------------G8买2 pro-1--太阳能
000598.SZ-------------------G8买2 pro-1--强势股票----兴蓉环境
000612.SZ-------------------G8买2 pro-1--焦作万方
000626.SZ-------------------G8买2 pro-1--远大控股
000629.SZ-------------------G8买2 pro-1--强势股票----攀钢钒钛
000630.SZ-------------------G8买2 pro-1--强势股票----铜陵有色
000635.SZ-------------------G8买2 pro-1--英力特
000636.SZ-------------------G8买2 pro-1--风华高科
000655.SZ-------------------G8买2 pro-1--金岭矿业
000657.SZ-------------------G8买2 pro-1--中钨高新
000659.SZ-------------------G8买2 pro-1--强势股票----珠海中富
