000001.SZ-----鱼跃龙门  佛系翻倍-------------平安银行
000014.SZ-----鱼跃龙门  佛系翻倍-------------沙河股份
000027.SZ-----鱼跃龙门  佛系翻倍-------------深圳能源
000036.SZ-----鱼跃龙门  佛系翻倍-------------华联控股
000040.SZ-----鱼跃龙门  佛系翻倍-------------东旭蓝天
000055.SZ-----鱼跃龙门  佛系翻倍-------------方大集团
000058.SZ-----鱼跃龙门  佛系翻倍-------------深赛格
000069.SZ-----鱼跃龙门  佛系翻倍-------------华侨城A
000078.SZ-----鱼跃龙门  佛系翻倍-------------海王生物
000090.SZ-----鱼跃龙门  佛系翻倍-------------天健集团
000096.SZ-----鱼跃龙门  佛系翻倍-------------广聚能源
000157.SZ-----鱼跃龙门  佛系翻倍-------------中联重科
000158.SZ-----鱼跃龙门  佛系翻倍-------------常山北明
000166.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----申万宏源
000400.SZ-----鱼跃龙门  佛系翻倍-------------许继电气
000413.SZ-----鱼跃龙门  佛系翻倍-------------东旭光电
000420.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----吉林化纤
000421.SZ-----鱼跃龙门  佛系翻倍-------------南京公用
000423.SZ-----鱼跃龙门  佛系翻倍-------------东阿阿胶
000488.SZ-----鱼跃龙门  佛系翻倍-------------晨鸣纸业
000501.SZ-----鱼跃龙门  佛系翻倍-------------鄂武商A
000514.SZ-----鱼跃龙门  佛系翻倍-------------渝开发
000539.SZ-----鱼跃龙门  佛系翻倍-------------粤电力A
000543.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----皖能电力
000544.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中原环保
000548.SZ-----鱼跃龙门  佛系翻倍-------------湖南投资
000551.SZ-----鱼跃龙门  佛系翻倍-------------创元科技
000552.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----靖远煤电
000554.SZ-----鱼跃龙门  佛系翻倍-------------泰山石油
000563.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----陕国投A
000567.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----海德股份
000573.SZ-----鱼跃龙门  佛系翻倍-------------粤宏远A
000598.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----兴蓉环境
000600.SZ-----鱼跃龙门  佛系翻倍-------------建投能源
000601.SZ-----鱼跃龙门  佛系翻倍-------------韶能股份
000605.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----渤海股份
000607.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----华媒控股
000620.SZ-----鱼跃龙门  佛系翻倍-------------新华联
000623.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----吉林敖东
000628.SZ-----鱼跃龙门  佛系翻倍-------------高新发展
000631.SZ-----鱼跃龙门  佛系翻倍-------------顺发恒业
000635.SZ-----鱼跃龙门  佛系翻倍-------------英力特
000652.SZ-----鱼跃龙门  佛系翻倍-------------泰达股份
000667.SZ-----鱼跃龙门  佛系翻倍-------------美好置业
000685.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中山公用
000686.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----东北证券
000701.SZ-----鱼跃龙门  佛系翻倍-------------厦门信达
000705.SZ-----鱼跃龙门  佛系翻倍-------------浙江震元
000722.SZ-----鱼跃龙门  佛系翻倍-------------湖南发展
000726.SZ-----鱼跃龙门  佛系翻倍-------------鲁泰A
000731.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----四川美丰
000732.SZ-----鱼跃龙门  佛系翻倍-------------泰禾集团
000737.SZ-----鱼跃龙门  佛系翻倍-------------南风化工
000739.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----普洛药业
000753.SZ-----鱼跃龙门  佛系翻倍-------------漳州发展
000767.SZ-----鱼跃龙门  佛系翻倍-------------晋控电力
000768.SZ-----鱼跃龙门  佛系翻倍-------------中航西飞
000776.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----广发证券
000777.SZ-----鱼跃龙门  佛系翻倍-------------中核科技
000782.SZ-----鱼跃龙门  佛系翻倍-------------美达股份
000783.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----长江证券
000785.SZ-----鱼跃龙门  佛系翻倍-------------居然之家
000790.SZ-----鱼跃龙门  佛系翻倍-------------华神科技
000791.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----甘肃电投
000809.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----铁岭新城
000816.SZ-----鱼跃龙门  佛系翻倍-------------智慧农业
000819.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----岳阳兴长
000826.SZ-----鱼跃龙门  佛系翻倍-------------启迪环境
000852.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----石化机械
000869.SZ-----鱼跃龙门  佛系翻倍-------------张裕A
000875.SZ-----鱼跃龙门  佛系翻倍-------------吉电股份
000880.SZ-----鱼跃龙门  佛系翻倍-------------潍柴重机
000885.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----城发环境
000886.SZ-----鱼跃龙门  佛系翻倍-------------海南高速
000897.SZ-----鱼跃龙门  佛系翻倍-------------津滨发展
000899.SZ-----鱼跃龙门  佛系翻倍-------------赣能股份
000908.SZ-----鱼跃龙门  佛系翻倍-------------景峰医药
000919.SZ-----鱼跃龙门  佛系翻倍-------------金陵药业
000922.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----佳电股份
000926.SZ-----鱼跃龙门  佛系翻倍-------------福星股份
000927.SZ-----鱼跃龙门  佛系翻倍-------------中国铁物
000937.SZ-----鱼跃龙门  佛系翻倍-------------冀中能源
000958.SZ-----鱼跃龙门  佛系翻倍-------------东方能源
000965.SZ-----鱼跃龙门  佛系翻倍-------------天保基建
000966.SZ-----鱼跃龙门  佛系翻倍-------------长源电力
000993.SZ-----鱼跃龙门  佛系翻倍-------------闽东电力
000998.SZ-----鱼跃龙门  佛系翻倍-------------隆平高科
002004.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----华邦健康
002009.SZ-----鱼跃龙门  佛系翻倍-------------天奇股份
002019.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----亿帆医药
002022.SZ-----鱼跃龙门  佛系翻倍-------------科华生物
002028.SZ-----鱼跃龙门  佛系翻倍-------------思源电气
002039.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----黔源电力
002041.SZ-----鱼跃龙门  佛系翻倍-------------登海种业
002046.SZ-----鱼跃龙门  佛系翻倍-------------国机精工
002060.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----粤水电
002062.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----宏润建设
002063.SZ-----鱼跃龙门  佛系翻倍-------------远光软件
002067.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----景兴纸业
002085.SZ-----鱼跃龙门  佛系翻倍-------------万丰奥威
002087.SZ-----鱼跃龙门  佛系翻倍-------------新野纺织
002088.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----鲁阳节能
002096.SZ-----鱼跃龙门  佛系翻倍-------------南岭民爆
002100.SZ-----鱼跃龙门  佛系翻倍-------------天康生物
002104.SZ-----鱼跃龙门  佛系翻倍-------------恒宝股份
002105.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----信隆健康
002116.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中国海诚
002118.SZ-----鱼跃龙门  佛系翻倍-------------紫鑫药业
002124.SZ-----鱼跃龙门  佛系翻倍-------------天邦股份
002133.SZ-----鱼跃龙门  佛系翻倍-------------广宇集团
002139.SZ-----鱼跃龙门  佛系翻倍-------------拓邦股份
002140.SZ-----鱼跃龙门  佛系翻倍-------------东华科技
002148.SZ-----鱼跃龙门  佛系翻倍-------------北纬科技
002157.SZ-----鱼跃龙门  佛系翻倍-------------正邦科技
002166.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----莱茵生物
002170.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----芭田股份
002182.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----云海金属
002184.SZ-----鱼跃龙门  佛系翻倍-------------海得控制
002195.SZ-----鱼跃龙门  佛系翻倍-------------二三四五
002198.SZ-----鱼跃龙门  佛系翻倍-------------嘉应制药
002202.SZ-----鱼跃龙门  佛系翻倍-------------金风科技
002205.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----国统股份
002215.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----诺普信
002216.SZ-----鱼跃龙门  佛系翻倍-------------三全食品
002218.SZ-----鱼跃龙门  佛系翻倍-------------拓日新能
002221.SZ-----鱼跃龙门  佛系翻倍-------------东华能源
002229.SZ-----鱼跃龙门  佛系翻倍-------------鸿博股份
002230.SZ-----鱼跃龙门  佛系翻倍-------------科大讯飞
002234.SZ-----鱼跃龙门  佛系翻倍-------------民和股份
002236.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----大华股份
002242.SZ-----鱼跃龙门  佛系翻倍-------------九阳股份
002261.SZ-----鱼跃龙门  佛系翻倍-------------拓维信息
002262.SZ-----鱼跃龙门  佛系翻倍-------------恩华药业
002267.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----陕天然气
002269.SZ-----鱼跃龙门  佛系翻倍-------------美邦服饰
002273.SZ-----鱼跃龙门  佛系翻倍-------------水晶光电
002275.SZ-----鱼跃龙门  佛系翻倍-------------桂林三金
002287.SZ-----鱼跃龙门  佛系翻倍-------------奇正藏药
002290.SZ-----鱼跃龙门  佛系翻倍-------------禾盛新材
002294.SZ-----鱼跃龙门  佛系翻倍-------------信立泰
002303.SZ-----鱼跃龙门  佛系翻倍-------------美盈森
002305.SZ-----鱼跃龙门  佛系翻倍-------------南国置业
002317.SZ-----鱼跃龙门  佛系翻倍-------------众生药业
002322.SZ-----鱼跃龙门  佛系翻倍-------------理工环科
002326.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----永太科技
002330.SZ-----鱼跃龙门  佛系翻倍-------------得利斯
002332.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----仙琚制药
002339.SZ-----鱼跃龙门  佛系翻倍-------------积成电子
002342.SZ-----鱼跃龙门  佛系翻倍-------------巨力索具
002344.SZ-----鱼跃龙门  佛系翻倍-------------海宁皮城
002350.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----北京科锐
002374.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中锐股份
002375.SZ-----鱼跃龙门  佛系翻倍-------------亚厦股份
002380.SZ-----鱼跃龙门  佛系翻倍-------------科远智慧
002385.SZ-----鱼跃龙门  佛系翻倍-------------大北农
002391.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----长青股份
002394.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----联发股份
002420.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----毅昌股份
002433.SZ-----鱼跃龙门  佛系翻倍-------------太安堂
002456.SZ-----鱼跃龙门  佛系翻倍-------------欧菲光
002458.SZ-----鱼跃龙门  佛系翻倍-------------益生股份
002463.SZ-----鱼跃龙门  佛系翻倍-------------沪电股份
002471.SZ-----鱼跃龙门  佛系翻倍-------------中超控股
002475.SZ-----鱼跃龙门  佛系翻倍-------------立讯精密
002479.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----富春环保
002487.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----大金重工
002489.SZ-----鱼跃龙门  佛系翻倍-------------浙江永强
002490.SZ-----鱼跃龙门  佛系翻倍-------------山东墨龙
002494.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----华斯股份
002495.SZ-----鱼跃龙门  佛系翻倍-------------佳隆股份
002498.SZ-----鱼跃龙门  佛系翻倍-------------汉缆股份
002500.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----山西证券
002503.SZ-----鱼跃龙门  佛系翻倍-------------搜于特
002521.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----齐峰新材
002523.SZ-----鱼跃龙门  佛系翻倍-------------天桥起重
002528.SZ-----鱼跃龙门  佛系翻倍-------------英飞拓
002529.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----海源复材
002531.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----天顺风能
002534.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----杭锅股份
002539.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----云图控股
