000021.SZ-----鱼跃龙门  佛系翻倍-------------深科技
000049.SZ-----鱼跃龙门  佛系翻倍-------------德赛电池
000055.SZ-----鱼跃龙门  佛系翻倍-------------方大集团
000062.SZ-----鱼跃龙门  佛系翻倍-------------深圳华强
000404.SZ-----鱼跃龙门  佛系翻倍-------------长虹华意
000423.SZ-----鱼跃龙门  佛系翻倍-------------东阿阿胶
000559.SZ-----鱼跃龙门  佛系翻倍-------------万向钱潮
000567.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----海德股份
000598.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----兴蓉环境
000607.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----华媒控股
000726.SZ-----鱼跃龙门  佛系翻倍-------------鲁泰A
000727.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----冠捷科技
000729.SZ-----鱼跃龙门  佛系翻倍-------------燕京啤酒
000733.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----振华科技
000738.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----航发控制
000790.SZ-----鱼跃龙门  佛系翻倍-------------华神科技
000795.SZ-----鱼跃龙门  佛系翻倍-------------英洛华
000801.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----四川九洲
000810.SZ-----鱼跃龙门  佛系翻倍-------------创维数字
000811.SZ-----鱼跃龙门  佛系翻倍-------------冰轮环境
000823.SZ-----鱼跃龙门  佛系翻倍-------------超声电子
000948.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----南天信息
000969.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----安泰科技
000970.SZ-----鱼跃龙门  佛系翻倍-------------中科三环
000973.SZ-----鱼跃龙门  佛系翻倍-------------佛塑科技
000977.SZ-----鱼跃龙门  佛系翻倍-------------浪潮信息
002003.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----伟星股份
002013.SZ-----鱼跃龙门  佛系翻倍-------------中航机电
002017.SZ-----鱼跃龙门  佛系翻倍-------------东信和平
002019.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----亿帆医药
002020.SZ-----鱼跃龙门  佛系翻倍-------------京新药业
002022.SZ-----鱼跃龙门  佛系翻倍-------------科华生物
002028.SZ-----鱼跃龙门  佛系翻倍-------------思源电气
002030.SZ-----鱼跃龙门  佛系翻倍-------------达安基因
002036.SZ-----鱼跃龙门  佛系翻倍-------------联创电子
002041.SZ-----鱼跃龙门  佛系翻倍-------------登海种业
002056.SZ-----鱼跃龙门  佛系翻倍-------------横店东磁
002073.SZ-----鱼跃龙门  佛系翻倍-------------软控股份
002074.SZ-----鱼跃龙门  佛系翻倍-------------国轩高科
