--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20190416--code_name is null-300292.SZ**300292.SZ
--筹码突破  成功了--20220304--英特集团**000411.SZ
--筹码突破  成功了--20220304--南华生物**000504.SZ
--筹码突破  成功了--20220304--贝瑞基因**000710.SZ
--筹码突破  成功了--20220304--中广核技**000881.SZ
--筹码突破  成功了--20220304--重药控股**000950.SZ
--筹码突破  成功了--20220304--天奇股份**002009.SZ
--筹码突破  成功了--20220304--悦心健康**002162.SZ
--筹码突破  成功了--20220304--北化股份**002246.SZ
--筹码突破  成功了--20220304--长江健康**002435.SZ
--筹码突破  成功了--20220304--嘉事堂**002462.SZ
--筹码突破  成功了--20220304--榕基软件**002474.SZ
--筹码突破  成功了--20220304--中坚科技--强势股票**002779.SZ
--筹码突破  成功了--20220304--赛隆药业**002898.SZ
--筹码突破  成功了--20220304--宁波联合**600051.SH
--筹码突破  成功了--20220304--长城电工**600192.SH
--筹码突破  成功了--20220304--开开实业**600272.SH
--筹码突破  成功了--20220304--昂立教育**600661.SH
--筹码突破  成功了--20220304--祥龙电业**600769.SH
--筹码突破  成功了--20220304--云煤能源**600792.SH
--筹码突破  成功了--20220304--宁波海运**600798.SH
--筹码突破  成功了--20220304--第一医药--强势股票**600833.SH
--筹码突破  成功了--20220304--江南水务--强势股票**601199.SH
--筹码突破  成功了--20220304--爱婴室**603214.SH
--筹码突破  成功了--20220304--柳药股份**603368.SH
--筹码突破  成功了--20220304--美诺华**603538.SH
--筹码突破  成功了--20220228--恒林股份**603661.SH
--筹码突破  成功了--20220304--大理药业**603963.SH
--筹码突破 看周线 然后看日线--20220304--英特集团**000411.SZ
--筹码突破 看周线 然后看日线--20220304--南华生物**000504.SZ
--筹码突破 看周线 然后看日线--20220304--贝瑞基因**000710.SZ
--筹码突破 看周线 然后看日线--20220304--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304--天奇股份**002009.SZ
--筹码突破 看周线 然后看日线--20220304--悦心健康**002162.SZ
--筹码突破 看周线 然后看日线--20220304--北化股份**002246.SZ
--筹码突破 看周线 然后看日线--20220304--长江健康**002435.SZ
--筹码突破 看周线 然后看日线--20220304--嘉事堂**002462.SZ
--筹码突破 看周线 然后看日线--20220304--榕基软件**002474.SZ
--筹码突破 看周线 然后看日线--20220304--中坚科技--强势股票**002779.SZ
--筹码突破 看周线 然后看日线--20220304--赛隆药业**002898.SZ
--筹码突破 看周线 然后看日线--20220304--宁波联合**600051.SH
--筹码突破 看周线 然后看日线--20220304--长城电工**600192.SH
--筹码突破 看周线 然后看日线--20220304--开开实业**600272.SH
--筹码突破 看周线 然后看日线--20220304--昂立教育**600661.SH
--筹码突破 看周线 然后看日线--20220304--祥龙电业**600769.SH
--筹码突破 看周线 然后看日线--20220304--云煤能源**600792.SH
--筹码突破 看周线 然后看日线--20220304--宁波海运**600798.SH
--筹码突破 看周线 然后看日线--20220304--第一医药--强势股票**600833.SH
--筹码突破 看周线 然后看日线--20220304--江南水务--强势股票**601199.SH
--筹码突破 看周线 然后看日线--20220304--爱婴室**603214.SH
--筹码突破 看周线 然后看日线--20220304--柳药股份**603368.SH
--筹码突破 看周线 然后看日线--20220304--美诺华**603538.SH
--筹码突破 看周线 然后看日线--20220228--恒林股份**603661.SH
--筹码突破 看周线 然后看日线--20220304--大理药业**603963.SH
--筹码突破 看周线 然后看日线--20220304--英特集团**000411.SZ
--筹码突破 看周线 然后看日线--20220304--南华生物**000504.SZ
--筹码突破 看周线 然后看日线--20220304--贝瑞基因**000710.SZ
--筹码突破 看周线 然后看日线--20220304--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304--天奇股份**002009.SZ
--筹码突破 看周线 然后看日线--20220304--悦心健康**002162.SZ
--筹码突破 看周线 然后看日线--20220304--北化股份**002246.SZ
--筹码突破 看周线 然后看日线--20220304--长江健康**002435.SZ
--筹码突破 看周线 然后看日线--20220304--嘉事堂**002462.SZ
--筹码突破 看周线 然后看日线--20220304--榕基软件**002474.SZ
--筹码突破 看周线 然后看日线--20220304--金达威**002626.SZ
--筹码突破 看周线 然后看日线--20220304--中坚科技--强势股票**002779.SZ
--筹码突破 看周线 然后看日线--20220304--赛隆药业**002898.SZ
--筹码突破 看周线 然后看日线--20220304--宁波联合**600051.SH
--筹码突破 看周线 然后看日线--20220304--长城电工**600192.SH
--筹码突破 看周线 然后看日线--20220304--开开实业**600272.SH
--筹码突破 看周线 然后看日线--20220304--山煤国际**600546.SH
--筹码突破 看周线 然后看日线--20220304--新华医疗**600587.SH
--筹码突破 看周线 然后看日线--20220304--浦东金桥**600639.SH
--筹码突破 看周线 然后看日线--20220304--昂立教育**600661.SH
--筹码突破 看周线 然后看日线--20220304--祥龙电业**600769.SH
--筹码突破 看周线 然后看日线--20220304--云煤能源**600792.SH
--筹码突破 看周线 然后看日线--20220304--宁波海运**600798.SH
--筹码突破 看周线 然后看日线--20220304--第一医药--强势股票**600833.SH
--筹码突破 看周线 然后看日线--20220304--江南水务--强势股票**601199.SH
--筹码突破 看周线 然后看日线--20220225--德邦股份--强势股票**603056.SH
--筹码突破 看周线 然后看日线--20220304--爱婴室**603214.SH
--筹码突破 看周线 然后看日线--20220304--柳药股份**603368.SH
--筹码突破 看周线 然后看日线--20220304--美诺华**603538.SH
--筹码突破 看周线 然后看日线--20220228--恒林股份**603661.SH
--筹码突破 看周线 然后看日线--20220304--大理药业**603963.SH
--筹码突破 看周线 然后看日线--20220304--英特集团**000411.SZ
--筹码突破 看周线 然后看日线--20220304--南华生物**000504.SZ
--筹码突破 看周线 然后看日线--20220304--贝瑞基因**000710.SZ
--筹码突破 看周线 然后看日线--20220304--英特集团**000411.SZ
--筹码突破 看周线 然后看日线--20220304--南华生物**000504.SZ
--筹码突破 看周线 然后看日线--20220304--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304--悦心健康**002162.SZ
--筹码突破 看周线 然后看日线--20220304--嘉事堂**002462.SZ
--筹码突破 看周线 然后看日线--20220304--榕基软件**002474.SZ
--筹码突破 看周线 然后看日线--20220304--金达威**002626.SZ
--筹码突破 看周线 然后看日线--20220304--中坚科技--强势股票**002779.SZ
--筹码突破 看周线 然后看日线--20220304--宁波联合**600051.SH
--筹码突破 看周线 然后看日线--20220304--山煤国际**600546.SH
--筹码突破 看周线 然后看日线--20220304--浦东金桥**600639.SH
--筹码突破 看周线 然后看日线--20220304--昂立教育**600661.SH
--筹码突破 看周线 然后看日线--20220304--祥龙电业**600769.SH
--筹码突破 看周线 然后看日线--20220304--宁波海运**600798.SH
--筹码突破 看周线 然后看日线--20220304--第一医药--强势股票**600833.SH
--筹码突破 看周线 然后看日线--20220304--爱婴室**603214.SH
--筹码突破 看周线 然后看日线--20220304--大理药业**603963.SH
--筹码突破 看周线 然后看日线--20220304----中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304----重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304----悦心健康**002162.SZ
--筹码突破 看周线 然后看日线--20220304----嘉事堂**002462.SZ
--筹码突破 看周线 然后看日线--20220304----榕基软件**002474.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--悦心健康**002162.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304--sssss--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304222--sssss--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304222--sssss--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304222--sssss--悦心健康**002162.SZ
--筹码突破 看周线 然后看日线--20220304筹码突破--sssss--中广核技**000881.SZ
--筹码突破 看周线 然后看日线--20220304筹码突破--sssss--重药控股**000950.SZ
--筹码突破 看周线 然后看日线--20220304筹码突破----持仓量_周线 看周线 然后看日线--开始=20211217-结束=20220225--中间值=9.6--大于7个----中广核技**000881.SZ
