,ts_code,trade_date,close,open,high,low,vol,amount
0,000413.SZ,20211130,2.18,2.0,2.24,1.99,982579822.0,2069513115.64
1,000413.SZ,20211029,1.98,2.24,2.26,1.95,745796179.0,1565102559.27
2,000413.SZ,20210930,2.22,2.2,2.62,2.13,2835700325.0,6701079309.94
3,000413.SZ,20210831,2.21,2.06,2.31,2.05,1649739431.0,3628217807.02
4,000413.SZ,20210730,2.06,2.08,2.38,1.92,1914387461.0,4165983129.29
5,000413.SZ,20210630,2.08,1.96,2.22,1.94,1290001053.0,2698075611.34
6,000413.SZ,20210531,1.96,1.9,2.02,1.88,520629872.0,1022286784.61
7,000413.SZ,20210430,1.9,2.08,2.22,1.85,848639075.0,1734551529.55
8,000413.SZ,20210331,2.09,2.03,2.26,2.01,1032408928.0,2164733997.64
9,000413.SZ,20210226,2.03,2.05,2.2,1.71,1024763427.0,1990085786.99
10,000413.SZ,20210129,2.16,2.56,2.59,2.13,1343464853.0,3197649492.05
11,000413.SZ,20201231,2.56,2.58,2.93,2.49,2142802044.0,5842636169.82
12,000413.SZ,20201130,2.57,2.73,2.85,2.49,1174705408.0,3129559099.85
13,000413.SZ,20201030,2.73,3.06,3.21,2.72,927407324.0,2786240881.25
14,000413.SZ,20200930,3.03,3.12,3.38,2.88,2227786715.0,7035671837.2
15,000413.SZ,20200831,3.14,2.8,3.78,2.79,4112044723.0,13250277269.59
16,000413.SZ,20200731,2.8,2.67,3.36,2.62,3450402572.0,10133386795.88
17,000413.SZ,20200630,2.67,2.78,3.03,2.65,1483584742.0,4189306690.34
18,000413.SZ,20200529,2.77,2.74,2.97,2.62,1426522323.0,3964861538.92
19,000413.SZ,20200430,2.78,2.99,3.24,2.61,1505020895.0,4474614410.35
20,000413.SZ,20200331,3.0,3.65,3.97,2.98,3276046001.0,11418019699.04
21,000413.SZ,20200228,3.64,2.75,4.43,2.48,5797537786.0,20314951477.5
22,000413.SZ,20200123,3.05,3.38,3.62,3.0,2542135824.0,8682431524.54
23,000413.SZ,20191231,3.36,4.32,4.32,3.06,3905068410.0,13352001985.9
24,000413.SZ,20191129,4.8,4.76,5.14,4.73,779187916.0,3804342480.97
25,000413.SZ,20191031,4.77,5.75,5.81,4.75,1584049200.0,8395893934.54
26,000413.SZ,20190930,5.68,4.56,5.96,4.5,3698831284.0,20056418338.82
27,000413.SZ,20190830,4.55,4.8,4.92,4.28,1201913534.0,5593498570.76
28,000413.SZ,20190731,4.82,5.26,5.47,4.76,1315763053.0,6680674404.37
29,000413.SZ,20190628,5.14,4.99,5.32,4.78,1224448381.0,6222237876.18
30,000413.SZ,20190531,5.0,5.99,6.13,4.58,2408512569.0,12834321860.02
31,000413.SZ,20190430,6.17,6.08,7.58,5.78,4127698639.0,27206798196.14
32,000413.SZ,20190329,6.04,5.74,6.84,5.59,4032282062.0,25075129747.99
33,000413.SZ,20190228,5.67,4.12,6.09,4.12,3573149341.0,19219278253.87
34,000413.SZ,20190131,4.1,4.54,5.04,4.03,1238668523.0,5707100184.71
35,000413.SZ,20181228,4.5,4.85,5.05,4.47,711602034.0,3421006783.27
36,000413.SZ,20181130,4.7,4.72,5.25,4.56,1553969782.0,7578186451.46
37,000413.SZ,20181031,4.71,5.35,5.36,4.07,1270063115.0,5868741395.05
38,000413.SZ,20180928,5.42,5.35,5.48,5.21,527362287.0,2827026601.15
39,000413.SZ,20180831,5.36,6.09,6.12,5.3,837673466.0,4666772264.13
40,000413.SZ,20180731,6.08,6.06,6.43,5.57,1223684931.0,7404835114.43
41,000413.SZ,20180629,6.06,7.52,7.57,5.7,974087702.0,6453906575.03
42,000413.SZ,20180531,7.59,7.83,8.59,7.4,1321380415.0,10662480436.99
43,000413.SZ,20180427,7.83,7.74,8.19,7.2,861896277.0,6663547969.98
44,000413.SZ,20180330,7.74,8.08,8.59,7.02,881086274.0,7132341196.9
45,000413.SZ,20180228,8.22,8.14,8.31,7.5,630244164.0,4974321749.31
46,000413.SZ,20180131,8.17,9.39,9.78,8.01,1165188068.0,10679733934.03
47,000413.SZ,20171229,9.38,9.54,9.9,9.21,896430388.0,8516790012.54
48,000413.SZ,20171130,9.54,10.33,10.93,9.26,1572759440.0,16128422304.64
49,000413.SZ,20171031,10.34,11.45,11.68,10.09,1646653722.0,18146666040.42
50,000413.SZ,20170929,11.32,10.17,11.65,10.13,3487518517.0,38333934460.05
51,000413.SZ,20170831,10.18,11.46,11.65,9.91,1542586781.0,16659752391.35
52,000413.SZ,20170731,11.56,11.16,12.47,10.28,3013711089.0,34482411872.48
53,000413.SZ,20170630,11.22,10.07,11.35,9.66,1883745344.0,20065269719.9
54,000413.SZ,20170531,10.17,10.5,10.77,9.61,1106613221.0,11229587054.55
55,000413.SZ,20170428,10.53,12.23,12.68,10.03,2121224988.0,24737752426.85
56,000413.SZ,20170331,11.34,11.23,12.3,11.23,592575978.0,6967066982.33
57,000413.SZ,20170126,10.21,11.35,11.71,9.65,1011373911.0,11012248434.6
58,000413.SZ,20161230,11.26,12.96,13.88,11.02,1974699025.0,23859811052.49
59,000413.SZ,20161130,12.94,13.47,14.85,12.81,2658660016.0,36491570001.49
60,000413.SZ,20161031,13.39,14.65,15.68,13.26,2103052326.0,30849128276.48
61,000413.SZ,20160930,14.51,14.41,17.47,14.22,5595584840.0,87542417347.97
62,000413.SZ,20160831,14.52,11.96,15.97,11.24,6531055273.0,91855594885.55
63,000413.SZ,20160729,12.03,8.54,14.64,8.39,3983189122.0,45492468512.28
64,000413.SZ,20160630,8.59,7.9,8.89,7.53,1454122167.0,12053303046.52
65,000413.SZ,20160531,7.92,7.58,8.06,6.99,732115035.0,5518786350.51
66,000413.SZ,20160429,7.57,7.76,8.57,7.35,903311599.0,7192115889.62
67,000413.SZ,20160331,7.72,6.85,7.94,6.71,1206717332.0,9110095081.86
68,000413.SZ,20160229,6.74,6.4,7.64,6.38,722594062.0,5149422887.99
69,000413.SZ,20160129,6.12,9.1,9.11,5.7,654227526.0,4619126009.57
70,000413.SZ,20151231,9.08,10.5,10.78,8.99,1248553664.0,12062921796.85
71,000413.SZ,20151130,10.32,8.54,10.6,8.31,2006845277.0,18974721376.44
72,000413.SZ,20151030,8.65,7.54,9.06,7.45,1450643651.0,12226245269.61
73,000413.SZ,20150930,7.32,7.62,8.4,6.59,1400217058.0,10706434577.44
74,000413.SZ,20150831,7.62,8.38,10.55,6.93,1911185209.0,17389314080.53
75,000413.SZ,20150731,8.46,9.75,10.27,7.56,1959763366.0,17732809602.87
76,000413.SZ,20150630,9.78,12.99,14.8,8.24,3045830419.0,39365882690.93
77,000413.SZ,20150529,12.83,11.8,14.96,10.75,2753605055.0,34321765377.75
78,000413.SZ,20150430,11.79,11.8,13.6,11.38,3274894908.0,40455527196.14
79,000413.SZ,20150331,11.8,8.22,12.77,8.18,4786192918.0,52110069118.57
80,000413.SZ,20150227,8.18,7.98,8.27,7.43,807942808.0,6392183326.98
81,000413.SZ,20150130,8.02,8.44,9.28,8.01,444633741.0,3815250306.9
