trade_date,open,close,high,low
2021-12-31,7.28,7.75,8.05,7.28
2021-11-30,7.4,7.3,7.5,7.15
2021-10-31,8.12,7.44,8.14,7.34
2021-09-30,7.68,7.9,9.52,7.68
2021-08-31,7.1077,7.63,7.63,7.0592
2021-07-31,7.2047,7.1271,7.2726,6.9526
2021-06-30,7.417999999999999,7.2047,7.4374,7.1465
2021-05-31,7.5441,7.4083,7.6119,7.3986
2021-04-30,7.835,7.4859,7.9513,7.4471
2021-03-31,7.641,7.7671,7.835,7.4083
2021-02-28,7.4859,7.5925,7.9028,7.0592
2021-01-31,7.6216,7.4956,8.4943,7.4471
2020-12-31,8.58,7.6604,8.81,7.5925
2020-11-30,8.27,8.3295,8.82,7.9416
2020-10-31,8.37,8.0774,8.64,8.0386
2020-09-30,8.9,8.0386,8.98,8.0095
2020-08-31,8.82,8.6592,9.32,8.4362
2020-07-31,8.2047,8.5234,9.7577,7.9179
2020-06-30,8.4684,8.1851,8.7223,8.1363
2020-05-31,9.5526,8.4488,9.7967,8.4098
2020-04-30,9.6502,9.5526,10.0116,9.1716
2020-03-31,9.4549,9.6014,10.9786,9.113
2020-02-29,8.2828,9.2791,9.533,8.0581
2020-01-31,9.9823,9.2009,10.245999999999999,9.1326
2019-12-31,9.5037,9.9042,10.1288,9.3377
2019-11-30,9.1716,9.4451,9.787,8.9567
2019-10-31,9.2205,9.1619,9.66,9.1326
2019-09-30,8.947000000000001,9.24,10.1581,8.9372
2019-08-31,9.4842,8.8884,9.4842,8.6247
2019-07-31,9.6244,9.4842,9.8944,9.1269
2019-06-30,9.0121,9.5191,9.9496,8.9355
2019-05-31,10.1218,8.9929,10.1218,8.8877
2019-04-30,11.069,10.3706,11.9778,10.2845
2019-03-31,11.0116,11.0116,11.5569,10.5045
2019-02-28,9.7009,10.9063,11.7291,9.5478
2019-01-31,10.4184,9.6531,10.9446,9.4139
2018-12-31,10.7437,10.3993,11.7769,10.0453
2018-11-30,10.715,10.5141,11.069,10.007
2018-10-31,10.4758,10.5237,11.1264,9.5
2018-09-30,10.0453,10.6672,10.7628,9.2895
2018-08-31,10.1601,10.141,10.9733,9.3852
2018-07-31,8.0645,9.7966,10.0931,7.5119
2018-06-30,8.5703,8.0739,8.6734,7.7273
2018-05-31,9.3665,8.5891,9.4882,8.486
2018-04-30,9.1885,9.2822,9.4789,8.9075
2018-03-31,9.788,9.1604,9.9285,8.7951
2018-02-28,11.0337,9.8535,11.3334,9.4133
2018-01-31,10.453,11.0056,11.4833,10.453
2017-12-31,11.77,11.14,12.09,11.12
2017-11-30,12.0,11.74,12.48,11.47
2017-10-31,12.0,11.97,12.28,11.4
2017-09-30,12.45,11.86,12.75,11.84
2017-08-31,13.09,12.46,13.13,11.91
2017-07-31,12.06,13.07,13.74,11.77
2017-06-30,12.01,12.03,12.33,11.64
2017-05-31,13.05,12.06,13.34,11.2
2017-04-30,13.34,13.04,14.58,12.43
2017-03-31,13.25,12.99,13.96,12.35
2017-02-28,12.28,13.25,13.48,12.0
2017-01-31,11.94,12.29,12.49,11.23
2016-12-31,12.65,11.96,14.0,11.2
2016-11-30,10.33,12.58,13.91,10.09
2016-10-31,9.07,10.3,11.22,9.07
2016-09-30,9.4,9.01,9.53,8.91
2016-08-31,8.9,9.36,10.1,8.72
2016-07-31,9.95,8.92,10.5,8.74
2016-06-30,10.11,9.96,10.35,9.18
2016-05-31,10.46,10.11,10.66,9.54
2016-04-30,11.23,10.45,11.77,10.41
2016-03-31,9.74,11.21,12.08,9.6
2016-02-29,10.0,9.73,10.82,9.18
2016-01-31,13.5,10.09,13.5,9.29
2015-12-31,13.76,13.48,14.62,13.15
2015-11-30,15.15,13.73,17.05,13.31
2015-10-31,14.11,15.29,17.59,13.82
2015-09-30,13.0,13.55,16.01,12.5
2015-08-31,16.55,13.81,18.85,10.92
2015-07-31,15.4,16.47,20.3,13.11
2015-06-30,20.77,15.63,26.49,13.0
2015-05-31,25.29,20.76,26.18,20.0
2015-04-30,18.6,25.27,28.18,17.77
2015-03-31,13.8,18.59,20.12,12.4
2015-02-28,12.54,13.67,13.92,11.55
2015-01-31,15.44,13.12,15.98,13.09
