,ts_code,trade_date,close,open,high,low,vol,amount
0,603501.SH,20211130,272.38,266.01,289.0,260.67,132202763.0,36453981477.0
1,603501.SH,20211029,266.0,244.0,269.7,221.5,111214452.0,27465114424.0
2,603501.SH,20210930,242.61,247.29,261.8,224.02,158913131.0,38454044340.0
3,603501.SH,20210831,242.09,298.98,328.88,241.03,197756133.0,54578026249.0
4,603501.SH,20210730,302.09,328.0,345.0,281.95,201929211.0,64104461846.0
5,603501.SH,20210630,322.0,300.08,328.8,260.3,187567733.0,54270447348.0
6,603501.SH,20210531,300.99,295.0,301.98,250.72,103234250.0,28769553212.0
7,603501.SH,20210430,302.51,259.0,310.9,256.36,110245892.0,32060599959.0
8,603501.SH,20210331,256.72,286.98,301.5,238.08,131802954.0,34688479887.0
9,603501.SH,20210226,282.98,294.6,324.0,272.0,121140536.0,35672669716.0
10,603501.SH,20210129,289.57,232.0,328.0,225.01,253472880.0,73650740891.0
11,603501.SH,20201231,231.1,210.0,243.88,209.48,171632716.0,38667422110.0
12,603501.SH,20201130,215.44,205.0,241.24,190.01,241360633.0,50958752156.0
13,603501.SH,20201030,198.02,182.0,201.73,166.75,132153092.0,24550395311.0
14,603501.SH,20200930,177.37,167.88,198.9,166.93,214743081.0,39450964577.0
15,603501.SH,20200831,167.83,206.99,207.86,165.08,139826650.0,25966859149.0
16,603501.SH,20200731,205.64,203.0,252.8,194.35,150319240.0,33187033190.0
17,603501.SH,20200630,201.95,187.0,208.45,174.77,119566911.0,22775650794.0
18,603501.SH,20200529,183.58,194.0,218.9,176.31,115910424.0,22785860891.0
19,603501.SH,20200430,194.48,152.81,195.15,146.88,111360115.0,18781523141.0
20,603501.SH,20200331,155.9,180.0,180.99,132.01,166406823.0,26130734559.0
21,603501.SH,20200228,174.22,167.0,221.87,165.45,156982010.0,30275154738.0
22,603501.SH,20200123,185.55,143.4,197.98,136.0,99621719.0,16100285771.0
23,603501.SH,20191231,143.4,124.5,162.99,123.31,123198684.0,18212677158.0
24,603501.SH,20191129,125.2,108.5,137.98,105.1,101178962.0,12074381582.0
25,603501.SH,20191031,109.99,99.7,113.89,93.9,71694452.0,7292646351.0
26,603501.SH,20190930,98.11,88.06,116.44,87.0,125188276.0,12812919110.0
27,603501.SH,20190830,88.06,67.3,95.74,62.5,122476885.0,9382310495.0
28,603501.SH,20190731,67.12,58.36,71.71,51.45,103934157.0,6380032160.0
29,603501.SH,20190628,54.91,42.6,56.9,38.72,93340795.0,4348491878.0
30,603501.SH,20190531,42.0,49.41,55.88,42.0,83832644.0,4122777560.0
31,603501.SH,20190430,54.8,49.91,62.89,49.22,101370467.0,5658978065.0
32,603501.SH,20190329,49.39,39.58,55.89,39.32,145193708.0,7248699136.0
33,603501.SH,20190228,39.43,28.49,43.17,28.2,75978288.0,2745282170.0
34,603501.SH,20190131,28.28,29.52,31.59,27.62,71412836.0,2123771059.0
35,603501.SH,20181228,29.39,35.02,37.0,29.0,65872952.0,2221484411.0
36,603501.SH,20181130,33.85,30.0,37.49,29.25,111198746.0,3650841974.0
37,603501.SH,20181031,29.4,34.4,35.09,26.75,96726583.0,2927150687.0
38,603501.SH,20180928,35.87,41.43,48.9,34.87,103558293.0,4214770724.0
39,603501.SH,20180531,37.7,38.09,41.17,36.0,35666713.0,1355900362.0
40,603501.SH,20180427,37.49,41.2,43.28,35.1,96983011.0,3848926376.0
41,603501.SH,20180330,41.01,33.85,44.0,33.5,138364978.0,5388700040.0
42,603501.SH,20180228,33.86,32.18,35.46,26.01,79724419.0,2489159116.0
43,603501.SH,20180131,32.45,41.5,45.97,32.02,183324272.0,7567874048.0
44,603501.SH,20171229,41.77,33.37,45.02,32.53,279335566.0,11265711639.0
45,603501.SH,20171130,33.16,27.8,44.72,27.34,285601522.0,10475239733.0
46,603501.SH,20171031,27.13,26.83,35.71,25.69,158434559.0,4844751777.0
47,603501.SH,20170929,24.39,22.17,24.39,22.17,1330826.0,30907368.0
48,603501.SH,20170630,20.15,21.73,22.15,19.22,22080707.0,457084312.0
49,603501.SH,20170531,22.81,10.11,28.84,10.11,106520474.0,2464630698.0
