,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
0,000906.SZ,20220527,8.7,8.94,8.65,8.75,8.74,0.009999999999999787,0.1144,68920.09,60468.286,8.6934,88508.026,8.5054,63831.1892,9.1629,62454.0544,10.3057,41769.3822,10.3685,42837.0645,10.1996,47634.8647,8.5441,70061.085,8.4423,59708.495,8.9094,65334.1217,9.9154,51947.0035,10.3682,43735.9226
1,000906.SZ,20220526,8.55,8.77,8.35,8.74,8.54,0.20000000000000107,2.3419,78483.27,67074.273,8.6575,94754.61,8.4769,61656.5669,9.2418,61486.9729,10.3115,41488.4383,10.3855,42763.48,10.2292,47179.792,8.5052,66645.076,8.4009,60679.5285,8.9807,64364.8817,9.956,51325.9828,10.3839,43343.6777
2,000906.SZ,20220525,8.59,8.71,8.45,8.54,8.58,-0.040000000000000924,-0.4662,79914.24,68430.0,8.5663,86644.604,8.4455,59341.9015,9.3146,59962.2703,10.3192,41144.7832,10.4027,42717.5291,10.2539,46391.2308,8.4653,63553.217,8.3752,61048.759,9.0537,64505.639,9.993,50717.5932,10.4003,42953.7149
3,000906.SZ,20220524,8.8568,8.8759,8.4273,8.58,8.8568,-0.2767999999999997,-3.1253,90269.08,81779.335,8.5342,79073.156,8.4347,56894.0323,9.3969,58843.0668,10.329,40841.0672,10.4183,42545.9809,10.2852,45719.6273,8.454,60248.786,8.3982,63943.9355,9.1425,62497.3017,10.0399,49798.3512,10.4177,42615.1291
4,000906.SZ,20220523,8.6277,9.0572,8.5514,8.8568,8.5705,0.28630000000000067,3.3405,124953.45,115255.528,8.4769,68879.004,8.4361,54334.9954,9.4769,57496.5541,10.3397,40352.2386,10.4327,42454.0459,10.3132,45074.7527,8.434,55286.878,8.4464,63284.0495,9.2309,60195.039,10.0851,48779.4798,10.4338,42240.1279
5,000906.SZ,20220520,8.3032,8.7136,8.2555,8.5705,8.2841,0.28639999999999866,3.4572,100153.01,89419.565,8.3949,51614.144,8.3994,49164.5223,9.5355,55007.4682,10.3484,39676.7101,10.4472,42431.9552,10.3453,43772.6573,8.3815,47630.795,8.5189,59202.3795,9.3168,57231.2347,10.1292,47210.924,10.4492,41605.4125
6,000906.SZ,20220519,8.3032,8.3128,8.1601,8.2841,8.3796,-0.09549999999999947,-1.1397,37933.24,32728.381,8.3529,38535.542,8.351,45387.3969,9.5914,52590.0621,10.359,39210.4809,10.4586,42313.2836,10.3814,42737.5912,8.3643,42424.688,8.6211,56368.0575,9.4049,54780.9137,10.1777,46027.5608,10.463,41024.0575
7,000906.SZ,20220518,8.3891,8.4369,8.3128,8.3796,8.2937,0.08590000000000053,1.0357,42057.0,36921.473,8.3643,40461.83,8.348,47195.6554,9.6526,52035.5929,10.3732,39066.4524,10.4717,42602.3964,10.4239,42660.9949,8.3958,44331.524,8.7222,56910.445,9.5067,54911.8497,10.2283,45851.539,10.4784,40900.1781
8,000906.SZ,20220517,8.4369,8.4559,8.2269,8.2937,8.4464,-0.15270000000000117,-1.8079,39298.32,34192.614,8.3739,41424.416,8.3128,50755.9446,9.7157,51310.705,10.3863,39188.633,10.4856,42843.1345,10.4669,42875.8555,8.3958,45899.554,8.822,58568.062,9.6041,54992.8713,10.2807,45818.9585,10.4925,40765.8903
9,000906.SZ,20220516,8.37,8.4559,8.3032,8.4464,8.3605,0.08590000000000053,1.0275,38629.15,33994.104,8.391,41694.752,8.3077,54338.2185,9.784,50802.8832,10.4016,39241.1968,10.4982,42919.964,10.509,42770.3279,8.3605,47074.76,8.9465,61240.9835,9.6893,55027.0783,10.3296,45447.58,10.5081,40746.1777
10,000906.SZ,20220513,8.3796,8.4178,8.2746,8.3605,8.3414,0.019099999999999895,0.229,34760.0,30405.906,8.3681,43647.446,8.3502,61968.1123,9.8457,50404.0947,10.4173,39217.6618,10.5092,43108.591,10.5481,42915.1232,8.3405,49355.905,9.0921,62970.64,9.7568,54338.1467,10.3776,45151.1162,10.52,40628.7892
11,000906.SZ,20220512,8.3987,8.4941,8.2555,8.3414,8.4273,-0.08590000000000053,-1.0193,47564.68,41634.012,8.3758,46313.834,8.4413,65222.8323,9.908,50631.4221,10.433,39279.4954,10.5196,43229.293,10.5859,43139.6468,8.2966,54713.981,9.2185,63224.7845,9.8236,53815.523,10.4284,44916.3917,10.5335,40623.9896
12,000906.SZ,20220511,8.4464,8.6373,8.351,8.4273,8.3796,0.04770000000000074,0.5692,46869.93,41737.454,8.4273,48201.218,8.5925,64896.3223,9.9673,49817.1988,10.447,39287.5799,10.5321,43173.1786,10.6293,43153.7612,8.2851,58544.301,9.3478,64981.85,9.8964,52810.394,10.4818,44661.1713,10.5455,40467.8852
13,000906.SZ,20220510,8.2746,8.5037,8.1887,8.3796,8.3319,0.04770000000000074,0.5725,40650.0,35629.485,8.4178,50374.692,8.7606,64634.5254,10.0245,49938.02,10.4602,39377.3198,10.5439,43223.6406,10.6696,43240.3349,8.3424,67639.085,9.4867,63621.5595,9.9693,51982.4757,10.5311,44363.7815,10.5575,40264.8142
14,000906.SZ,20220509,8.3032,8.6086,8.2555,8.3319,8.3987,-0.06680000000000064,-0.7954,48392.62,42756.087,8.33,52454.768,8.9089,65259.9862,10.0753,50338.3985,10.4767,39677.9342,10.5539,43271.8831,10.7065,43515.0237,8.4588,71281.221,9.6294,62649.1195,10.0415,51463.1537,10.5822,44306.9283,10.5705,40100.9991
