,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60
0,002241.SZ,20211207,52.05,52.6,50.48,51.8,51.95,-0.15000000000000568,-0.2887,451237.06,2330834.139,52.038,397959.202,52.6262,580300.09,48.5265,696240.3376,42.9517,738206.3894,41.3315,748184.4255,45.9684,664405.4297,52.276,489168.284,51.4785,681185.6705,49.3923,728415.0303,46.6385,643558.861
1,002241.SZ,20211206,51.5,54.0,51.31,51.95,51.97,-0.01999999999999602,-0.0385,414848.99,2183683.072,52.094,417063.748,52.48,616294.1223,48.2185,691372.6785,42.8296,742222.2533,41.1862,752292.1896,45.8311,668181.5804,52.541,510230.391,51.273,689849.2655,49.1227,738431.7543,46.5552,645927.9627
2,002241.SZ,20211203,52.38,52.68,51.81,51.97,52.38,-0.4100000000000037,-0.7827,352877.1,1844044.765,52.294,467460.368,52.4108,636146.0454,47.9068,692853.72,42.7231,744382.176,41.0394,754767.3787,45.7172,675143.1749,52.761,555907.348,51.0815,713628.869,48.7887,735776.495,46.4892,655721.5763
3,002241.SZ,20211202,51.99,52.7,51.51,52.38,52.09,0.28999999999999915,0.5567,403593.03,2105893.036,52.246,517032.77,52.2746,679869.0915,47.5941,696313.0403,42.623,746360.5667,40.8858,756706.9968,45.5672,674220.1973,52.842,632493.802,50.865,765814.892,48.4517,737505.496,46.4207,668097.6713
4,002241.SZ,20211201,52.89,52.89,51.03,52.09,52.08,0.010000000000005116,0.0192,367239.83,1906657.233,52.288,546426.248,52.0554,702205.95,47.2385,699386.7688,42.5164,747952.8157,40.7245,757357.187,45.4139,676085.1811,52.594,684050.447,50.5405,787917.3045,48.06,734987.1767,46.3233,683527.9408
5,002241.SZ,20211130,52.95,53.42,51.44,52.08,52.95,-0.8700000000000045,-1.6431,546759.79,2865962.7,52.514,580377.366,51.7708,734346.3754,46.8715,700156.1868,42.4084,750603.3283,40.5696,758274.1825,45.278,677570.2199,52.49,714618.863,50.173,796513.2325,47.7013,732270.404,46.2657,709411.2828
6,002241.SZ,20211129,51.0,53.0,51.0,52.95,51.73,1.220000000000006,2.3584,666832.09,3463669.257,52.988,603397.034,51.5615,776307.29,46.5229,694734.2376,42.3051,753765.3556,40.4162,759696.465,45.1403,677080.1416,52.302,752070.554,49.813,808061.008,47.3437,729551.891,46.1775,726100.1893
7,002241.SZ,20211126,52.3,53.29,51.18,51.73,52.59,-0.8600000000000065,-1.6353,600739.11,3129305.926,53.228,644354.328,51.1038,801563.5015,46.1391,698565.1924,42.1949,756334.8068,40.2567,761161.8999,44.99,679809.2593,51.96,754784.564,49.4655,832095.904,46.9567,723007.2877,46.004,723238.363
8,002241.SZ,20211125,53.28,54.45,52.37,52.59,53.22,-0.6299999999999955,-1.1838,550560.42,2928399.445,53.438,747954.834,50.7931,803391.9515,45.8768,687796.3912,42.0932,760939.7666,40.1131,760708.3567,44.8429,685991.4033,51.626,773217.189,49.056,843892.0805,46.5753,719919.3107,45.8447,720993.5103
9,002241.SZ,20211124,54.0,54.4,53.08,53.22,54.45,-1.230000000000004,-2.259,536995.42,2884708.02,52.9,821674.646,50.4492,829536.6162,45.5859,682239.1421,41.9913,771701.2949,39.9648,761122.2965,44.6504,684301.2847,51.303,827386.315,48.5065,839055.174,46.1427,714680.6313,45.6535,718180.7737
10,002241.SZ,20211123,53.1,55.08,52.4,54.45,54.15,0.30000000000000426,0.554,661858.13,3554896.285,52.466,848860.36,50.02,895659.8577,45.2882,674996.2644,41.8611,775795.331,39.8128,763537.3153,44.4525,684832.5548,50.681,873203.057,47.9505,848038.4035,45.7097,708861.2347,45.452,717776.6123
11,002241.SZ,20211122,53.56,55.1,52.52,54.15,52.78,1.3699999999999974,2.5957,871618.56,4703032.66,51.616,900744.074,49.3615,909797.0231,44.9309,666691.8412,41.7154,782411.7897,39.6518,765396.1158,44.2347,686021.4156,50.005,869468.14,47.4135,852532.436,45.2247,713368.782,45.1945,712833.2715
12,002241.SZ,20211119,50.85,54.7,50.4,52.78,49.9,2.8800000000000026,5.7715,1118741.64,5923736.788,50.692,865214.8,48.6377,884223.1638,44.6124,650457.6482,41.5638,781857.8933,39.5011,765261.2288,44.0217,685085.3961,49.402,871350.39,46.8025,825711.0685,44.8467,692134.8257,44.9467,703507.9065
13,002241.SZ,20211118,50.6,51.2,48.73,49.9,51.05,-1.1499999999999986,-2.2527,919159.48,4585477.742,49.814,798479.544,48.03,857990.3685,44.3482,629485.0297,41.4013,777765.2963,39.3627,767516.6807,43.8327,681470.6387,48.888,899135.982,46.2565,790011.343,44.5107,666897.236,44.7272,690671.5262
14,002241.SZ,20211117,50.2,51.39,49.7,51.05,50.2,0.8499999999999943,1.6932,672923.99,3410626.618,49.706,833097.984,47.73,875557.3323,44.1909,612220.8876,41.262,774844.9317,39.2471,766006.1333,43.6748,679848.164,48.487,891784.162,45.793,760455.5415,44.284,645949.8393,44.5552,681547.699
15,002241.SZ,20211116,49.0,51.68,48.7,50.2,49.53,0.6700000000000017,1.3527,921276.7,4659878.061,48.896,897545.754,47.1523,888152.6131,44.0303,604994.3544,41.1189,777266.5881,39.1285,765925.1554,43.5191,683003.1683,47.856,878407.602,45.307,741096.1745,43.9923,636169.2977,44.3757,678240.3765
16,002241.SZ,20211115,49.08,50.2,48.13,49.53,48.39,1.1400000000000006,2.3559,693972.19,3424900.555,48.394,838192.206,46.4908,852194.5815,43.8821,588825.6412,40.9755,779093.3289,39.02,764635.6246,43.3735,687595.7528,47.324,864051.462,44.8645,718292.5595,43.763,616115.2743,44.2307,675126.5708
17,002241.SZ,20211112,49.03,49.07,47.46,48.39,49.36,-0.9699999999999989,-1.9652,785065.36,3784199.395,48.112,877485.98,45.9192,853939.7985,43.7344,579413.0703,40.8212,776536.5163,38.9243,764195.7278,43.2221,713531.8695,46.971,909407.244,44.455,707118.6495,43.572,606505.2883,44.1287,679176.5107
18,002241.SZ,20211111,46.4,50.5,46.25,49.36,47.0,2.3599999999999994,5.0213,1092251.68,5334082.549,47.962,999792.42,45.5592,851376.2154,43.6047,572920.2806,40.6791,773148.6505,38.8304,764282.7234,43.1001,719174.0276,46.486,914566.972,44.05,693270.3715,43.444,591409.0647,44.0008,670819.651
19,002241.SZ,20211110,48.0,49.27,46.6,47.0,47.69,-0.6899999999999977,-1.4468,995162.84,4779988.23,47.268,950470.34,44.9877,793140.7946,43.4979,559569.49,40.5313,768421.1947,38.7416,762141.7664,43.0048,713621.9132,45.71,850724.033,43.5625,658327.7895,43.3183,569241.404,43.8595,661673.2365
20,002241.SZ,20211109,47.7,48.09,46.8,47.69,48.12,-0.4299999999999997,-0.8936,624508.96,2963373.937,46.816,859269.45,44.5923,747724.2015,43.4915,547306.0935,40.4018,765281.7435,38.6628,761560.4012,42.9376,712994.1721,45.22,822873.75,43.224,626690.3235,43.257,548453.991,43.7745,653064.1515
21,002241.SZ,20211108,48.0,48.42,46.8,48.12,47.64,0.4799999999999969,1.0076,890441.06,4250808.011,46.254,889910.718,44.0492,724919.1623,43.4903,552219.8306,40.2655,765084.412,38.5734,761503.918,42.8403,713664.0707,44.822,835596.732,42.8345,635319.103,43.151,540101.8517,43.6755,651155.7342
22,002241.SZ,20211105,46.36,49.14,46.15,47.64,45.89,1.75,3.8135,1396597.56,6715685.822,45.83,941328.508,43.5269,678403.4385,43.4671,549632.4418,40.1245,762862.2983,38.4773,761257.8864,42.7411,711617.4568,44.203,780071.747,42.569,602527.0435,43.013,529230.8333,43.5682,650840.3152
23,002241.SZ,20211104,45.8,46.82,45.2,45.89,44.74,1.1499999999999986,2.5704,845641.28,3892632.254,45.01,829341.524,43.0431,606757.8108,43.4659,558230.23,39.983,756225.7747,38.3928,755973.8088,42.6359,701171.3489,43.625,680886.704,42.322,550777.863,42.9493,503955.0747,43.4525,645303.6877
