,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60
0,600809.SH,20211207,320.0,326.66,317.59,318.7,321.0,-2.3000000000000114,-0.7165,50864.62,1633792.02,318.322,55352.724,314.9992,61060.7908,307.9488,64498.0447,315.4461,75517.2887,308.0793,72991.8678,304.2313,78002.8412,316.492,61834.137,310.39,57323.5785,305.7337,65394.324,309.1375,73065.748
1,600809.SH,20211206,325.0,328.63,320.0,321.0,324.51,-3.509999999999991,-1.0816,57738.94,1867121.272,316.586,55949.16,314.4162,60261.4608,308.2753,64454.3224,315.2223,75473.2262,307.64,73081.5769,304.2847,77971.2316,315.439,62214.238,309.5555,57492.069,305.7733,65838.8323,308.2782,73896.2342
2,600809.SH,20211203,313.0,330.02,312.56,324.51,314.98,9.529999999999973,3.0256,92927.39,3028320.412,315.406,56932.718,313.5662,59178.81,308.5397,65833.7479,315.0081,75397.8523,307.1583,73175.1796,304.2847,77947.6816,314.359,62742.428,308.5005,57515.929,305.8603,65885.281,307.3952,74357.3803
3,600809.SH,20211202,313.0,315.39,310.0,314.98,312.42,2.5600000000000023,0.8194,39121.13,1225978.365,313.504,47925.028,312.5038,58911.2485,308.1753,66530.645,314.7887,75072.1502,306.5851,72891.6276,304.2805,77816.4849,313.078,59225.933,307.039,56489.567,305.981,64473.3563,306.6365,74958.328
4,600809.SH,20211201,315.0,316.5,310.55,312.42,310.02,2.400000000000034,0.7741,36111.54,1130969.389,313.544,53008.766,311.0631,59064.8485,309.1112,67464.2153,314.664,75545.6923,306.0648,73034.423,304.514,79093.4923,312.692,59361.153,305.956,59450.3995,306.369,65076.048,306.0122,75496.2075
5,600809.SH,20211130,315.98,319.13,310.01,310.02,315.1,-5.080000000000041,-1.6122,53846.8,1683236.461,314.662,68315.55,309.4838,59856.8146,309.9356,68358.8759,314.6218,75819.0433,305.5466,73069.3574,304.4816,79775.5116,312.445,60116.447,304.44,60457.0535,306.9483,65518.2653,305.4713,76475.9315
6,600809.SH,20211129,312.8,317.6,310.05,315.1,315.0,0.10000000000002274,0.0317,62656.73,1965052.803,314.292,68479.316,308.3285,58966.4323,310.635,69403.0776,314.4834,76028.323,305.0464,73058.6397,304.4664,80107.1276,312.513,63676.676,303.234,62688.135,307.614,67211.3523,304.9877,77626.8942
7,600809.SH,20211126,313.71,317.0,312.58,315.0,315.18,-0.18000000000000682,-0.0571,47888.94,1504760.967,313.312,68552.138,307.0054,57938.8015,310.7497,69118.115,314.2363,75928.4551,304.5043,73073.465,304.3884,80374.5921,310.628,61522.796,301.814,65903.808,307.5147,69010.191,304.3327,77901.426
8,600809.SH,20211125,322.82,323.77,312.67,315.18,318.01,-2.829999999999984,-0.8899,64539.82,2046854.101,312.652,70526.838,306.0062,58426.9162,310.8262,69598.7721,313.985,75888.4262,304.0013,73232.1591,304.3084,80761.7579,308.317,61374.612,301.139,69075.0275,308.5747,69775.977,303.8252,78351.4863
9,600809.SH,20211124,308.18,324.8,308.1,318.01,308.17,9.839999999999975,3.193,112645.46,3592028.917,311.84,65713.54,304.8308,57940.4792,311.115,70054.9341,313.7202,75832.6962,303.4327,73273.5574,304.2884,81483.1012,306.299,59147.813,300.735,69523.062,309.417,69842.3163,303.2072,79027.4835
10,600809.SH,20211123,308.2,313.5,306.3,308.17,310.2,-2.0299999999999727,-0.6544,54665.63,1692751.414,310.228,51917.344,303.0823,54844.6862,311.0412,68657.8156,313.407,75682.6526,302.827,73139.9264,304.1953,82816.8993,304.288,52813.02,300.3545,67174.4175,309.9433,69065.7897,302.4103,79510.8607
11,600809.SH,20211122,310.77,318.6,308.55,310.2,311.7,-1.5,-0.4812,63020.84,1972882.051,310.734,58874.036,301.94,58204.0823,311.3303,68942.2512,313.0478,75793.2139,302.2104,73485.9001,303.8997,84330.7373,303.672,52769.9,300.9405,67651.1295,310.3043,69009.202,301.8082,81335.4457
12,600809.SH,20211119,309.0,316.8,308.06,311.7,311.12,0.5799999999999841,0.1864,57762.44,1811855.574,307.944,54493.454,299.7785,57682.8346,311.5303,69727.9485,312.6515,75675.725,301.6965,73711.4015,303.9637,84902.4947,302.642,52289.43,301.611,67456.7075,310.551,69049.55,301.6233,81629.4775
13,600809.SH,20211118,309.35,313.0,305.8,311.12,309.95,1.170000000000016,0.3775,40473.33,1254474.384,303.982,52222.386,297.7938,60814.0646,311.9185,72398.58,312.2273,75593.7738,301.1238,74108.7968,304.0991,86007.1223,301.0,53753.201,302.4325,67097.068,310.9943,69792.4463,301.5025,82040.8392
14,600809.SH,20211117,309.42,312.19,305.78,309.95,310.7,-0.75,-0.2414,43664.48,1351128.175,300.758,52582.086,295.9154,67467.6692,312.23,73911.7038,311.812,75629.0906,300.4814,74551.4337,304.2356,87061.782,299.22,59539.646,303.2075,67933.4955,311.1403,70614.783,301.394,82821.0367
15,600809.SH,20211116,295.51,316.78,295.0,310.7,296.25,14.449999999999989,4.8776,89449.09,2755471.841,298.348,53708.696,295.2654,72671.4269,312.2876,74701.8282,311.41,75609.5343,299.737,75127.6469,304.3696,88435.9869,296.435,60797.66,304.2,68219.1745,311.4087,71303.8483,301.6882,82871.4167
16,600809.SH,20211115,294.15,297.8,289.57,296.25,291.89,4.360000000000014,1.4937,41117.93,1211814.395,296.61,46665.764,294.9885,71444.6131,312.2965,74143.5524,310.968,75321.8152,299.0802,75253.3083,304.9572,88034.8832,293.955,61699.594,305.1645,68978.6905,311.6187,71313.3637,301.8882,82188.8302
17,600809.SH,20211112,295.6,298.97,291.58,291.89,295.0,-3.1100000000000136,-1.0542,46407.1,1365009.99,297.34,50085.406,296.0769,73333.4315,312.9026,76074.7891,310.6496,75355.0747,298.6403,75450.6077,305.8029,88695.8717,293.0,70284.82,305.958,72753.8885,312.5737,74894.8963,302.3007,82436.4095
18,600809.SH,20211111,295.9,298.8,292.18,295.0,297.9,-2.8999999999999773,-0.9735,42271.83,1243304.059,298.018,55284.016,298.2308,74702.1062,313.0603,76866.2103,310.3481,75479.5082,298.1878,75663.9192,306.8164,89263.3391,293.961,76775.443,308.7035,73976.6595,313.5677,76411.9777,302.8392,83047.7518
19,600809.SH,20211110,302.0,305.8,293.48,297.9,302.01,-4.110000000000014,-1.3609,49297.53,1467346.735,297.682,66497.206,300.4315,75999.0731,312.9126,78007.5879,310.1093,75638.7553,297.7795,75867.4675,307.8364,89400.7775,295.171,79898.311,310.976,75189.568,314.1313,77353.8737,303.464,84591.4993
