,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
0,603803.SH,20240513,6.86,6.87,6.62,6.67,6.88,-0.20999999999999996,-3.05,70151.9,47183.798,6.93,66721.62,6.57,87007.29,6.62,95380.32,7.56,172091.86,7.6,160900.49,6.6,137717.55,6.8,93812.94,6.35,85192.35,6.54,90117.29,6.5,155138.53,7.4,171787.0
1,603803.SH,20240510,7.01,7.09,6.84,6.88,7.01,-0.1299999999999999,-1.85,48285.77,33453.717,7.03,76072.09,6.49,86283.68,6.64,100562.69,7.57,172253.58,7.6,160706.23,6.61,137604.14,6.74,93414.68,6.34,85367.36,6.55,92485.72,6.49,155567.05,7.42,172642.01
2,603803.SH,20240509,6.99,7.07,6.94,7.01,6.96,0.04999999999999982,0.72,62701.94,43986.771,7.05,103002.53,6.41,89529.78,6.65,103430.45,7.58,172504.71,7.6,160656.86,6.63,138036.89,6.63,94537.24,6.34,85303.22,6.57,94801.33,6.47,155851.99,7.44,174676.47
3,603803.SH,20240508,7.12,7.16,6.95,6.96,7.14,-0.17999999999999972,-2.52,69970.9,49176.374,7.01,123731.9,6.31,94059.34,6.66,106024.07,7.58,172573.12,7.61,160549.41,6.63,138167.37,6.49,94995.52,6.32,85641.36,6.58,96775.67,6.46,156433.99,7.45,176351.99
4,603803.SH,20240507,7.12,7.19,7.02,7.14,7.15,-0.010000000000000675,-0.14,82497.61,58611.029,6.89,127687.57,6.19,94557.2,6.66,109220.84,7.59,172957.29,7.61,160447.16,6.65,138721.97,6.35,94072.93,6.32,85748.62,6.59,99727.34,6.46,156381.62,7.46,178723.07
5,603803.SH,20240506,6.99,7.22,6.99,7.15,7.0,0.15000000000000036,2.14,116904.22,83167.272,6.67,120904.25,6.1,97443.04,6.66,113482.25,7.6,173250.94,7.61,160319.69,6.65,138491.64,6.22,94871.67,6.32,85689.17,6.6,105189.18,6.45,156040.41,7.48,182073.77
6,603803.SH,20240430,6.8,7.13,6.78,7.0,6.78,0.21999999999999975,3.24,182938.0,128263.526,6.46,110757.27,6.05,92587.58,6.67,119740.19,7.6,173220.95,7.62,159881.3,6.66,138048.06,6.08,95339.88,6.33,86980.99,6.6,106152.02,6.46,155092.57,7.49,186836.16
7,603803.SH,20240429,6.84,6.93,6.62,6.78,6.37,0.41000000000000014,6.44,166348.75,113275.045,6.21,86071.95,6.01,82338.2,6.69,131619.71,7.61,172478.65,7.62,159015.41,6.67,136516.39,5.92,84690.38,6.34,85143.24,6.6,105083.59,6.46,153293.32,7.5,188614.79
8,603803.SH,20240426,6.06,6.5,6.06,6.37,6.07,0.2999999999999998,4.94,89749.27,56768.933,5.96,66259.15,5.99,75207.69,6.71,139368.07,7.61,172114.71,7.63,158223.04,6.69,135514.27,5.83,80056.85,6.35,82356.33,6.61,105494.0,6.47,151677.24,7.51,187869.21
9,603803.SH,20240425,6.05,6.13,6.02,6.07,6.06,0.010000000000000675,0.17,48581.0,29489.12,5.82,60458.28,6.03,71919.52,6.71,142658.52,7.62,172513.16,7.64,157888.49,6.71,135402.72,5.85,76460.26,6.36,83362.85,6.64,110081.88,6.48,151226.72,7.53,188102.71
