,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000046.SZ,20210812,2.11,2.18,2.09,2.1,2.1,0.0,0.0,605733.32,128349.942
1,000046.SZ,20210811,2.05,2.14,2.05,2.1,2.05,0.05,2.439,888875.93,186188.62
2,000046.SZ,20210810,2.03,2.05,2.01,2.05,2.05,0.0,0.0,602057.39,122570.038
3,000046.SZ,20210809,2.05,2.1,2.02,2.05,2.05,0.0,0.0,900838.92,184876.685
4,000046.SZ,20210806,2.14,2.14,2.03,2.05,2.18,-0.13,-5.9633,1178199.44,244081.779
5,000046.SZ,20210805,1.98,2.18,1.96,2.18,1.98,0.2,10.101,1141672.4,243653.418
6,000046.SZ,20210804,1.99,2.01,1.97,1.98,1.99,-0.01,-0.5025,220647.01,43802.199
7,000046.SZ,20210803,1.98,2.04,1.96,1.99,1.98,0.01,0.5051,410268.5,81867.953
8,000046.SZ,20210802,1.99,2.03,1.96,1.98,1.99,-0.01,-0.5025,500261.37,99860.31
9,000046.SZ,20210730,1.95,2.01,1.91,1.99,1.94,0.05,2.5773,413451.07,80819.58
10,000046.SZ,20210729,1.97,1.98,1.93,1.94,1.98,-0.04,-2.0202,387823.56,75595.329
11,000046.SZ,20210728,1.98,2.01,1.96,1.98,1.99,-0.01,-0.5025,334542.39,66214.241
12,000046.SZ,20210727,1.97,2.04,1.95,1.99,2.0,-0.01,-0.5,406319.03,81304.536
13,000046.SZ,20210726,2.06,2.07,1.98,2.0,2.07,-0.07,-3.3816,456998.43,91712.342
14,000046.SZ,20210723,2.1,2.11,2.06,2.07,2.1,-0.03,-1.4286,305041.0,63514.381
15,000046.SZ,20210722,2.08,2.12,2.05,2.1,2.08,0.02,0.9615,385876.07,80643.657
16,000046.SZ,20210721,2.11,2.12,2.07,2.08,2.1,-0.02,-0.9524,337921.13,70584.119
17,000046.SZ,20210720,2.12,2.13,2.09,2.1,2.14,-0.04,-1.8692,219954.24,46318.425
18,000046.SZ,20210719,2.1,2.14,2.08,2.14,2.11,0.03,1.4218,246241.36,52061.931
19,000046.SZ,20210716,2.12,2.16,2.1,2.11,2.12,-0.01,-0.4717,296802.36,63001.915
20,000046.SZ,20210715,2.13,2.13,2.07,2.12,2.16,-0.04,-1.8519,473994.54,99328.754
21,000046.SZ,20210714,2.14,2.16,2.11,2.16,2.15,0.01,0.4651,370016.63,79016.344
22,000046.SZ,20210713,2.16,2.17,2.13,2.15,2.15,0.0,0.0,305186.02,65584.173
23,000046.SZ,20210712,2.15,2.2,2.14,2.15,2.18,-0.03,-1.3761,565820.0,122570.844
24,000046.SZ,20210709,2.14,2.28,2.11,2.18,2.15,0.03,1.3953,612815.69,134592.758
25,000046.SZ,20210708,2.24,2.24,2.13,2.15,2.25,-0.1,-4.4444,779407.98,168726.527
26,000046.SZ,20210707,2.28,2.3,2.24,2.25,2.29,-0.04,-1.7467,366473.21,82863.048
27,000046.SZ,20210706,2.26,2.34,2.25,2.29,2.26,0.03,1.3274,437772.63,99982.076
28,000046.SZ,20210705,2.24,2.3,2.24,2.26,2.25,0.01,0.4444,343082.15,77593.443
29,000046.SZ,20210702,2.29,2.29,2.24,2.25,2.29,-0.04,-1.7467,386323.01,87199.917
30,000046.SZ,20210701,2.3,2.32,2.27,2.29,2.3,-0.01,-0.4348,280847.0,64563.736
