,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600886.SH,20210812,9.11,9.2,9.07,9.13,9.1,0.03,0.3297,96333.3,87854.373
1,600886.SH,20210811,9.11,9.19,9.03,9.1,9.08,0.02,0.2203,160738.66,146297.401
2,600886.SH,20210810,8.99,9.24,8.98,9.08,9.01,0.07,0.7769,189037.07,171819.78
3,600886.SH,20210809,8.8,9.03,8.77,9.01,8.8,0.21,2.3864,128176.3,114310.358
4,600886.SH,20210806,8.73,8.9,8.68,8.8,8.68,0.12,1.3825,144422.94,127232.342
5,600886.SH,20210805,8.62,8.73,8.62,8.68,8.62,0.06,0.6961,111190.92,96344.849
6,600886.SH,20210804,8.63,8.75,8.56,8.62,8.67,-0.05,-0.5767,103053.34,89127.65
7,600886.SH,20210803,8.64,8.76,8.56,8.67,8.63,0.04,0.4635,139620.72,120542.452
8,600886.SH,20210802,8.48,8.71,8.38,8.63,8.49,0.14,1.649,166330.98,142506.056
9,600886.SH,20210730,8.35,8.59,8.35,8.49,8.32,0.17,2.0433,172997.3,146817.815
10,600886.SH,20210729,8.44,8.5,8.28,8.32,8.41,-0.09,-1.0702,150283.4,125853.36
11,600886.SH,20210728,8.39,8.45,8.22,8.41,8.35,0.06,0.7186,183081.34,152772.257
12,600886.SH,20210727,8.64,8.68,8.32,8.35,8.62,-0.27,-3.1323,196097.01,166306.616
13,600886.SH,20210726,8.83,8.87,8.56,8.62,8.85,-0.23,-2.5989,175672.62,152858.439
14,600886.SH,20210723,8.93,8.96,8.8,8.85,8.93,-0.08,-0.8959,133393.16,118155.75
15,600886.SH,20210722,8.88,9.05,8.83,8.93,8.86,0.07,0.7901,125008.41,112084.525
16,600886.SH,20210721,8.97,9.04,8.8,8.86,8.98,-0.12,-1.3363,252978.68,224724.029
17,600886.SH,20210720,9.49,9.49,8.9,8.98,9.7,-0.72,-7.4227,549667.73,495641.569
18,600886.SH,20210719,9.7,9.74,9.57,9.7,9.71,-0.01,-0.103,143548.7,138624.611
19,600886.SH,20210716,9.74,9.83,9.69,9.71,9.72,-0.01,-0.1029,107338.17,104455.65
20,600886.SH,20210715,9.78,9.8,9.68,9.72,9.78,-0.06,-0.6135,83879.92,81536.532
21,600886.SH,20210714,9.89,9.93,9.7,9.78,9.87,-0.09,-0.9119,144053.39,140958.904
22,600886.SH,20210713,9.58,9.88,9.52,9.87,9.58,0.29,3.0271,175359.82,171216.068
23,600886.SH,20210712,9.76,9.76,9.5,9.58,9.74,-0.16,-1.6427,216087.15,207858.918
24,600886.SH,20210709,9.75,9.79,9.69,9.74,9.75,-0.01,-0.1026,100822.63,98071.987
25,600886.SH,20210708,9.86,10.03,9.71,9.75,9.84,-0.09,-0.9146,117745.37,115193.573
26,600886.SH,20210707,9.88,9.92,9.78,9.84,9.88,-0.04,-0.4049,118436.71,116528.107
27,600886.SH,20210706,9.5,9.91,9.5,9.88,9.5,0.38,4.0,245340.12,240193.169
28,600886.SH,20210705,9.58,9.58,9.39,9.5,9.55,-0.05,-0.5236,138142.36,130938.75
29,600886.SH,20210702,9.58,9.64,9.53,9.55,9.64,-0.09,-0.9336,96366.19,92156.465
30,600886.SH,20210701,9.61,9.69,9.53,9.64,9.61,0.03,0.3122,96583.98,92750.714
