,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,000506.SZ,20171229,7.37,7.37,7.26,7.37,7.34,0.03000000000000025,0.4087,22929.44,16771.186,7.328,21090.966,7.4077,28003.8823,7.7221,43739.2679
1,000506.SZ,20171228,7.3,7.38,7.25,7.34,7.31,0.03000000000000025,0.4104,17892.31,13117.451,7.336,20210.866,7.4354,28438.1477,7.7482,47988.7206
2,000506.SZ,20171227,7.31,7.34,7.22,7.31,7.33,-0.020000000000000462,-0.2729,18373.66,13379.988,7.344,22286.048,7.4646,29366.7569,7.7674,48886.2694
3,000506.SZ,20171226,7.28,7.33,7.07,7.33,7.29,0.040000000000000036,0.5487,27747.19,19984.554,7.35,22501.592,7.4962,29399.4492,7.7882,49788.2924
4,000506.SZ,20171225,7.41,7.44,7.28,7.29,7.41,-0.1200000000000001,-1.6194,18512.23,13608.372,7.374,21076.996,7.53,29151.3846,7.8079,50930.5079
5,000506.SZ,20171222,7.31,7.41,7.31,7.41,7.38,0.03000000000000025,0.4065,18528.94,13640.51,7.404,27343.39,7.5677,29421.1808,7.8288,52257.1806
6,000506.SZ,20171221,7.35,7.38,7.27,7.38,7.34,0.040000000000000036,0.545,28268.22,20720.7,7.41,31757.85,7.6,30460.4554,7.8462,53393.2971
7,000506.SZ,20171220,7.45,7.45,7.34,7.34,7.45,-0.11000000000000032,-1.4765,19451.38,14342.373,7.444,34589.506,7.6362,30330.9185,7.8618,54954.0853
8,000506.SZ,20171219,7.4,7.48,7.36,7.45,7.44,0.009999999999999787,0.1344,20624.21,15291.461,7.506,38469.42,7.6762,31187.8892,7.8847,56706.8926
9,000506.SZ,20171218,7.32,7.45,7.2,7.44,7.44,0.0,0.0,49844.2,36658.898,7.562,40059.556,7.7069,32725.6885,7.905,58878.4529
10,000506.SZ,20171215,7.52,7.54,7.42,7.44,7.55,-0.10999999999999943,-1.457,40601.24,30411.588,7.618,36083.562,7.7385,31866.9469,7.9247,59857.9253
11,000506.SZ,20171214,7.61,7.66,7.49,7.55,7.65,-0.10000000000000053,-1.3072,42426.5,32103.155,7.674,31723.046,7.7708,30284.4762,7.9418,62402.5691
12,000506.SZ,20171213,7.63,7.73,7.6,7.65,7.73,-0.08000000000000007,-1.0349,38850.95,29745.437,7.718,28142.216,7.7931,29983.2838,7.9671,64174.8115
13,000506.SZ,20171212,7.65,7.75,7.65,7.73,7.72,0.010000000000000675,0.1295,28574.89,22023.777,7.744,24775.942,7.8169,32405.6777,7.9926,68271.1432
14,000506.SZ,20171211,7.72,7.77,7.6,7.72,7.72,0.0,0.0,29964.23,23057.985,7.764,25468.866,7.8308,34300.8831,8.0241,74570.0797
15,000506.SZ,20171208,7.83,7.83,7.72,7.72,7.77,-0.04999999999999982,-0.6435,18798.66,14591.564,7.79,24792.868,7.8515,38208.21,8.0544,75700.1712
16,000506.SZ,20171207,7.78,7.84,7.73,7.77,7.78,-0.010000000000000675,-0.1285,24522.35,19067.016,7.818,27151.536,7.8638,42596.3954,8.0935,76111.835
17,000506.SZ,20171206,7.75,7.83,7.75,7.78,7.83,-0.04999999999999982,-0.6386,22019.58,17145.422,7.834,30370.186,7.8854,55864.3915,8.1332,76910.89
18,000506.SZ,20171205,7.78,7.84,7.7,7.83,7.85,-0.019999999999999574,-0.2548,32039.51,24946.593,7.848,33702.382,7.9054,57918.8092,8.1788,79312.3647
19,000506.SZ,20171204,7.86,7.87,7.74,7.85,7.86,-0.010000000000000675,-0.1272,26584.24,20745.072,7.854,31300.304,7.9385,60137.1685,8.2153,80328.9679
20,000506.SZ,20171201,7.87,7.94,7.73,7.86,7.85,0.010000000000000675,0.1274,30592.0,24022.04,7.852,33685.656,7.9685,63170.1123,8.2615,83881.6268
21,000506.SZ,20171130,7.88,8.07,7.85,7.85,7.85,0.0,0.0,40615.6,32186.259,7.872,41635.67,7.9992,69999.1677,8.3224,84979.8885
22,000506.SZ,20171129,7.86,7.88,7.68,7.85,7.86,-0.010000000000000675,-0.1272,38680.56,30058.366,7.884,44155.062,8.0308,79752.6469,8.3835,85821.9238
23,000506.SZ,20171128,7.83,7.89,7.8,7.86,7.84,0.020000000000000462,0.2551,20029.12,15721.066,7.912,52570.846,8.0415,80500.9862,8.4444,86643.7821
24,000506.SZ,20171127,7.93,8.01,7.81,7.84,7.96,-0.1200000000000001,-1.5075,38511.0,30415.387,7.916,63734.036,8.0538,82732.78,8.5085,89964.2997
25,000506.SZ,20171124,7.93,8.1,7.79,7.96,7.91,0.04999999999999982,0.6321,70342.07,56067.963,7.958,95433.096,8.0662,84892.1277,8.575,92528.0247
26,000506.SZ,20171123,7.91,8.0,7.8,7.91,7.99,-0.08000000000000007,-1.0013,53212.56,42169.692,7.974,91110.084,8.0692,84374.9762,8.6418,93395.4565
27,000506.SZ,20171122,7.84,8.0,7.66,7.99,7.88,0.11000000000000032,1.3959,80759.48,63524.519,8.044,92643.208,8.0762,84678.3869,8.7094,95314.6312
28,000506.SZ,20171121,7.85,8.03,7.67,7.88,8.05,-0.17000000000000082,-2.1118,75845.07,59798.937,8.094,89693.814,8.07,84722.6592,8.7794,96127.5556
29,000506.SZ,20171120,7.91,8.18,7.24,8.05,8.04,0.010000000000001563,0.1244,197006.3,148487.506,8.17,98398.744,8.0885,84968.9485,8.8497,96952.1497
30,000506.SZ,20171117,8.12,8.22,7.86,8.04,8.26,-0.22000000000000064,-2.6634,48727.01,39265.011,8.212,92479.65,8.0954,77080.5608,8.9088,95753.4053
31,000506.SZ,20171116,8.34,8.39,8.12,8.26,8.24,0.019999999999999574,0.2427,60878.18,50167.875,8.202,92416.042,8.1008,79728.1954,8.9803,97881.4382
32,000506.SZ,20171115,8.21,8.29,8.11,8.24,8.26,-0.019999999999999574,-0.2421,66012.51,54085.682,8.154,90048.894,8.0823,84823.6531,9.0468,100299.3126
33,000506.SZ,20171114,8.2,8.32,8.08,8.26,8.26,0.0,0.0,119369.72,97469.342,8.106,90162.896,8.0954,87644.44,9.1203,105193.5206
34,000506.SZ,20171113,7.92,8.36,7.92,8.26,7.99,0.2699999999999996,3.3792,167410.83,136311.214,8.054,79012.772,8.1154,92164.1715,9.1903,108278.5853
35,000506.SZ,20171110,7.99,8.11,7.95,7.99,8.02,-0.02999999999999936,-0.3741,48408.97,38833.088,8.002,56961.986,8.1569,97958.6254,9.2612,117810.7829
36,000506.SZ,20171109,7.97,8.04,7.91,8.02,8.0,0.019999999999999574,0.25,49042.44,39151.352,7.986,63547.196,8.2154,99495.4231,9.3224,119461.9376
37,000506.SZ,20171108,8.02,8.04,7.88,8.0,8.0,0.0,0.0,66582.52,53001.025,8.006,69548.074,8.2946,98245.6377,9.3829,121288.9065
38,000506.SZ,20171107,7.99,8.04,7.81,8.0,8.0,0.0,0.0,63619.1,50417.415,8.034,75123.022,8.3808,97100.0762,9.4444,122869.3862
39,000506.SZ,20171106,7.9,8.05,7.83,8.0,7.91,0.08999999999999986,1.1378,57156.9,45531.82,8.056,79028.454,8.4831,100180.8931,9.5065,127192.6071
40,000506.SZ,20171103,8.14,8.16,7.9,7.91,8.12,-0.20999999999999908,-2.5862,81335.02,65319.432,8.06,93020.9,8.5654,100907.5946,9.5715,130658.9182
41,000506.SZ,20171102,8.14,8.18,7.96,8.12,8.14,-0.02000000000000135,-0.2457,79046.83,63943.098,8.16,97290.444,8.6815,105987.5654,9.6356,133727.3688
42,000506.SZ,20171101,8.11,8.17,8.01,8.14,8.11,0.030000000000001137,0.3699,94457.26,76452.783,8.24,117106.324,8.8208,105132.6477,9.695,136672.5035
43,000506.SZ,20171031,7.98,8.2,7.83,8.11,8.02,0.08999999999999986,1.1222,83146.26,67022.27,8.372,146762.618,8.9585,103193.2277,9.7603,140826.3324
44,000506.SZ,20171030,8.35,8.36,7.62,8.02,8.41,-0.39000000000000057,-4.6373,127119.13,101767.495,8.5,143810.834,9.0977,101922.2646,9.8206,142666.38
45,000506.SZ,20171027,8.46,8.47,8.22,8.41,8.52,-0.10999999999999943,-1.2911,102682.74,85865.088,8.706,124946.054,9.2531,102369.0023,9.8812,144987.6671
46,000506.SZ,20171026,8.49,8.77,8.32,8.52,8.8,-0.28000000000000114,-3.1818,178126.23,151197.948,8.848,114747.55,9.3831,104137.8415,9.9306,145130.5012
47,000506.SZ,20171025,8.14,9.17,8.14,8.8,8.75,0.05000000000000071,0.5714,242738.73,204540.838,9.01,99856.248,9.5146,98115.42,9.9785,144410.3359
48,000506.SZ,20170424,9.0,9.08,8.73,8.75,9.05,-0.3000000000000007,-3.3149,68387.34,60551.157,9.064,64629.306,9.6231,88555.8638,10.0168,143581.9815
49,000506.SZ,20170421,9.17,9.22,9.02,9.05,9.12,-0.06999999999999851,-0.7675,32795.23,29911.92,9.198,80426.766,9.7477,91633.6769,10.0647,150809.4676
50,000506.SZ,20170420,9.3,9.4,9.05,9.12,9.33,-0.21000000000000085,-2.2508,51690.22,47815.423,9.374,87454.3,9.8415,97101.8338,10.1047,160643.3235
51,000506.SZ,20170419,9.1,9.37,8.95,9.33,9.07,0.2599999999999998,2.8666,103669.72,94861.398,9.536,90965.216,9.9138,105144.8162,10.1374,168986.5674
52,000506.SZ,20170418,9.34,9.48,9.07,9.07,9.42,-0.34999999999999964,-3.7155,66604.02,62215.677,9.654,83556.02,10.0015,106484.0785,10.1647,172414.0059
53,000506.SZ,20170417,9.86,9.86,9.06,9.42,9.93,-0.5099999999999998,-5.136,147374.64,138833.517,9.848,96820.56,10.1131,112367.3008,10.1918,176373.4556
54,000506.SZ,20170414,9.94,10.08,9.87,9.93,9.93,0.0,0.0,67932.9,67719.803,9.984,92481.162,10.2146,118908.9115,10.2088,179184.855
55,000506.SZ,20170413,9.91,10.01,9.86,9.93,9.92,0.009999999999999787,0.1008,69244.8,68845.106,10.044,98861.532,10.2692,130934.2208,10.2165,185370.2047
56,000506.SZ,20170412,10.02,10.05,9.84,9.92,10.04,-0.11999999999999922,-1.1952,66623.74,66154.783,10.1,108705.472,10.3262,163415.8169,10.2274,195332.1512
57,000506.SZ,20170411,10.04,10.1,9.84,10.04,10.1,-0.0600000000000005,-0.5941,132926.72,132620.694,10.19,117060.506,10.3377,166333.0854,10.2424,217829.0835
58,000506.SZ,20170410,10.14,10.3,10.03,10.1,10.23,-0.13000000000000078,-1.2708,125677.65,127259.567,10.236,111251.416,10.3408,164658.6746,10.2371,228402.4841
59,000506.SZ,20170407,10.13,10.43,10.13,10.23,10.21,0.019999999999999574,0.1959,99834.75,102941.655,10.228,117365.684,10.34,164246.4577,10.2035,231370.6274
60,000506.SZ,20170406,10.29,10.47,10.14,10.21,10.37,-0.15999999999999837,-1.5429,118464.5,122062.81,10.276,121614.76,10.3308,172767.5238,10.1791,232379.1459
61,000506.SZ,20170405,10.2,10.45,10.16,10.37,10.27,0.09999999999999964,0.9737,108398.91,112157.462,10.338,126539.042,10.3308,177117.2915,10.1532,234411.9162
62,000506.SZ,20170331,10.11,10.31,10.02,10.27,10.06,0.20999999999999908,2.0875,103881.27,105439.063,10.412,151342.376,10.3092,183060.6323,10.1294,235626.9409
63,000506.SZ,20170330,10.34,10.46,10.01,10.06,10.47,-0.41000000000000014,-3.916,156248.99,159220.969,10.486,175418.506,10.2992,188852.9508,10.1079,237275.755
64,000506.SZ,20170329,10.6,10.66,10.4,10.47,10.52,-0.049999999999998934,-0.4753,121080.13,127405.493,10.608,242469.818,10.3223,194963.6008,10.0915,239224.5747
65,000506.SZ,20170328,10.79,10.79,10.47,10.52,10.74,-0.22000000000000064,-2.0484,143085.91,152050.077,10.528,239163.438,10.2985,196858.0431,10.0674,241029.3332
66,000506.SZ,20170327,10.55,10.84,10.47,10.74,10.64,0.09999999999999964,0.9398,232415.58,248508.816,10.44,232778.132,10.2646,201700.8877,10.0412,241665.6676
67,000506.SZ,20170324,10.58,10.7,10.42,10.64,10.67,-0.02999999999999936,-0.2812,224261.92,236662.585,10.31,210358.782,10.2146,192095.0046,10.0112,240960.01
68,000506.SZ,20170323,10.11,10.85,10.03,10.67,10.07,0.5999999999999996,5.9583,491505.55,516935.652,10.204,207628.12,10.1769,186662.5962,9.9782,238009.3068
69,000506.SZ,20170322,10.03,10.13,10.0,10.07,10.08,-0.009999999999999787,-0.0992,104548.23,105140.814,10.112,144329.306,10.1331,165360.2215,9.94,226607.8374
70,000506.SZ,20170321,10.08,10.18,10.01,10.08,10.09,-0.009999999999999787,-0.0991,111159.38,112099.958,10.116,160552.128,10.1569,181481.2708,9.9162,226500.8568
71,000506.SZ,20170320,10.04,10.14,9.99,10.09,10.11,-0.019999999999999574,-0.1978,120318.83,121006.928,10.128,174156.534,10.1823,201172.5746,9.8938,226786.4941
72,000506.SZ,20170317,10.14,10.38,10.11,10.11,10.21,-0.10000000000000142,-0.9794,210608.61,215926.904,10.182,197230.256,10.1931,217714.2423,9.8718,229021.3197
73,000506.SZ,20170316,10.09,10.27,10.0,10.21,10.09,0.120000000000001,1.1893,175011.48,177838.589,10.192,184250.11,10.2046,218452.2438,9.8559,227966.1941
74,000506.SZ,20170315,10.14,10.22,9.9,10.09,10.14,-0.05000000000000071,-0.4931,185662.34,185611.343,10.166,190456.392,10.1877,220468.6923,9.8379,229857.4132
75,000506.SZ,20170314,10.43,10.5,10.11,10.14,10.36,-0.21999999999999886,-2.1236,179181.41,184363.0,10.166,174831.744,10.1808,224876.3754,9.8256,233194.7
76,000506.SZ,20170313,10.16,10.58,10.1,10.36,10.16,0.1999999999999993,1.9685,235687.44,244037.098,10.168,169723.584,10.1846,232495.8662,9.8024,238170.7679
