,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
0,002762.SZ,20171229,16.17,16.35,16.15,16.35,16.23,0.120000000000001,0.7394,11066.87,17995.482,16.07,16391.644,16.1846,14538.4708,16.8765,15637.4191,20.8388,25665.671,21.6211,30836.6762,19.2407,16802.99
1,002762.SZ,20171228,16.08,16.35,15.93,16.23,16.15,0.08000000000000185,0.4954,16748.53,27097.728,16.022,16349.08,16.1738,15225.86,16.9688,15714.5626,20.8848,25830.5835,21.6893,31429.1243,19.3261,17036.4451
2,002762.SZ,20171227,15.88,16.43,15.79,16.15,15.87,0.27999999999999936,1.7643,25830.2,41861.176,15.966,15399.126,16.2192,16473.1762,17.0688,15605.1176,20.9313,26070.8388,21.756,31941.3054,19.414,17271.5888
3,002762.SZ,20171226,15.74,15.99,15.69,15.87,15.75,0.11999999999999922,0.7619,16779.33,26556.639,15.98,13569.844,16.2285,15294.5246,17.1688,15178.5059,20.9683,26208.2384,21.8216,32818.8543,19.5027,17279.0791
4,002762.SZ,20171225,16.11,16.11,15.6,15.75,16.11,-0.35999999999999943,-2.2346,11533.29,18187.598,16.128,16707.85,16.2446,14610.8046,17.2776,15119.0544,21.0208,26330.8115,21.9067,33356.2861,19.5964,17633.1857
5,002762.SZ,20171222,16.02,16.3,15.94,16.11,15.95,0.16000000000000014,1.0031,10854.05,17521.83,16.218,16009.196,16.2708,14422.9877,17.3879,15081.4782,21.0752,26483.0364,22.0005,34070.8612,19.6939,17973.6961
6,002762.SZ,20171221,16.25,16.3,15.81,15.95,16.22,-0.2699999999999996,-1.6646,11998.76,19196.903,16.266,15612.02,16.2531,15092.4723,17.4876,15118.6062,21.1262,26689.5007,22.0943,35741.7411,19.782,18279.7635
7,002762.SZ,20171220,16.5,16.61,16.13,16.22,16.61,-0.39000000000000057,-2.348,16683.79,27226.62,16.334,14908.038,16.3254,14868.2269,17.5856,15253.6462,21.1786,26944.4831,22.21,35738.7248,19.8723,18930.1373
8,002762.SZ,20171219,16.2,17.19,16.2,16.61,16.2,0.41000000000000014,2.5309,32469.36,54310.261,16.354,13501.06,16.3985,14277.9423,17.6847,15446.4244,21.2251,27308.7574,22.3475,36144.3451,19.9471,19089.0201
9,002762.SZ,20171218,16.29,16.45,16.1,16.2,16.35,-0.15000000000000213,-0.9174,8040.02,13089.284,16.274,11007.774,16.4254,12394.9631,17.7879,14848.0329,21.2813,27406.4813,22.5086,37459.6936,20.0212,19119.8008
10,002762.SZ,20171215,16.33,16.49,16.18,16.35,16.29,0.060000000000002274,0.3683,8868.17,14462.555,16.398,15992.498,16.4954,12631.8915,17.9068,14937.6562,21.3493,27635.3319,22.7009,37728.7774,20.102,19496.4121
11,002762.SZ,20171214,16.24,16.48,16.16,16.29,16.32,-0.030000000000001137,-0.1838,8478.85,13799.024,16.382,16320.41,16.5631,12600.6992,18.0188,15189.9244,21.4201,27904.783,22.9006,38129.3216,20.1757,19828.7895
12,002762.SZ,20171213,16.12,16.53,16.12,16.32,16.21,0.10999999999999943,0.6786,9648.9,15783.245,16.34,16202.834,16.6215,12475.7262,18.1538,15301.3832,21.4943,28370.2318,23.1036,38538.9292,20.2455,20052.0949
13,002762.SZ,20171212,16.73,16.87,16.2,16.21,16.82,-0.6099999999999994,-3.6266,20002.93,32865.254,16.294,16091.388,16.6846,12605.3531,18.2971,15485.8376,21.5661,28842.6962,23.3087,39120.4712,20.3185,20551.0969
14,002762.SZ,20171211,16.34,17.27,16.17,16.82,16.27,0.5500000000000007,3.3805,32963.64,55305.232,16.228,16002.272,16.7469,12045.1023,18.4368,15262.3632,21.6354,29074.7396,23.516,39529.1405,20.3871,20567.3788
15,002762.SZ,20171208,16.05,16.39,16.0,16.27,16.08,0.19000000000000128,1.1816,10507.73,17077.085,16.242,11226.258,16.7908,10506.7131,18.5541,14580.7091,21.7077,29143.9463,23.7194,40066.5893,20.4517,20484.5008
16,002762.SZ,20171207,16.11,16.29,16.05,16.08,16.09,-0.010000000000001563,-0.0622,7890.97,12737.818,16.422,10926.73,16.9008,10742.06,18.6947,14630.8641,21.7872,29433.4003,23.9033,40317.6551,20.5215,20745.2355
