,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,600886.SH,20171229,7.24,7.36,7.2,7.34,7.21,0.13,1.8,255001.12,185586.991,7.328,204908.43,7.3638,184811.27,7.4471,270852.1582
1,600886.SH,20171228,7.3,7.34,7.19,7.21,7.3,-0.09,-1.23,227240.03,165317.307,7.354,183321.952,7.3585,174537.2146,7.4521,281070.1641
2,600886.SH,20171227,7.39,7.39,7.28,7.3,7.38,-0.08,-1.08,130984.12,95938.237,7.402,180078.716,7.3685,170831.1638,7.4676,283161.055
3,600886.SH,20171226,7.41,7.43,7.3,7.38,7.41,-0.03,-0.4,209817.07,154115.422,7.426,182593.236,7.3654,181784.0769,7.4788,284703.0494
4,600886.SH,20171225,7.46,7.51,7.4,7.41,7.47,-0.06,-0.8,201499.81,150005.57,7.424,170544.156,7.3585,186099.4731,7.4865,289217.8709
5,600886.SH,20171222,7.42,7.48,7.41,7.47,7.45,0.02,0.27,147068.73,109534.458,7.426,177278.718,7.3523,189931.9938,7.4915,291214.29
6,600886.SH,20171221,7.42,7.51,7.39,7.45,7.42,0.03,0.4,211023.85,157656.819,7.408,202543.17,7.3462,198872.4508,7.4918,292325.6165
7,600886.SH,20171220,7.37,7.44,7.36,7.42,7.37,0.05,0.68,143556.72,106276.579,7.376,180163.88,7.3415,203321.9677,7.4932,296661.2247
8,600886.SH,20171219,7.4,7.44,7.35,7.37,7.42,-0.05,-0.67,149571.67,110380.703,7.35,175271.012,7.3454,202598.8615,7.4953,297641.9874
9,600886.SH,20171218,7.4,7.48,7.39,7.42,7.38,0.04,0.54,235172.62,174927.751,7.33,169644.358,7.3569,206257.0023,7.4982,301339.6179
10,600886.SH,20171215,7.3,7.41,7.29,7.38,7.29,0.09,1.23,273390.99,201136.474,7.314,158422.108,7.3662,213305.2223,7.5006,299554.6506
11,600886.SH,20171214,7.29,7.32,7.28,7.29,7.29,0.0,0.0,99127.4,72365.647,7.29,158418.308,7.3838,213141.7485,7.5065,301068.9215
12,600886.SH,20171213,7.25,7.3,7.23,7.29,7.27,0.02,0.28,119092.38,86508.395,7.29,191776.272,7.42,239816.2654,7.5159,304228.3785
13,600886.SH,20171212,7.32,7.35,7.25,7.27,7.34,-0.07,-0.95,121438.4,88633.21,7.298,218222.312,7.4577,256649.6954,7.5265,305368.0994
14,600886.SH,20171211,7.25,7.35,7.23,7.34,7.26,0.08,1.1,179061.37,130474.814,7.322,246593.566,7.4969,273457.3438,7.5379,306865.7609
15,600886.SH,20171208,7.29,7.31,7.24,7.26,7.29,-0.03,-0.41,273371.99,198668.312,7.332,264554.806,7.5308,293540.87,7.5485,312805.4226
16,600886.SH,20171207,7.36,7.37,7.27,7.29,7.33,-0.04,-0.55,265917.22,194439.78,7.374,236711.676,7.5731,337739.6708,7.5579,309140.9621
17,600886.SH,20171206,7.39,7.43,7.32,7.33,7.39,-0.06,-0.81,251322.58,185170.522,7.42,222953.732,7.5877,339332.9931,7.5682,306911.0091
18,600886.SH,20171205,7.39,7.49,7.36,7.39,7.39,0.0,0.0,263294.67,194961.058,7.462,238049.112,7.6046,360416.7462,7.5788,307058.8282
19,600886.SH,20171204,7.46,7.47,7.35,7.39,7.47,-0.08,-1.07,268867.57,199151.433,7.506,239643.344,7.6008,355556.5446,7.5862,308248.4409
20,600886.SH,20171201,7.49,7.53,7.45,7.47,7.52,-0.05,-0.66,134156.34,100421.774,7.58,275049.054,7.6,369633.0338,7.5909,305235.38
21,600886.SH,20171130,7.5,7.56,7.45,7.52,7.54,-0.02,-0.27,197127.5,147826.298,7.642,315803.18,7.5946,388384.3638,7.5932,306356.5344
22,600886.SH,20171129,7.63,7.63,7.49,7.54,7.61,-0.07,-0.92,326799.48,246684.25,7.694,344365.246,7.5938,419560.1962,7.5947,304726.7874
23,600886.SH,20171128,7.72,7.72,7.59,7.61,7.76,-0.15,-1.93,271265.83,206969.324,7.742,367034.792,7.6092,417370.2608,7.5956,302971.4985
24,600886.SH,20171127,7.75,7.78,7.66,7.76,7.78,-0.02,-0.26,445896.12,344317.677,7.782,482372.906,7.6146,410612.2685,7.5935,305148.5682
25,600886.SH,20171124,7.76,7.79,7.63,7.78,7.78,0.0,0.0,337926.97,260823.544,7.726,450519.764,7.6054,404260.3362,7.5841,295848.1474
26,600886.SH,20171123,7.8,7.86,7.74,7.78,7.78,0.0,0.0,339937.83,264978.236,7.68,488016.644,7.59,398987.3431,7.5744,293303.1135
27,600886.SH,20171122,7.81,7.96,7.76,7.78,7.81,-0.03,-0.38,440147.21,345190.278,7.592,460051.488,7.5669,387057.8046,7.5615,286964.5841
28,600886.SH,20171121,7.5,7.82,7.48,7.81,7.48,0.33,4.41,847956.4,653393.308,7.512,462394.432,7.5454,380772.2138,7.5497,277535.4624
29,600886.SH,20171120,7.5,7.57,7.44,7.48,7.55,-0.07,-0.93,286630.41,214588.747,7.43,368387.878,7.5208,329152.6946,7.5368,256114.0303
30,600886.SH,20171117,7.36,7.57,7.34,7.55,7.34,0.21,2.86,525411.37,392440.96,7.436,431544.46,7.52,328280.4408,7.5344,251749.0582
31,600886.SH,20171116,7.36,7.4,7.33,7.34,7.38,-0.04,-0.54,200112.05,147351.535,7.474,386128.25,7.5162,301286.0069,7.5303,246819.8715
32,600886.SH,20171115,7.4,7.41,7.3,7.38,7.4,-0.02,-0.27,451861.93,332367.698,7.542,382788.226,7.5346,310883.2492,7.5312,248682.0912
33,600886.SH,20171114,7.51,7.54,7.39,7.4,7.51,-0.11,-1.46,377923.63,281843.103,7.594,365080.04,7.5523,292013.0192,7.5303,239713.5459
34,600886.SH,20171113,7.53,7.61,7.46,7.51,7.74,-0.23,-2.97,602413.32,452690.802,7.63,343370.926,7.5715,275083.7315,7.5309,233166.1697
35,600886.SH,20171110,7.68,7.75,7.65,7.74,7.68,0.06,0.78,298330.32,229948.116,7.624,259859.028,7.5831,242002.6215,7.5285,221485.7432
36,600886.SH,20171109,7.67,7.69,7.6,7.68,7.64,0.04,0.52,183411.93,140350.216,7.576,271879.87,7.58,248362.5869,7.5182,217965.9476
37,600886.SH,20171108,7.58,7.74,7.58,7.64,7.58,0.06,0.79,363321.0,278642.158,7.538,270578.014,7.5723,245698.6177,7.5085,221230.1415
38,600886.SH,20171107,7.48,7.58,7.45,7.58,7.48,0.1,1.34,269378.06,203119.149,7.504,252972.036,7.5723,232373.8346,7.5015,218536.6882
39,600886.SH,20171106,7.48,7.51,7.42,7.48,7.5,-0.02,-0.27,184853.83,137819.727,7.488,233993.17,7.5808,231371.5554,7.4974,214194.6429
40,600886.SH,20171103,7.48,7.53,7.39,7.5,7.49,0.01,0.13,358434.53,267196.395,7.508,261997.644,7.5931,240516.7608,7.4953,215251.0556
41,600886.SH,20171102,7.45,7.5,7.43,7.49,7.47,0.02,0.27,176902.65,132076.927,7.53,231620.526,7.5969,225746.6815,7.4941,211838.0426
42,600886.SH,20171101,7.51,7.52,7.44,7.47,7.5,-0.03,-0.4,275291.11,205742.136,7.562,227808.574,7.6015,225390.7538,7.4932,217019.8335
43,600886.SH,20171031,7.54,7.57,7.48,7.5,7.58,-0.08,-1.06,174483.73,131100.836,7.6,207222.13,7.6092,215115.7531,7.49,214960.8226
44,600886.SH,20171030,7.61,7.63,7.49,7.58,7.61,-0.03,-0.39,324876.2,245487.308,7.64,248527.358,7.6146,222241.5938,7.4868,216298.9453
45,600886.SH,20171027,7.64,7.69,7.6,7.61,7.65,-0.04,-0.52,206548.94,157937.744,7.64,213308.184,7.6115,223811.5938,7.4812,214770.235
46,600886.SH,20171026,7.65,7.67,7.61,7.65,7.66,-0.01,-0.13,157842.89,120744.049,7.646,210018.16,7.5985,217898.7377,7.4762,221649.6715
