,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,002628.SZ,20201231,3.71,3.75,3.7,3.72,3.7,0.020000000000000018,0.5405,49604.77,18457.16,3.7,40055.7,3.8,48781.6862,3.9259,59109.6247
1,002628.SZ,20201230,3.71,3.71,3.67,3.7,3.71,-0.009999999999999787,-0.2695,38916.95,14369.055,3.692,49701.15,3.8162,48824.1108,3.9324,59416.9256
2,002628.SZ,20201229,3.67,3.73,3.65,3.71,3.67,0.040000000000000036,1.0899,35844.97,13243.73,3.714,51059.76,3.8331,50377.6885,3.9406,59440.3565
3,002628.SZ,20201228,3.71,3.72,3.66,3.67,3.7,-0.03000000000000025,-0.8108,38826.0,14289.33,3.742,56006.174,3.8508,50830.8915,3.9494,60642.0794
4,002628.SZ,20201225,3.67,3.72,3.63,3.7,3.68,0.020000000000000018,0.5435,37085.81,13722.202,3.79,55173.574,3.8715,51987.7392,3.9582,61035.9029
5,002628.SZ,20201224,3.75,3.79,3.65,3.68,3.81,-0.1299999999999999,-3.4121,97832.02,36309.98,3.83,54063.412,3.8931,51416.6562,3.9674,61853.9379
6,002628.SZ,20201223,3.83,3.85,3.79,3.81,3.85,-0.040000000000000036,-1.039,45710.0,17442.629,3.874,43826.016,3.9177,47098.7315,3.9756,60235.9668
7,002628.SZ,20201222,3.89,3.89,3.82,3.85,3.91,-0.06000000000000005,-1.5345,60577.04,23376.448,3.892,42791.816,3.9354,46781.81,3.9803,60661.3509
8,002628.SZ,20201221,3.9,3.91,3.88,3.91,3.9,0.010000000000000231,0.2564,34663.0,13503.466,3.912,45952.872,3.9508,46359.5362,3.9826,60063.5268
9,002628.SZ,20201218,3.9,3.92,3.88,3.9,3.9,0.0,0.0,31535.0,12289.227,3.916,49051.53,3.9623,48355.3992,3.9841,60385.2629
10,002628.SZ,20201217,3.89,3.91,3.86,3.9,3.9,0.0,0.0,46645.04,18103.728,3.92,54567.222,3.9738,51339.9377,3.9844,61030.54
11,002628.SZ,20201216,3.96,3.97,3.89,3.9,3.95,-0.050000000000000266,-1.2658,40539.0,15853.133,3.928,53585.536,3.9838,57913.0169,3.9853,61216.4506
12,002628.SZ,20201215,3.93,4.0,3.9,3.95,3.93,0.020000000000000018,0.5089,76382.32,30234.99,3.936,56250.74,3.9977,67768.71,3.9876,61146.8747
13,002628.SZ,20201214,3.9,3.94,3.89,3.93,3.92,0.010000000000000231,0.2551,50156.29,19624.37,3.942,46906.622,4.0,65079.4454,3.9885,60025.2182
14,002628.SZ,20201211,3.95,3.95,3.86,3.92,3.94,-0.020000000000000018,-0.5076,59113.46,23060.997,3.956,45215.164,4.0038,67338.4246,3.9909,59581.445
15,002628.SZ,20201210,3.95,3.96,3.92,3.94,3.94,0.0,0.0,41736.61,16438.987,3.98,41710.476,4.0123,67179.2354,3.9926,59319.9321
16,002628.SZ,20201209,3.98,4.0,3.93,3.94,3.98,-0.040000000000000036,-1.005,53865.02,21338.054,4.002,44380.65,4.0208,72509.6262,3.9947,59663.4729
17,002628.SZ,20201208,4.0,4.02,3.98,3.98,4.0,-0.020000000000000018,-0.5,29661.73,11853.115,4.026,45729.49,4.0262,72575.4408,3.9974,59594.3959
18,002628.SZ,20201207,4.04,4.05,4.0,4.0,4.04,-0.040000000000000036,-0.9901,41699.0,16736.119,4.04,53863.944,4.0277,74588.8154,3.9988,59964.5921
19,002628.SZ,20201204,4.05,4.05,4.01,4.04,4.05,-0.009999999999999787,-0.2469,41590.02,16779.48,4.046,71943.158,4.0277,74719.6615,4.0009,60572.6806
20,002628.SZ,20201203,4.06,4.07,4.02,4.05,4.06,-0.009999999999999787,-0.2463,55087.48,22269.839,4.054,97357.756,4.0238,75125.5108,4.0024,63204.8565
21,002628.SZ,20201202,4.05,4.07,4.03,4.06,4.05,0.009999999999999787,0.2469,60609.22,24566.527,4.04,94624.636,4.0215,77127.3623,4.0018,62795.4012
22,002628.SZ,20201201,4.01,4.07,4.0,4.05,4.03,0.019999999999999574,0.4963,70334.0,28389.258,4.024,98407.396,4.0123,77084.5762,4.0006,62626.4241
23,002628.SZ,20201130,4.06,4.08,4.02,4.03,4.08,-0.04999999999999982,-1.2255,132095.07,53486.449,4.02,95749.396,4.0069,74729.1608,3.9994,61744.7771
24,002628.SZ,20201127,3.97,4.13,3.94,4.08,3.98,0.10000000000000009,2.5126,168663.01,68068.464,4.024,91536.72,4.0054,70468.2746,3.9994,59291.5397
25,002628.SZ,20201126,3.98,3.99,3.96,3.98,3.98,0.0,0.0,41421.88,16464.752,4.01,68748.24,3.9969,61510.8123,3.9988,56014.7747
26,002628.SZ,20201125,4.02,4.06,3.97,3.98,4.03,-0.050000000000000266,-1.2407,79523.02,31984.637,4.014,71630.984,3.9992,63316.7446,3.9994,55832.1018
27,002628.SZ,20201124,4.04,4.06,4.01,4.03,4.05,-0.019999999999999574,-0.4938,57044.0,22998.527,4.018,64406.38,3.9977,60493.5123,3.9979,54427.66
28,002628.SZ,20201123,4.0,4.06,3.99,4.05,4.01,0.040000000000000036,0.9975,111031.69,44795.493,4.01,62370.792,3.9931,60734.2092,3.9956,53727.8185
29,002628.SZ,20201120,3.99,4.05,3.97,4.01,4.0,0.009999999999999787,0.25,54720.61,21901.699,4.004,56386.764,3.9838,55289.5423,3.9924,51484.21
30,002628.SZ,20201119,4.0,4.02,3.99,4.0,4.0,0.0,0.0,55835.6,22340.232,3.99,57453.242,3.98,54588.1131,3.9912,51579.4274
31,002628.SZ,20201118,4.0,4.02,3.98,4.0,3.99,0.009999999999999787,0.2506,43400.0,17386.278,3.986,54228.842,3.9731,54406.4838,3.9915,52968.0568
32,002628.SZ,20201117,4.02,4.02,3.98,3.99,4.02,-0.02999999999999936,-0.7463,46866.06,18721.537,3.988,60889.552,3.9677,55142.33,3.9947,53401.9979
33,002628.SZ,20201116,3.94,4.03,3.94,4.02,3.94,0.07999999999999963,2.0305,81111.55,32337.595,3.984,61959.54,3.9669,54473.6654,3.9985,53778.5844
34,002628.SZ,20201113,3.98,3.98,3.93,3.94,3.98,-0.040000000000000036,-1.005,60053.0,23662.264,3.982,58717.03,3.9638,51176.3154,4.0026,53562.3329
35,002628.SZ,20201112,3.98,4.01,3.96,3.98,4.01,-0.029999999999999805,-0.7481,39713.6,15805.483,3.986,55270.63,3.9692,49254.3923,4.0103,54968.5674
36,002628.SZ,20201111,3.98,4.04,3.94,4.01,3.97,0.03999999999999959,1.0076,76703.55,30678.196,3.984,59362.522,3.9692,50062.7323,4.0153,55939.7379
37,002628.SZ,20201110,4.01,4.02,3.96,3.97,4.01,-0.03999999999999959,-0.9975,52216.0,20821.185,3.968,52072.016,3.9692,48271.4592,4.0203,56203.4868
38,002628.SZ,20201109,3.98,4.03,3.98,4.01,3.96,0.04999999999999982,1.2626,64899.0,25994.103,3.966,50749.222,3.9738,48217.6438,4.0274,58605.7135
39,002628.SZ,20201106,3.98,3.98,3.94,3.96,3.97,-0.010000000000000231,-0.2519,42821.0,16939.247,3.946,48464.306,3.9754,46475.29,4.035,64693.3959
40,002628.SZ,20201105,3.94,3.99,3.94,3.97,3.93,0.040000000000000036,1.0178,60173.06,23837.48,3.94,50493.306,3.9838,47979.3677,4.04,65646.3812
41,002628.SZ,20201104,3.95,3.97,3.91,3.93,3.96,-0.029999999999999805,-0.7576,40251.02,15845.252,3.942,46093.378,3.9931,53434.0554,4.0441,69421.0562
42,002628.SZ,20201103,3.91,3.96,3.9,3.96,3.91,0.04999999999999982,1.2788,45602.03,17974.995,3.952,45692.374,4.0008,53504.4385,4.0529,73261.5997
43,002628.SZ,20201102,3.94,3.94,3.89,3.91,3.93,-0.020000000000000018,-0.5089,53474.42,20902.823,3.962,43585.568,4.0054,54216.8977,4.0603,74835.2132
44,002628.SZ,20201030,3.98,3.98,3.92,3.93,3.98,-0.04999999999999982,-1.2563,52966.0,20934.339,3.976,42935.088,4.0131,53207.9423,4.0674,76044.6715
45,002628.SZ,20201029,3.93,3.98,3.93,3.98,3.98,0.0,0.0,38173.42,15102.951,3.992,43025.288,4.0208,52878.6346,4.0747,77476.8512
46,002628.SZ,20201028,4.01,4.01,3.95,3.98,4.01,-0.029999999999999805,-0.7481,38246.0,15192.837,4.002,45693.884,4.0269,54346.2946,4.0806,78974.7859
47,002628.SZ,20201027,3.96,4.02,3.95,4.01,3.98,0.029999999999999805,0.7538,35068.0,13989.805,4.012,46494.364,4.0285,54112.8331,4.0871,81404.1891
48,002628.SZ,20201026,4.0,4.0,3.93,3.98,4.01,-0.029999999999999805,-0.7481,50222.02,19958.42,4.024,51955.566,4.0223,53859.2946,4.0932,83652.3068
49,002628.SZ,20201023,4.03,4.05,4.0,4.01,4.03,-0.020000000000000462,-0.4963,53417.0,21489.133,4.046,68127.962,4.02,52553.7077,4.1015,88684.5006
50,002628.SZ,20201022,4.03,4.06,4.01,4.03,4.03,0.0,0.0,51516.4,20790.236,4.05,65677.762,4.0146,51117.7077,4.1082,90629.9662
51,002628.SZ,20201021,4.05,4.07,4.02,4.03,4.07,-0.040000000000000036,-0.9828,42248.4,17030.07,4.048,66347.282,4.01,51613.2154,4.1144,92180.7435
52,002628.SZ,20201020,4.05,4.08,4.03,4.07,4.09,-0.019999999999999574,-0.489,62374.01,25255.282,4.044,65969.202,4.0085,56290.1846,4.1185,95323.7956
53,002628.SZ,20201019,4.15,4.19,4.06,4.09,4.03,0.05999999999999961,1.4888,131084.0,53974.506,4.036,63231.4,4.0115,55965.5685,4.1235,98729.7953
54,002628.SZ,20201016,4.01,4.03,4.0,4.03,4.02,0.010000000000000675,0.2488,41166.0,16546.788,4.03,48465.2,4.0138,50472.1838,4.13,100063.9426
55,002628.SZ,20201015,4.05,4.06,4.0,4.02,4.01,0.009999999999999787,0.2494,54864.0,22135.09,4.024,47274.2,4.0238,52979.3377,4.14,105855.8812
56,002628.SZ,20201014,4.04,4.04,3.99,4.01,4.03,-0.020000000000000462,-0.4963,40358.0,16161.713,4.006,42655.8,4.0377,57056.3354,4.1494,115721.6991
57,002628.SZ,20201013,4.06,4.06,4.01,4.03,4.06,-0.02999999999999936,-0.7389,48685.0,19612.53,3.994,41234.078,4.0485,59546.7508,4.1597,128906.0347
58,002628.SZ,20201012,4.01,4.07,4.0,4.06,4.0,0.05999999999999961,1.5,57253.0,23138.527,3.976,38446.878,4.06,62391.8285,4.1674,135824.7229
59,002628.SZ,20201009,3.97,4.01,3.97,4.0,3.93,0.06999999999999984,1.7812,35211.0,14053.368,3.958,38587.878,4.0715,68287.1138,4.1729,139332.1788
60,002628.SZ,20200930,3.95,3.97,3.92,3.93,3.95,-0.020000000000000018,-0.5063,31772.0,12535.567,3.96,52155.478,4.0923,86492.4369,4.1785,141293.8259
61,002628.SZ,20200929,3.96,3.97,3.94,3.95,3.94,0.010000000000000231,0.2538,33249.39,13151.597,3.996,57431.878,4.1077,89834.7831,4.1859,143468.6056
62,002628.SZ,20200928,3.98,3.99,3.93,3.94,3.97,-0.03000000000000025,-0.7557,34749.0,13743.642,4.03,62716.0,4.12,101778.0615,4.1924,145857.3241
63,002628.SZ,20200925,4.02,4.04,3.96,3.97,4.01,-0.03999999999999959,-0.9975,57958.0,23087.228,4.074,70518.0,4.1423,112245.7923,4.1988,150360.1129
64,002628.SZ,20200924,4.1,4.1,4.0,4.01,4.11,-0.10000000000000053,-2.4331,103049.0,41649.58,4.12,80499.394,4.1608,115410.9377,4.2071,156359.1724
65,002628.SZ,20200923,4.12,4.14,4.1,4.11,4.12,-0.009999999999999787,-0.2427,58154.0,23940.98,4.148,74436.274,4.1715,114760.7069,4.2109,156012.9959
66,002628.SZ,20200922,4.13,4.16,4.12,4.12,4.16,-0.040000000000000036,-0.9615,59670.0,24673.885,4.162,79939.676,4.1769,118107.3308,4.2129,157777.6959
67,002628.SZ,20200921,4.19,4.2,4.15,4.16,4.2,-0.040000000000000036,-0.9524,73759.0,30709.958,4.18,94784.018,4.1815,120371.4231,4.2156,160541.2547
68,002628.SZ,20200918,4.16,4.2,4.13,4.2,4.15,0.04999999999999982,1.2048,107864.97,44978.787,4.202,134408.258,4.1846,123993.4777,4.2176,165139.0488
69,002628.SZ,20200917,4.16,4.18,4.13,4.15,4.18,-0.02999999999999936,-0.7177,72733.4,30178.705,4.188,127879.764,4.1862,124273.4031,4.2191,167327.7568
70,002628.SZ,20200916,4.19,4.22,4.15,4.18,4.21,-0.03000000000000025,-0.7126,85671.01,35822.503,4.18,151035.486,4.1946,135702.8808,4.2188,168076.6279
71,002628.SZ,20200915,4.22,4.26,4.18,4.21,4.27,-0.05999999999999961,-1.4052,133891.71,56393.711,4.19,168067.184,4.1992,138309.9438,4.2174,168432.5806
72,002628.SZ,20200914,4.15,4.35,4.12,4.27,4.13,0.13999999999999968,3.3898,271880.2,115303.552,4.19,161109.82,4.2015,136029.2608,4.2159,167730.4715
73,002628.SZ,20200911,4.11,4.14,4.08,4.13,4.11,0.019999999999999574,0.4866,75222.5,30940.328,4.166,125652.98,4.1938,126585.5662,4.2115,161660.5538
74,002628.SZ,20200910,4.25,4.27,4.07,4.11,4.23,-0.1200000000000001,-2.8369,188512.01,78630.239,4.176,130940.502,4.2023,134505.22,4.2106,161922.6976
75,002628.SZ,20200909,4.18,4.27,4.17,4.23,4.21,0.020000000000000462,0.4751,170829.5,72388.127,4.19,111058.74,4.2177,133576.9892,4.21,161083.7679
76,002628.SZ,20200908,4.16,4.22,4.14,4.21,4.15,0.05999999999999961,1.4458,99104.89,41502.072,4.184,101061.982,4.2285,138751.0208,4.2088,161142.6947
77,002628.SZ,20200907,4.17,4.22,4.14,4.15,4.18,-0.02999999999999936,-0.7177,94596.0,39489.289,4.186,103541.804,4.2385,161150.7838,4.2094,162961.2394
