,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,600887.SH,20201231,43.61,45.0,43.6,44.37,43.96,0.4099999999999966,0.9327,835613.35,3703996.843,42.418,754163.07,41.5023,667855.5777,39.9418,539152.9703
1,600887.SH,20201230,41.87,44.09,41.76,43.96,41.87,2.0900000000000034,4.9916,963879.84,4163273.696,41.646,703451.0,41.1708,643404.0615,39.7638,527768.8253
2,600887.SH,20201229,42.4,42.65,41.72,41.87,41.89,-0.020000000000003126,-0.0477,577716.47,2433762.573,41.168,647077.494,40.7923,611294.2769,39.6182,512257.7965
3,600887.SH,20201228,40.37,41.9,40.19,41.89,40.0,1.8900000000000006,4.725,850114.1,3526861.978,40.986,653458.436,40.6046,608080.7954,39.5415,512291.8235
4,600887.SH,20201225,40.66,41.09,39.96,40.0,40.51,-0.509999999999998,-1.2589,543491.59,2194282.425,40.908,608399.382,40.4777,580992.0515,39.4547,501772.0703
5,600887.SH,20201224,41.48,41.48,40.4,40.51,41.57,-1.0600000000000023,-2.5499,582053.0,2380326.472,41.048,608506.026,40.53,579901.7254,39.4403,502461.8829
6,600887.SH,20201223,41.37,42.31,41.1,41.57,40.96,0.6099999999999994,1.4893,682012.31,2854552.194,41.208,654066.802,40.5046,588442.7023,39.3924,501072.0226
7,600887.SH,20201222,41.44,42.15,40.89,40.96,41.5,-0.5399999999999991,-1.3012,609621.18,2533303.01,40.992,622672.602,40.3677,576695.2823,39.3309,499898.7441
8,600887.SH,20201221,40.71,41.88,40.51,41.5,40.7,0.7999999999999972,1.9656,624818.83,2587300.197,40.88,607524.134,40.2123,555897.2531,39.2868,497263.4753
9,600887.SH,20201218,41.01,41.43,40.26,40.7,41.31,-0.6099999999999994,-1.4766,544024.81,2216103.767,40.592,586109.096,39.9846,532645.1208,39.2165,505847.0118
10,600887.SH,20201217,40.86,41.81,40.62,41.31,40.49,0.8200000000000003,2.0252,809856.88,3353488.212,40.26,586594.662,39.8192,518413.8208,39.1341,539826.1785
11,600887.SH,20201216,40.37,40.86,39.83,40.49,40.4,0.09000000000000341,0.2228,525041.31,2116281.096,39.884,531811.528,39.5485,489442.2246,39.0876,555503.0215
12,600887.SH,20201215,40.49,40.59,39.8,40.4,40.06,0.3399999999999963,0.8487,533878.84,2143693.291,39.834,526395.352,39.38,472448.7892,39.195,564048.1415
13,600887.SH,20201214,39.2,40.15,39.0,40.06,39.04,1.0200000000000031,2.6127,517743.64,2048745.865,39.89,525483.054,39.2046,458290.1454,39.2712,570715.0438
14,600887.SH,20201211,39.53,39.65,38.36,39.04,39.43,-0.39000000000000057,-0.9891,546452.64,2123167.832,39.914,560551.466,39.03,460624.5962,39.3053,565678.0968
15,600887.SH,20201210,39.87,40.45,39.09,39.43,40.24,-0.8100000000000023,-2.0129,535941.21,2128037.285,40.064,557120.108,39.0038,455892.2862,39.3747,558160.1426
16,600887.SH,20201209,41.0,41.24,40.1,40.24,40.68,-0.4399999999999977,-1.0816,497960.43,2021999.527,39.966,517781.226,39.01,449206.5377,39.4047,553834.7979
17,600887.SH,20201208,40.18,41.16,39.85,40.68,40.18,0.5,1.2444,529317.35,2147471.807,39.626,482697.362,38.9323,444325.0077,39.4606,549949.7109
18,600887.SH,20201207,40.0,40.6,39.78,40.18,39.79,0.39000000000000057,0.9801,693085.7,2785466.527,39.2,448637.474,38.8092,438915.5669,39.495,545216.2821
19,600887.SH,20201204,39.23,39.88,38.99,39.79,38.94,0.8500000000000014,2.1828,529295.85,2095960.957,38.722,396665.56,38.6669,416423.14,39.5338,536495.1132
20,600887.SH,20201203,38.65,39.1,38.42,38.94,38.54,0.3999999999999986,1.0379,339246.8,1317406.151,38.424,351631.72,38.5269,415069.2669,39.5453,536131.3335
21,600887.SH,20201202,38.88,38.9,38.17,38.54,38.55,-0.00999999999999801,-0.0259,322541.11,1240566.857,38.26,353745.654,38.4715,420002.6815,39.6121,533870.5656
22,600887.SH,20201201,38.12,38.72,37.99,38.55,37.79,0.759999999999998,2.0111,359017.91,1379888.831,38.11,398855.732,38.4546,429695.8592,39.6982,534928.3668
23,600887.SH,20201130,38.26,38.38,37.78,37.79,38.3,-0.509999999999998,-1.3316,433226.13,1647783.833,38.14,424038.672,38.49,435656.3938,39.7938,534807.1997
24,600887.SH,20201127,38.11,38.3,37.61,38.3,38.12,0.17999999999999972,0.4722,304126.65,1156922.206,38.484,427198.742,38.6031,446860.0292,39.9024,529580.0541
25,600887.SH,20201126,37.71,38.21,37.52,38.12,37.79,0.3299999999999983,0.8732,349816.47,1324731.841,38.67,453273.52,38.6523,461345.8631,40.0021,534745.7565
26,600887.SH,20201125,38.7,38.85,37.71,37.79,38.7,-0.9100000000000037,-2.3514,548091.5,2083841.921,38.862,475109.15,38.7592,478048.0746,40.0662,540329.6382
27,600887.SH,20201124,39.75,39.75,38.45,38.7,39.51,-0.8099999999999952,-2.0501,484932.61,1884092.304,38.97,445627.68,38.8431,477025.4785,40.0871,534864.3747
