,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
0,603988.SH,20201231,12.18,12.44,12.17,12.35,12.22,0.129999999999999,1.0638,14974.26,18452.663,12.266,13150.698,12.5831,18254.7123,13.1429,28986.2997,14.4696,52827.4692,13.9901,62283.4849,13.5589,30052.4532
1,603988.SH,20201230,12.16,12.43,12.02,12.22,12.16,0.0600000000000005,0.4934,11452.36,13960.791,12.24,14470.666,12.6208,18195.2931,13.1582,29243.7165,14.4681,53302.5767,13.97,62450.646,13.5821,30733.9809
2,603988.SH,20201229,12.08,12.37,12.08,12.16,12.18,-0.019999999999999574,-0.1642,11239.73,13733.398,12.322,15667.808,12.6538,18669.9338,13.1835,29407.3529,14.4702,53925.5027,13.9503,62642.3566,13.6216,31756.574
3,603988.SH,20201228,12.43,12.43,12.1,12.18,12.42,-0.2400000000000002,-1.9324,13369.46,16324.706,12.414,17947.62,12.7069,18949.6208,13.2129,29695.3185,14.4708,54984.442,13.9314,63069.6253,13.6761,32021.7955
4,603988.SH,20201225,12.22,12.55,12.06,12.42,12.22,0.1999999999999993,1.6367,14717.68,18285.539,12.61,19794.394,12.7538,19647.7692,13.2497,30020.9168,14.4767,56280.4067,13.9146,63706.1783,13.7313,32214.7592
5,603988.SH,20201224,12.63,12.76,12.15,12.22,12.63,-0.41000000000000014,-3.2462,21574.1,26644.701,12.766,24087.98,12.8062,20770.41,13.2818,30586.1374,14.4727,56822.4835,13.8929,63685.1722,13.7824,32401.1535
6,603988.SH,20201223,12.62,12.74,12.41,12.63,12.62,0.010000000000001563,0.0792,17438.07,22043.796,12.882,24983.302,12.9062,20694.9962,13.3076,30625.1274,14.4681,57191.5497,13.8727,63628.3143,13.8407,32473.3297
7,603988.SH,20201222,13.04,13.07,12.59,12.62,13.16,-0.5400000000000009,-4.1033,22638.79,29048.767,12.894,23971.2,12.9969,20503.5569,13.3285,30947.0629,14.4577,57478.151,13.8496,63586.6736,13.8965,32634.6348
8,603988.SH,20201221,12.98,13.28,12.93,13.16,13.2,-0.03999999999999915,-0.303,22603.33,29547.29,12.956,21981.362,13.0854,20371.3962,13.3432,31025.4515,14.4458,57895.0127,13.827,63532.8811,13.9507,32864.6819
9,603988.SH,20201218,12.92,13.49,12.92,13.2,12.8,0.3999999999999986,3.125,36185.61,47761.059,12.892,20301.058,13.1346,21150.4592,13.3441,31003.1856,14.435,58238.9701,13.7995,63466.2778,13.9992,33026.5792
10,603988.SH,20201217,12.58,12.83,12.17,12.8,12.69,0.11000000000000121,0.8668,26050.71,32606.432,12.782,16588.474,13.2,20832.1862,13.3403,30835.1909,14.4234,58782.5596,13.7729,63326.0602,14.0429,33036.5007
11,603988.SH,20201216,12.97,12.97,12.62,12.69,12.93,-0.2400000000000002,-1.8561,12377.56,15767.337,12.792,14353.464,13.2923,21417.7831,13.3441,31032.6385,14.4189,59620.7206,13.7497,63233.4688,14.09,33347.2132
12,603988.SH,20201215,12.9,12.98,12.77,12.93,12.84,0.08999999999999986,0.7009,12689.6,16364.159,12.812,16367.03,13.4046,23821.9492,13.3576,31533.505,14.4108,60290.3947,13.727,63238.4146,14.148,33786.7369
13,603988.SH,20201214,12.65,12.89,12.52,12.84,12.65,0.1899999999999995,1.502,14201.81,18130.565,12.846,19691.512,13.5138,28918.6323,13.3656,32653.0044,14.4045,61314.9731,13.7028,63272.5241,14.2009,34476.7747
14,603988.SH,20201211,12.93,12.93,12.51,12.65,12.85,-0.1999999999999993,-1.5564,17622.69,22255.462,12.982,20969.894,13.59,33397.7285,13.3909,34409.9574,14.4011,62923.2833,13.6777,63264.1678,14.2652,34771.4697
15,603988.SH,20201210,12.76,13.05,12.68,12.85,12.79,0.0600000000000005,0.4691,14875.66,19131.505,13.214,20435.228,13.65,34112.5523,13.4453,34899.2197,14.3981,64074.1302,13.6544,63244.8403,14.3359,34958.9749
16,603988.SH,20201209,13.07,13.21,12.77,12.79,13.1,-0.3100000000000005,-2.3664,22445.39,29060.202,13.398,21644.236,13.7138,35786.5708,13.4859,35166.2779,14.386,65001.1138,13.6285,63238.6571,14.4066,35322.8408
17,603988.SH,20201208,13.48,13.52,13.1,13.1,13.52,-0.41999999999999993,-3.1065,29312.01,38783.18,13.6,23701.388,13.7938,37281.8531,13.5397,35249.1788,14.3779,66614.0944,13.6024,63163.0438,14.4807,35686.1575
18,603988.SH,20201207,13.9,13.9,13.5,13.52,13.81,-0.2900000000000009,-2.0999,20593.72,28104.22,13.79,24248.598,13.8438,40805.5008,13.5788,35196.31,14.3691,67175.2047,13.5739,63081.1049,14.5528,36304.9323
19,603988.SH,20201204,13.71,13.84,13.69,13.81,13.77,0.040000000000000924,0.2905,14949.36,20571.87,13.886,26862.548,13.8423,44688.9,13.6156,35452.9653,14.3499,68385.6723,13.5446,63035.2197,14.6087,36569.8792
20,603988.SH,20201203,13.72,13.89,13.62,13.77,13.8,-0.030000000000001137,-0.2174,20920.7,28726.238,13.954,32599.02,13.7492,45839.9262,13.6312,35678.1306,14.3272,68812.0605,13.5135,63025.3863,14.6552,36812.5749
