trade_date,open,close,high,low
2021-12-12,3.07,2.98,3.09,2.97
2021-12-05,2.89,3.05,3.16,2.79
2021-11-28,2.85,2.96,2.98,2.8
2021-11-21,2.94,2.85,2.95,2.77
2021-11-14,2.65,2.94,2.97,2.62
2021-11-07,2.65,2.64,2.76,2.62
2021-10-31,2.73,2.63,2.75,2.58
2021-10-24,2.63,2.71,2.81,2.61
2021-10-17,2.8,2.66,2.8,2.58
2021-10-10,2.75,2.78,2.83,2.74
2021-10-03,2.8,2.68,2.88,2.65
2021-09-26,2.78,2.82,2.89,2.75
2021-09-19,2.82,2.73,3.01,2.68
2021-09-12,2.64,2.81,2.91,2.63
2021-09-05,2.45,2.65,2.71,2.43
2021-08-29,2.51,2.43,2.54,2.41
2021-08-22,2.56,2.51,2.62,2.47
2021-08-15,2.44,2.56,2.72,2.42
2021-08-08,2.51,2.46,2.61,2.43
2021-08-01,2.59,2.53,2.62,2.39
2021-07-25,2.3,2.59,2.65,2.27
2021-07-18,2.36,2.33,2.4,2.31
2021-07-11,2.33,2.35,2.46,2.26
2021-07-04,2.45,2.34,2.46,2.34
2021-06-27,2.58,2.46,2.58,2.36
2021-06-20,2.57,2.58,2.66,2.5
2021-06-13,2.63,2.57,2.71,2.53
2021-06-06,2.61,2.64,2.9,2.38
2021-05-30,2.21,2.48,2.48,2.21
2021-05-23,2.28,2.22,2.32,2.2
2021-05-16,2.21,2.29,2.34,2.19
2021-05-09,2.06,2.2,2.24,2.06
2021-05-02,2.09,2.07,2.1,2.01
2021-04-25,2.29,2.1,2.3,2.07
2021-04-18,2.25,2.29,2.3,2.2
2021-04-11,2.23,2.25,2.32,2.2
2021-04-04,2.27,2.23,2.3,2.21
2021-03-28,2.3,2.27,2.34,2.24
2021-03-21,2.23,2.29,2.36,2.21
2021-03-14,2.27,2.24,2.38,2.18
2021-03-07,2.25,2.25,2.31,2.18
2021-02-28,2.09,2.23,2.33,2.09
2021-02-21,1.99,2.09,2.09,1.94
2021-02-14,1.91,1.97,1.99,1.84
2021-02-07,2.35,1.91,2.35,1.89
2021-01-31,2.16,2.35,2.4,2.14
2021-01-24,2.2,2.15,2.25,2.12
2021-01-17,2.2,2.19,2.26,2.06
2021-01-10,2.4,2.2,2.41,2.09
2021-01-03,2.4,2.4,2.44,2.34
2020-12-27,2.59,2.4,2.62,2.39
2020-12-20,2.56,2.59,2.64,2.53
2020-12-13,2.78,2.57,2.79,2.54
2020-12-06,2.8,2.8,2.87,2.66
2020-11-29,2.8,2.79,2.86,2.73
2020-11-22,2.7,2.82,2.86,2.69
2020-11-15,2.52,2.7,2.75,2.52
2020-11-08,2.55,2.53,2.55,2.45
2020-11-01,2.8,2.54,2.81,2.53
2020-10-25,2.78,2.8,2.82,2.74
2020-10-18,2.83,2.78,2.89,2.77
2020-10-11,2.81,2.82,2.85,2.81
2020-10-04,2.79,2.79,2.84,2.76
2020-09-27,2.96,2.81,2.97,2.78
2020-09-20,2.85,2.88,2.98,2.81
2020-09-13,2.8,2.83,3.06,2.79
2020-09-06,2.92,2.8,2.97,2.73
2020-08-30,2.97,2.92,2.97,2.81
2020-08-23,2.99,2.98,3.07,2.94
2020-08-16,3.02,2.99,3.07,2.9
2020-08-09,3.08,3.02,3.15,2.99
2020-08-02,3.04,3.07,3.15,2.97
2020-07-26,2.88,3.03,3.22,2.82
2020-07-19,3.46,2.88,3.68,2.86
2020-07-12,3.3,3.43,3.6,3.28
2020-07-05,2.97,3.23,3.24,2.94
2020-06-28,3.08,2.98,3.15,2.98
2020-06-21,3.02,3.07,3.08,2.95
2020-06-14,3.07,3.04,3.1,2.93
2020-06-07,3.08,3.05,3.26,3.03
2020-05-31,3.07,3.08,3.12,2.92
2020-05-24,2.76,3.06,3.22,2.69
2020-05-17,2.87,2.75,2.91,2.75
2020-05-10,2.72,2.86,2.86,2.7
2020-05-03,2.78,2.74,2.84,2.64
2020-04-26,2.86,2.79,2.88,2.78
2020-04-19,2.87,2.88,2.93,2.85
2020-04-12,2.9,2.89,2.98,2.87
2020-04-05,2.92,2.87,2.94,2.84
2020-03-29,2.99,2.95,3.01,2.87
2020-03-22,3.29,3.03,3.3,2.92
2020-03-15,3.47,3.25,3.5,3.17
2020-03-08,3.42,3.53,3.65,3.38
2020-03-01,3.52,3.3,3.62,3.28
2020-02-23,3.31,3.55,3.69,3.31
2020-02-16,3.17,3.31,3.35,3.11
2020-02-09,3.11,3.18,3.23,2.82
2020-01-26,3.67,3.46,3.69,3.44
2020-01-19,3.68,3.66,3.78,3.63
2020-01-12,3.77,3.68,3.82,3.66
2020-01-05,3.71,3.8,3.88,3.68
2019-12-29,3.78,3.71,3.83,3.66
2019-12-22,3.55,3.79,3.84,3.54
2019-12-15,3.5,3.55,3.58,3.43
2019-12-08,3.42,3.5,3.52,3.42
2019-12-01,3.48,3.42,3.56,3.4
2019-11-24,3.4,3.48,3.51,3.37
2019-11-17,3.55,3.38,3.55,3.38
2019-11-10,3.55,3.57,3.62,3.51
2019-11-03,3.76,3.56,3.85,3.46
2019-10-27,3.75,3.69,3.76,3.61
2019-10-20,3.74,3.77,4.06,3.73
2019-10-13,3.58,3.7,3.73,3.52
2019-10-06,3.63,3.58,3.64,3.57
2019-09-29,3.76,3.63,3.81,3.61
2019-09-22,3.92,3.78,3.95,3.73
2019-09-15,3.83,3.92,3.96,3.8
2019-09-08,3.56,3.79,3.89,3.56
2019-09-01,3.45,3.52,3.62,3.41
2019-08-25,3.48,3.53,3.66,3.46
2019-08-18,3.39,3.45,3.51,3.32
2019-08-11,3.62,3.41,3.64,3.39
2019-08-04,3.87,3.65,3.9,3.62
2019-07-28,3.95,3.88,3.95,3.84
2019-07-21,3.9,3.94,4.02,3.85
2019-07-14,4.01,3.92,4.01,3.83
2019-07-07,4.01,4.03,4.07,3.99
2019-06-30,4.07,3.92,4.07,3.91
2019-06-23,3.82,4.07,4.09,3.79
2019-06-16,3.79,3.81,3.93,3.77
2019-06-09,3.84,3.79,3.9,3.77
2019-06-02,3.86,3.86,3.99,3.82
2019-05-26,3.99,3.86,4.11,3.84
2019-05-19,4.12,4.02,4.27,3.97
2019-05-12,4.26,4.18,4.27,3.96
2019-05-05,4.46,4.39,4.49,4.29
2019-04-28,5.02,4.45,5.04,4.41
2019-04-21,4.96,5.01,5.18,4.73
2019-04-14,4.99,4.89,5.02,4.73
2019-04-07,4.68,4.97,5.16,4.67
2019-03-31,4.71,4.65,4.77,4.43
2019-03-24,4.54,4.8,4.95,4.48
2019-03-17,4.58,4.51,4.83,4.43
2019-03-10,4.61,4.58,5.07,4.51
2019-03-03,4.45,4.59,4.9,4.28
2019-02-24,3.65,4.3,4.37,3.64
2019-02-17,3.45,3.63,3.68,3.44
2019-02-03,3.6,3.47,3.69,3.36
2019-01-27,3.84,3.74,3.97,3.7
2019-01-20,3.8,3.84,3.86,3.78
2019-01-13,3.71,3.8,3.83,3.69
2019-01-06,3.62,3.7,3.74,3.5
2018-12-30,3.79,3.6,3.8,3.59
2018-12-23,3.87,3.79,3.89,3.76
2018-12-16,3.8,3.88,3.96,3.78
2018-12-09,3.98,3.82,3.99,3.77
2018-12-02,3.93,3.83,3.99,3.76
2018-11-25,4.29,3.92,4.33,3.92
2018-11-18,3.98,4.3,4.32,3.96
2018-11-11,4.06,3.97,4.12,3.92
2018-11-04,3.83,4.08,4.11,3.78
2018-10-28,3.62,3.85,3.97,3.62
2018-10-21,3.66,3.61,3.75,3.46
2018-10-14,3.88,3.6,4.01,3.44
2018-09-30,3.78,3.91,4.07,3.74
2018-09-23,3.61,3.81,3.81,3.53
2018-09-16,3.68,3.61,3.73,3.59
2018-09-09,3.54,3.67,3.76,3.49
2018-09-02,3.57,3.55,3.61,3.51
2018-08-26,3.42,3.55,3.57,3.4
2018-08-19,3.66,3.42,3.72,3.38
2018-08-12,3.72,3.71,3.77,3.55
2018-08-05,4.24,3.72,4.28,3.7
2018-07-29,4.24,4.26,4.37,4.17
2018-07-22,5.1941,4.32,5.1941,4.13
2018-01-21,5.9841,5.7669,5.9841,5.6879
2018-01-14,5.915,5.9742,6.1026,5.8162
2018-01-07,5.7076,5.9051,6.0039,5.6582
