,trade_date,open,close,high,low
188,20220130,3.85,3.66,3.9,3.53
187,20220123,4.04,3.87,4.11,3.85
186,20220116,4.21,4.06,4.24,4.05
185,20220109,3.99,4.21,4.33,3.99
184,20220102,3.9,4.0,4.02,3.84
183,20211226,4.09,3.91,4.12,3.9
182,20211219,4.01,4.1,4.22,3.96
181,20211212,4.05,4.01,4.11,3.91
180,20211205,3.94,4.05,4.15,3.9
179,20211128,3.9,4.0,4.05,3.88
178,20211121,3.83,3.9,3.93,3.7
177,20211114,3.74,3.83,3.91,3.67
176,20211107,4.09,3.76,4.2,3.76
175,20211031,4.45,4.1,4.5,3.97
174,20211024,4.46,4.48,4.76,4.42
173,20211017,4.75,4.46,4.81,4.32
172,20211010,4.54,4.62,4.71,4.53
171,20211003,4.67,4.56,4.86,4.25
170,20210926,5.69,5.19,5.82,5.18
169,20210919,5.05,5.84,6.41,4.98
168,20210912,4.98,5.08,5.35,4.66
167,20210905,5.22,4.96,5.57,4.86
166,20210829,4.58,5.17,5.3,4.56
165,20210822,4.73,4.6,4.9,4.39
164,20210815,5.0,4.75,5.01,4.54
163,20210808,3.86,4.95,5.02,3.83
162,20210801,4.03,3.88,4.12,3.47
161,20210725,4.05,4.0,4.2,3.88
160,20210718,3.98,4.09,4.23,3.85
159,20210711,3.65,3.98,4.02,3.64
158,20210704,3.92,3.62,3.93,3.57
157,20210627,3.65,3.91,3.99,3.62
156,20210620,4.06,3.68,4.18,3.47
155,20210613,3.78,4.01,4.11,3.68
154,20210606,3.51,3.76,3.8,3.37
153,20210530,3.29,3.47,3.62,3.28
152,20210523,3.6,3.31,3.6,3.25
151,20210516,3.7,3.64,3.92,3.39
150,20210509,3.36,3.69,3.85,3.32
149,20210502,3.38,3.36,3.55,3.21
148,20210425,3.02,3.42,3.58,2.98
147,20210418,3.06,3.03,3.09,2.94
146,20210411,2.92,3.05,3.18,2.89
145,20210404,2.89,2.94,3.01,2.84
144,20210328,2.99,2.88,3.15,2.82
143,20210321,2.98,2.92,3.1,2.91
142,20210314,3.18,3.02,3.48,2.9
141,20210307,2.8,3.34,3.68,2.78
140,20210228,2.99,2.76,3.28,2.73
139,20210221,2.98,3.04,3.14,2.8
138,20210214,2.33,2.87,2.87,2.26
137,20210207,2.55,2.29,2.55,2.25
136,20210131,2.94,2.72,2.95,2.65
135,20210124,2.78,2.95,3.05,2.78
134,20210117,3.26,2.82,3.28,2.74
133,20210110,3.48,3.26,3.86,3.18
132,20210103,3.4,3.48,3.73,3.21
131,20201227,3.41,3.44,3.55,3.15
130,20201220,3.3,3.48,3.77,3.23
129,20201213,3.51,3.37,3.62,3.3
128,20201206,3.69,3.59,4.18,3.37
127,20201129,4.43,3.78,4.9,3.52
126,20201122,3.64,4.45,4.84,3.6
125,20201115,2.5,3.31,3.31,2.46
