,trade_date,open,close,high,low
224,20220522,2.97,3.13,3.14,2.97
223,20220515,2.86,2.97,2.98,2.85
222,20220508,2.89,2.88,2.93,2.79
221,20220501,3.07,2.93,3.07,2.64
220,20220424,3.25,3.1,3.27,3.04
219,20220417,3.38,3.3,3.45,3.21
218,20220410,3.34,3.38,3.43,3.3
217,20220403,3.23,3.33,3.33,3.15
216,20220327,3.43,3.26,3.47,3.22
215,20220320,3.61,3.4,3.63,3.14
214,20220313,3.61,3.7,4.09,3.55
213,20220306,3.87,4.01,4.31,3.4
212,20220227,3.32,3.52,3.52,3.14
211,20220220,3.29,3.32,3.33,3.26
210,20220213,3.3,3.31,3.4,3.28
209,20220130,3.36,3.31,3.36,3.21
208,20220123,3.45,3.37,3.47,3.34
207,20220116,3.49,3.47,3.49,3.41
206,20220109,3.52,3.5,3.54,3.43
205,20220102,3.37,3.5,3.5,3.32
204,20211226,3.36,3.38,3.5,3.33
203,20211219,3.37,3.36,3.42,3.36
202,20211212,3.32,3.38,3.42,3.26
201,20211205,3.4,3.32,3.47,3.31
200,20211128,3.61,3.45,3.61,3.44
199,20211121,3.37,3.57,3.6,3.35
198,20211114,3.18,3.37,3.42,3.15
197,20211107,3.12,3.18,3.19,3.06
196,20211031,3.1,3.15,3.19,3.02
195,20211024,3.14,3.1,3.2,2.98
194,20211017,3.43,3.13,3.44,3.07
193,20211010,3.43,3.43,3.44,3.41
192,20211003,3.45,3.43,3.53,3.34
191,20210926,3.39,3.49,3.54,3.34
190,20210919,3.42,3.42,3.52,3.33
189,20210912,3.33,3.45,3.51,3.3
188,20210905,3.36,3.34,3.4,3.27
187,20210829,3.27,3.37,3.56,3.24
186,20210822,3.26,3.27,3.3,3.2
185,20210815,3.1,3.26,3.27,3.08
184,20210808,3.14,3.11,3.15,3.07
183,20210801,3.19,3.15,3.21,3.0
182,20210725,3.17,3.19,3.27,3.12
181,20210718,3.13,3.18,3.2,3.06
180,20210711,3.03,3.15,3.2,2.96
179,20210704,3.0,3.02,3.03,2.94
178,20210627,2.92,3.03,3.04,2.88
177,20210620,2.95,2.95,2.97,2.9
176,20210613,3.02,2.97,3.03,2.93
175,20210606,2.98,3.02,3.05,2.95
174,20210530,2.88,2.99,3.16,2.86
173,20210523,2.9408,2.87,2.9408,2.8326
172,20210516,2.8621,2.9703,2.9998,2.8326
171,20210509,2.7933,2.8719,2.8818,2.7736
170,20210502,2.6752,2.7736,2.7834,2.6359
169,20210425,2.7342,2.6654,2.7637,2.6556
168,20210418,2.7047,2.7244,2.7342,2.6752
167,20210411,2.7342,2.7146,2.7637,2.6851
166,20210404,2.7244,2.7342,2.7834,2.6949
165,20210328,2.7146,2.7441,2.7539,2.6949
164,20210321,2.6851,2.7146,2.7637,2.6752
163,20210314,2.6260000000000003,2.7047,2.7146,2.5474
162,20210307,2.5375,2.6359,2.6457,2.5375
161,20210228,2.5474,2.5572,2.6064,2.508
160,20210221,2.4097,2.5572,2.5769,2.3998
159,20210214,2.3212,2.4293,2.4293,2.2916
158,20210207,2.4588,2.3113,2.4588,2.3015
157,20210131,2.5375,2.4588,2.5474,2.449
156,20210124,2.5965,2.5474,2.6162,2.5375
155,20210117,2.6752,2.5965,2.6752,2.5179
154,20210110,2.6654,2.6654,2.7342,2.6162
153,20210103,2.6949,2.71,2.74,2.6556
152,20201227,2.7441,2.6949,2.83,2.6556
151,20201220,2.78,2.79,2.83,2.7146
150,20201213,2.8031,2.7342,2.86,2.7047
149,20201206,2.86,2.8129,2.93,2.7637
148,20201129,2.82,2.87,2.9,2.7342
147,20201122,2.79,2.7736,2.86,2.7342
146,20201115,2.71,2.78,2.79,2.6556
145,20201108,2.6359,2.6556,2.72,2.6064
144,20201101,2.6949,2.6359,2.74,2.6162
143,20201025,2.7244,2.74,2.79,2.6851
142,20201018,2.7539,2.77,2.84,2.7146
141,20201011,2.75,2.7539,2.81,2.7047
140,20201004,2.7047,2.6949,2.76,2.6654
139,20200927,2.88,2.7047,2.91,2.6851
138,20200920,2.8719,2.88,2.93,2.7933
137,20200913,2.85,2.92,3.07,2.7933
136,20200906,2.89,2.86,2.96,2.7834
135,20200830,3.0391,2.8326,3.11,2.7834
