trade_date,open,close,high,low
2021-12-12,357.98,354.02,359.95,349.6
2021-12-05,371.0,358.0,380.01,352.1
2021-11-28,390.51,376.28,397.95,374.4
2021-11-21,372.87,392.03,408.8,372.75
2021-11-14,365.47,369.9,374.65,355.58
2021-11-07,341.9,361.6,372.5,341.8
2021-10-31,346.49,342.44,349.0,334.0
2021-10-24,363.0,346.0,363.0,333.82
2021-10-17,393.14,364.27,408.99,351.0
2021-10-10,397.94,393.14,399.5,385.02
2021-10-03,395.8,391.28,425.14,369.01
2021-09-26,388.66,396.8,401.88,381.34
2021-09-19,408.88,392.48,418.0,390.73
2021-09-12,393.63,409.15,439.0,380.8
2021-09-05,397.77,391.45,417.0,366.61
2021-08-29,409.99,400.0,419.88,395.99
2021-08-22,427.84,407.22,460.48,391.6
2021-08-15,406.71,425.54,438.38,403.83
2021-08-08,437.06,411.91,445.79,398.0
2021-08-01,475.97,440.72,476.74,421.5
2021-07-25,516.99,487.61,528.0,481.6
2021-07-18,515.0,520.49,537.0,477.9
2021-07-11,520.0,518.88,530.58,497.33
2021-07-04,548.0,517.77,552.72,510.52
2021-06-27,534.1,540.0,560.0,524.01
2021-06-20,552.0,537.0,578.98,532.7
2021-06-13,587.6455,548.0,588.6249,538.2
2021-06-06,457.3841,567.1856,567.5676,455.4252
2021-05-30,443.829,454.1618,470.1164,440.7341
2021-05-23,430.8715,440.7439,465.1116,428.5013
2021-05-16,428.0018,428.3152,438.7753,423.1831
2021-05-09,448.0797,427.6296,450.4107,423.33
2021-05-02,435.8371,448.5694,455.0727,426.9636
2021-04-25,366.6418,429.9704,429.9704,358.4637
2021-04-18,361.402,367.6702,380.6963,355.5353
2021-04-11,364.9768,362.6752,376.955,356.3874
2021-04-04,338.1508,364.9768,371.1961,334.5662
2021-03-28,335.1146,337.1028,353.5667,328.8758
2021-03-21,342.4504,333.9883,347.4944,314.4981
2021-03-14,372.1853,349.4434,388.4532,340.3447
2021-03-07,305.1839,368.3362,374.0657,304.2045
2021-02-28,353.5667,305.6344,361.7546,300.5415
2021-02-21,330.0609,351.4806,355.0064,324.2628
2021-02-14,329.2088,323.3323,334.5662,317.9162
2021-02-07,331.579,327.1226,372.1069,326.7897
2021-01-31,305.6736,335.9471,355.1044,303.6658
2021-01-24,300.6884,305.4679,312.7057,297.0842
2021-01-17,360.4519,300.0028,360.5205,290.2381
2021-01-10,421.9295,359.6194,439.7547,349.6491
2021-01-03,406.6213,426.0,433.0,377.8071
2020-12-27,397.6401,412.97,440.05,397.1896
2020-12-20,396.0,406.0,437.0,378.0519
2020-12-13,393.2132,396.21,416.87,381.0097
2020-12-06,360.4226,401.8,410.96,348.6697
2020-11-29,402.1944,366.69,412.0,354.6538
2020-11-22,423.7218,408.65,435.0,388.0811
2020-11-15,453.4468,425.9059,475.8,420.1078
2020-11-08,466.75,457.5,482.98,436.0134
2020-11-01,449.97,470.25,478.65,419.1871
2020-10-25,588.0,457.17,592.99,447.7565
2020-10-18,640.0,574.9034,641.0,566.9702
2020-10-11,621.9,623.1686,637.67,609.0945
2020-10-04,630.36,622.9,630.86,601.6608
2020-09-27,618.0,626.8,640.0,580.8092
2020-09-20,558.8802,617.87,621.81,550.4279
2020-09-13,593.6493,566.79,609.0,534.7574
2020-09-06,650.8,591.5631,654.78,587.8414
2020-08-30,629.5,632.6983,648.5,584.6681
2020-08-23,601.98,617.9582,633.0,531.3295
2020-08-16,603.9135,590.0254,621.98,562.1906
2020-08-09,614.0797,613.77,671.6,590.1821
2020-08-02,562.2788,607.2337,625.63,558.2632
2020-07-26,606.2543,573.98,620.0,558.2828
2020-07-19,634.26,590.7796,650.0,571.9749
2020-07-12,540.0,634.26,648.0,517.128
2020-07-05,525.0,541.92,568.79,515.8156
2020-06-28,454.0,524.33,524.33,450.1
2020-06-21,432.8,453.9,454.99,426.0
2020-06-14,402.1,429.0,431.88,391.26
2020-06-07,409.0,399.96,423.99,390.0
2020-05-31,406.8,404.0,411.0,385.12
2020-05-24,432.3012,403.74,432.3012,398.0
2020-05-17,409.1891,432.56800000000004,434.5739,405.8592
2020-05-10,377.3224,410.5626,413.6851,369.3581
2020-05-03,374.5062,374.2691,382.7274,365.6033
2020-04-26,385.8597,373.4193,391.2943,365.6527
2020-04-19,372.5201,387.8359,394.1302,351.2163
2020-04-12,395.7903,362.4413,418.6158,359.8722
2020-04-05,399.0906,390.3457,414.3076,385.3656
2020-03-29,392.2824,403.1517,413.9024,375.4845
2020-03-22,386.996,400.5135,406.3137,336.9677
2020-03-15,404.1399,379.2097,410.0191,357.9553
2020-03-08,413.1811,411.4322,438.0421,395.2468
2020-03-01,435.6904,413.2305,438.6943,393.2706
2020-02-23,423.9022,440.6903,447.1229,403.1517
2020-02-16,406.0963,417.9241,433.2893,398.5965
2020-02-09,332.0666,408.9223,413.6653,332.0666
2020-01-26,364.9116,368.0736,388.5177,357.6984
2020-01-19,359.2793,362.6389,374.2394,355.9197
2020-01-12,302.6701,358.4691,364.1705,302.6701
2020-01-05,294.3106,302.7492,311.8596,289.5183
2019-12-29,308.3221,293.4609,314.2212,292.9767
2019-12-22,297.0576,310.0514,326.4047,297.0576
2019-12-15,295.4964,296.1387,310.5652,293.5893
2019-12-08,291.1388,296.7908,299.1129,283.2734
2019-12-01,312.245,289.7851,317.1954,283.9749
2019-11-24,272.7203,312.6205,325.5846,271.7322
2019-11-17,258.6693,274.0543,277.1273,252.5429
2019-11-10,262.2265,258.8867,270.7243,257.9084
2019-11-03,272.7104,261.0803,276.6629,260.2503
2019-10-27,290.4768,272.2658,295.447,265.3094
2019-10-20,271.7322,292.9075,295.615,268.2738
2019-10-13,266.8015,269.8548,272.2756,258.1159
2019-10-06,270.25,266.8706,272.5227,261.8609
2019-09-29,274.578,269.2026,291.7317,251.4955
2019-09-22,264.7956,274.7064,280.6055,263.4616
2019-09-15,268.0169,263.4023,275.1906,260.517
2019-09-08,265.3193,265.9813,281.3861,255.4282
2019-09-01,266.5643,264.7857,275.4771,260.27
2019-08-25,247.7703,272.4239,281.6133,247.6419
2019-08-18,210.7851,244.8257,248.5114,209.8069
2019-08-11,214.8463,210.963,220.8441,207.5145
2019-08-04,208.7595,216.12099999999998,227.2669,208.3544
2019-07-28,206.5165,208.9867,210.963,197.9297
2019-07-21,208.7891,205.5283,212.6428,204.145
2019-07-14,220.0833,208.7891,223.4725,205.3011
2019-07-07,209.9749,220.94299999999998,228.2155,209.6191
2019-06-30,207.5046,207.465,212.4353,203.7991
2019-06-23,193.1868,207.4947,207.9986,190.7066
2019-06-16,187.5446,193.7302,197.1293,184.7779
2019-06-09,202.4652,187.7422,206.5165,186.8628
2019-06-02,194.6492,202.56400000000002,205.8149,191.4971
2019-05-26,216.8356,193.7599,219.6211,188.5031
2019-05-19,201.0573,216.1368,228.4875,199.0461
2019-05-12,209.6216,201.8599,214.7205,195.1369
2019-05-05,204.9004,214.3428,217.1755,204.4471
2019-04-28,211.44400000000002,204.4471,220.5653,204.4282
2019-04-21,212.4543,211.7933,215.7591,200.2736
2019-04-14,195.458,210.3581,228.4875,189.6225
2019-04-07,197.5825,198.6212,207.261,188.9521
2019-03-31,196.4022,194.9197,200.6985,182.4841
2019-03-24,176.4787,201.9543,206.6755,175.4495
2019-03-17,160.6249,176.4787,196.2889,159.7279
2019-03-10,163.3537,159.624,168.5471,158.0471
2019-03-03,144.4972,162.4284,168.717,143.5247
2019-02-24,145.4132,143.5341,152.9671,140.5031
2019-02-17,147.8682,145.4132,152.0229,144.2517
2019-02-03,150.4743,146.5935,154.3646,139.4078
2019-01-27,151.3997,149.9455,154.374,148.05700000000002
2019-01-20,150.3232,152.1928,155.6393,147.6605
2019-01-13,144.4595,149.379,149.7567,142.1083
2019-01-06,141.5795,143.2509,144.7522,137.7554
2018-12-30,147.3205,139.7477,149.9738,137.8592
2018-12-23,144.2801,148.2837,152.6649,138.8129
2018-12-16,126.5283,144.6483,149.379,124.5454
2018-12-09,129.3138,127.9069,136.3862,126.4339
2018-12-02,126.3206,126.8022,129.701,118.7572
2018-11-25,129.6443,126.1695,133.969,123.1857
2018-11-18,119.5221,130.3525,134.8093,119.0877
2018-11-11,118.9744,119.541,125.9712,115.8206
2018-11-04,97.0397,119.116,119.7298,94.5941
2018-10-28,92.5451,97.0397,100.8261,91.6197
2018-10-21,93.0172,91.8841,94.6507,87.7011
2018-10-14,108.1156,93.2249,109.0127,90.26
2018-09-30,113.5922,109.8625,113.6867,108.8899
2018-09-23,116.7554,114.4326,117.898,110.4762
2018-09-16,124.1772,117.0954,125.4897,115.4052
2018-09-09,120.2019,124.2338,132.0049,119.947
2018-09-02,121.6183,120.2019,130.8718,119.9281
2018-08-26,112.3647,121.4294,127.4726,112.3647
2018-08-19,114.3287,112.73299999999999,122.3453,112.2703
2018-08-12,105.8022,115.3296,115.8301,103.4888
2018-08-05,116.2455,105.8022,116.8971,105.0091
2018-07-29,117.8508,116.6327,122.4492,115.8206
2018-07-22,122.2793,117.4447,123.639,115.6696
2018-07-15,117.7186,124.2055,125.8296,113.1201
2018-07-08,120.6646,117.7186,120.6646,114.3948
2018-07-01,119.9092,120.6646,121.0989,111.4205
2018-06-24,128.8417,119.1727,128.9739,113.9699
2018-06-17,133.6574,131.0324,135.0265,128.7095
2018-06-10,135.0265,133.8084,138.2464,132.8359
2018-06-03,138.6618,134.7904,141.2396,133.3835
2018-05-27,142.5899,139.6816,145.6398,139.285
2018-05-20,142.2972,142.4671,144.9033,140.2198
2018-05-13,143.1577,142.2027,148.8172,142.1083
2018-05-06,137.8507,142.1557,144.3174,136.7096
2018-04-29,138.1105,137.3683,144.438,134.4179
2018-04-22,142.8793,137.4054,146.8503,137.1271
2018-04-15,145.9503,144.27100000000002,149.0491,143.1484
2018-04-08,160.4053,147.4255,161.2959,144.27100000000002
2018-04-01,132.7757,159.6445,160.39600000000002,132.7757
2018-03-25,146.6833,136.6632,157.9281,136.459
2018-03-18,154.922,147.3513,157.6126,143.6958
2018-03-11,145.2174,154.7272,156.1282,143.1113
2018-03-04,138.2404,145.2081,148.9564,136.1158
2018-02-25,134.5293,136.8487,138.2311,133.6107
2018-02-18,139.0754,133.3231,142.1186,129.6584
2018-02-11,163.8288,140.6341,163.9401,140.6341
2018-02-04,182.032,165.5359,185.5576,162.1866
2018-01-28,185.5576,182.9876,187.8585,174.4241
2018-01-21,199.7713,185.0751,207.3606,182.8763
2018-01-14,184.8061,198.3147,205.9504,179.9909
2018-01-07,170.5274,183.4515,188.34099999999998,166.3988
