代码,    名称,涨幅,现价,涨跌,换手,振幅,涨速,总金额,总市值,流通市值,总手,利好,利空,主力净量,市盈(动),TTM市盈率,市净率,现手,开盘,昨收,最高,最低,买价,卖价,买量,卖量,委比%,量比,金叉个数,手/笔,外盘,内盘
SH601899,紫金矿业,2.22%,18.45,0.4,0.77%,3.38%,0.05%,2914016100,4.85715E+11,3.79264E+11,158414600,无,无,0.05,19.39,22.14,0,2419280↑,18.08,18.05,18.58,17.97,18.45,18.46,287919,158200,29.08,1.05,0,1262,92295768,66118832
SZ000400,许继电气,-0.57%,29.71,-0.17,1.19%,3.28%,0.00%,357968030,30274767000,29957248000,12023570,无,无,0,31.91,27.99,0,165100↓,29.88,29.88,30.3,29.32,29.71,29.72,1500,7800,-67.74,0.59,0,369,5989515,6034055
SZ000415,渤海租赁,1.99%,2.56,0.05,1.80%,4.38%,0.00%,247324050,15832374000,13805412000,96864000,无,无,0.27,10.18,11.12,0,668700↑,2.51,2.51,2.6,2.49,2.55,2.56,1115400,51300,91.21,1.8,0,5145,55239950,41624050
SZ000420,吉林化纤,-1.57%,3.76,-0.06,3.22%,3.93%,-0.27%,299851620,9245345000,9242157600,79120204,无,无,-0.3,110.1,225,0,1179200↓,3.78,3.82,3.87,3.72,3.75,3.76,537600,76300,75.14,0.6,0,2649,34999410,44120794
SZ000422,湖北宜化,0.49%,12.3,0.06,2.29%,3.76%,0.00%,283032190,13011760600,12389939300,23029000,无,无,0.14,23.78,35.18,0,207600↑,12.11,12.24,12.5,12.04,12.3,12.31,170800,91868,30.05,0.63,0,759,11467800,11561200
SZ000426,兴业银锡,2.98%,15.53,0.45,4.23%,5.31%,0.06%,971845780,28531595000,22951552000,62526462,无,无,-0.08,31.1,24.08,0,592300↑,15.21,15.08,15.89,15.09,15.52,15.53,20300,1146200,-96.52,1.36,0,975,36057043,26469419
SZ000521,长虹美菱,-1.69%,9.88,-0.17,3.92%,3.08%,0.00%,340560740,10175646300,8648087100,34353655,无,无,-0.48,16.36,13.15,0,268300↓,9.98,10.05,10.1,9.79,9.88,9.89,34800,8900,59.27,1.08,0,856,17518979,16834676
SZ000539,粤电力Ａ,-2.00%,5.88,-0.12,2.67%,2.17%,0.00%,400755460,30871670000,15017007000,68243079,无,无,-0.36,61.12,30.49,0,1302000↓,5.92,6,5.93,5.8,5.87,5.88,645012,29600,91.22,1.02,0,1985,32414239,35828840
SZ000544,中原环保,0.46%,8.77,0.04,0.84%,1.60%,0.23%,71793199,8547983000,8547983000,8194700,无,无,0,5.11,8.55,0,262600↑,8.73,8.73,8.83,8.69,8.76,8.77,23100,63613,-46.72,0.77,0,575,4512150,3682550
SZ000552,甘肃能化,4.42%,3.78,0.16,1.71%,6.35%,0.00%,190505400,20229783000,11283410400,51090769,无,无,0.07,9.43,15.37,0,540600↑,3.6,3.62,3.83,3.6,3.77,3.78,313600,84100,57.71,1.73,0,2227,34255186,16835583
SZ000598,兴蓉环境,1.61%,7.57,0.12,0.76%,2.55%,-0.13%,168788780,22596422000,22472123000,22417900,无,无,0.04,12.37,11.76,0,425600↑,7.47,7.45,7.59,7.4,7.57,7.58,156900,108900,18.06,1.02,0,728,13395851,9022049
SZ000612,焦作万方,6.95%,8.31,0.54,8.95%,10.55%,0.12%,873944310,9907177000,9900701400,106670381,无,无,1.2,17.59,13.95,0,1142800↑,7.76,7.77,8.48,7.66,8.3,8.31,323600,189440,26.15,1.66,0,1448,63272302,43398079
SZ000657,中钨高新,5.75%,11.96,0.65,3.10%,8.66%,0.00%,453214750,16712642000,14827897000,38408448,无,无,-0.08,65.43,37.25,0,364000↑,11.21,11.31,12.12,11.14,11.95,11.96,51650,40504,12.09,1.61,0,846,21404399,17004049
SZ000682,东方电子,-0.42%,11.9,-0.05,2.36%,4.60%,-0.25%,378172590,15954651000,15953076000,31606182,无,无,0.09,39.33,28.19,0,358000↓,11.85,11.95,12.26,11.71,11.9,11.91,138000,27100,67.17,0.79,0,810,15854904,15751278
SZ000697,炼石航空,-3.35%,7.5,-0.26,3.70%,5.93%,0.00%,164589540,6548256600,4360889300,21521606,无,无,-0.45,,,0,462900↓,7.79,7.76,7.95,7.49,7.49,7.5,85000,151500,-28.12,0.47,0,1671,8977956,12543650
SZ000722,湖南发展,-6.93%,11.41,-0.85,9.72%,4.24%,-0.26%,521348040,5296046000,5296046000,45129389,无,无,-0.71,51.4,74.19,0,758500↓,11.8,12.26,11.82,11.3,11.41,11.42,74700,138000,-29.76,1.16,0,980,18375991,26753398
SZ000737,北方铜业,1.42%,12.18,0.17,15.67%,6.91%,0.00%,1367353100,21588516000,8846041600,113809257,无,无,-0.74,22.91,32.57,0,1893400↑,11.83,12.01,12.39,11.56,12.17,12.18,15700,52100,-53.69,0.91,0,1044,51429277,62379980
SZ000758,中色股份,4.32%,5.56,0.23,4.10%,6.57%,-0.18%,445049540,11080198000,10949388000,80818984,无,无,0.56,9.23,19,0,642400↑,5.31,5.33,5.63,5.28,5.56,5.57,118000,396400,-54.12,1.95,0,1507,48570171,32248813
SZ000791,甘肃能源,-3.49%,7.18,-0.26,4.22%,4.03%,0.00%,485710710,11491881000,11491768000,67518699,无,无,-0.7,55.78,18.68,0,741266↓,7.32,7.44,7.33,7.03,7.18,7.19,212934,63300,54.17,0.86,0,1269,31184236,36334463
SZ000848,承德露露,-0.33%,9.15,-0.03,0.66%,0.98%,-0.11%,62768319,9630869800,9511677300,6875242,无,无,0.04,9.77,14.92,0,280009↓,9.12,9.18,9.17,9.08,9.15,9.16,35691,60800,-26.02,0.83,0,603,2972165,3903077
SZ000878,云南铜业,2.80%,14.33,0.39,2.89%,4.38%,0.00%,823497300,28711994000,28711361000,57930366,无,无,0.02,15.9,18.5,0,524400↑,13.86,13.94,14.42,13.81,14.32,14.33,30800,164400,-68.44,1.16,0,1080,33819972,24110394
SZ000886,海南高速,1.04%,4.85,0.05,2.49%,2.50%,0.21%,118078190,4795817300,4742509000,24371550,无,无,0.08,34.84,38.07,0,270500↑,4.78,4.8,4.9,4.78,4.84,4.85,78400,183700,-40.18,0.32,0,2000,11902500,12469050
SZ000899,赣能股份,-3.59%,11.02,-0.41,4.98%,3.67%,0.09%,536340910,10751968900,10751968900,48560958,无,无,-0.48,13.21,15.64,0,452100↓,11.2,11.43,11.3,10.88,11.01,11.02,267400,46700,70.26,0.79,0,973,20682066,27878892
SZ000902,新洋丰,0.49%,12.32,0.06,0.48%,1.47%,0.08%,67254932,15458311000,13991159000,5454300,无,无,-0.02,11.24,13.54,0,25100↑,12.22,12.26,12.4,12.22,12.31,12.32,12500,4500,47.06,0.53,0,376,2552100,2902200
SZ000913,钱江摩托,-1.14%,18.28,-0.21,2.17%,2.97%,-0.11%,181135170,9629511000,8359920200,9922556,无,无,-0.15,17.23,18.17,0,135500↓,18.5,18.49,18.63,18.08,18.28,18.29,1300,4000,-50.94,0.59,0,370,4432500,5490056
SZ000922,佳电股份,0.14%,14.12,0.02,1.84%,2.20%,-0.21%,151467040,8413522800,8290476900,10788940,无,无,-0.04,22.62,22.02,0,126700↑,13.99,14.1,14.18,13.87,14.11,14.12,4100,25600,-72.39,0.9,0,712,4802100,5986840
SZ000923,河钢资源,0.00%,20.26,0,2.18%,4.05%,0.40%,278084380,13224288700,12721129500,13674955,无,无,-0.21,13.77,13.71,0,80100↑,20.27,20.26,20.78,19.96,20.25,20.26,12100,69500,-70.34,1.27,0,630,5964655,7710300
SZ000966,长源电力,-3.35%,5.2,-0.18,2.40%,2.60%,0.19%,342538410,14296504000,14296504000,65961212,无,无,-0.17,14.29,37.85,0,1307554↓,5.28,5.38,5.29,5.15,5.2,5.21,18746,120800,-73.13,1.11,0,1424,28955177,37006035
SZ001696,宗申动力,2.88%,12.51,0.35,14.00%,6.33%,0.08%,1538788400,14324287000,11150660000,124754995,无,无,1.24,29.79,38.62,0,2116500↑,11.98,12.16,12.65,11.88,12.5,12.51,899600,139700,73.12,1.03,0,1058,64061525,60693470
SZ001872,招商港口,-1.04%,19.09,-0.2,0.22%,1.56%,0.05%,75030877,47719747000,33276158000,3917795,无,无,-0.01,11.51,12.7,0,60100↓,19.28,19.29,19.28,18.98,19.08,19.09,22800,200,98.26,1.12,0,298,1796745,2121050
SZ002003,伟星股份,0.91%,12.26,0.11,0.38%,1.73%,0.00%,46825580,14335257000,12321258800,3834466,无,无,0.01,45.99,24.61,0,38054↑,12.15,12.15,12.29,12.08,12.26,12.27,46,23500,-99.61,0.44,0,380,1944279,1890187
SZ002035,华帝股份,-2.42%,8.06,-0.2,1.75%,3.15%,0.00%,111023940,6832088200,6291015700,13675079,无,无,-0.11,13.77,14.26,0,153100↓,8.28,8.26,8.29,8.03,8.06,8.07,3000,15200,-67.03,0.6,0,526,4788390,8886689
SZ002053,云南能投,2.23%,13.27,0.29,1.40%,3.85%,-0.30%,170776340,12218080000,12217693000,12851302,无,无,0.12,8.56,18.63,0,206800↑,12.98,12.98,13.46,12.96,13.27,13.28,7000,200,94.44,1.93,0,500,7399013,5452289
SZ002061,浙江交科,0.50%,3.99,0.02,1.09%,1.76%,0.00%,113231409,10370560200,10370560200,28406990,无,无,-0.01,13.93,7.52,0,610700↑,3.97,3.97,4.02,3.95,3.98,3.99,550920,2080000,-58.12,0.84,0,1937,15707310,12699680
SZ002064,华峰化学,-0.26%,7.61,-0.02,0.31%,1.44%,0.00%,116590472,37764959000,37684648000,15328724,无,无,-0.01,13.81,14.92,0,175900↓,7.58,7.63,7.65,7.54,7.61,7.62,18900,4000,65.07,0.93,0,513,7895829,7432895
SZ002085,万丰奥威,0.39%,15.47,0.06,6.58%,2.86%,-0.07%,2151581700,32847413000,32847413000,139688940,无,无,0.04,36.21,45.01,0,3409600↑,15.3,15.41,15.65,15.21,15.46,15.47,66800,27300,41.98,0.62,0,944,71344981,68343959
SZ002096,易普力,2.78%,12.95,0.35,2.70%,5.87%,-0.31%,170121820,16063708000,6325231400,13167865,无,无,0.05,29.8,25.13,0,90400↑,12.51,12.6,13.2,12.46,12.95,12.96,56800,4800,84.42,0.97,0,424,7768115,5399750
SZ002111,威海广泰,0.55%,10.99,0.06,2.02%,3.11%,-0.09%,105021392,5838187600,5246748900,9628179,无,无,-0.13,29.53,40.4,0,78300↑,10.88,10.93,11.09,10.75,10.98,10.99,22100,200,98.21,0.57,0,522,4591956,5036223
SZ002125,湘潭电化,1.32%,12.26,0.16,6.95%,5.12%,0.16%,532182210,7717445800,7717445800,43748718,无,无,-0.18,39.73,21.41,0,638800↑,11.88,12.1,12.44,11.82,12.25,12.26,179000,16400,83.21,0.94,0,880,22797091,20951627
SZ002130,沃尔核材,-2.81%,13.15,-0.38,8.29%,7.83%,0.00%,1377323700,16567666000,16426311000,103525671,无,无,-0.59,22.47,21.22,0,1258100↓,13.92,13.53,14.05,12.99,13.15,13.16,65700,33200,32.86,0.94,0,981,46768978,56756693
SZ002155,湖南黄金,10.00%,21.67,1.97,6.26%,9.85%,0.00%,1596379300,26048195000,26045460000,75243418,无,无,0.67,40.1,47.79,0,60200↑,19.91,19.7,21.67,19.73,21.67,--,1573220,0,100,1.54,0,1105,32489477,42753941
