,ts_code,symbol,name,area,industry,list_date
0,000001.SZ,000001,平安银行,深圳,银行,19910403
1,000002.SZ,000002,万科A,深圳,全国地产,19910129
2,000004.SZ,000004,国华网安,深圳,软件服务,19910114
3,000006.SZ,000006,深振业A,深圳,全国地产,19920427
4,000009.SZ,000009,中国宝安,深圳,综合类,19910625
5,000011.SZ,000011,深物业A,深圳,区域地产,19920330
6,000012.SZ,000012,南玻A,深圳,玻璃,19920228
7,000014.SZ,000014,沙河股份,深圳,全国地产,19920602
8,000016.SZ,000016,深康佳A,深圳,视听器材,19920327
9,000019.SZ,000019,深粮控股,深圳,商品批发,19921012
10,000020.SZ,000020,深华发A,深圳,显示器件,19920428
11,000021.SZ,000021,深科技,深圳,电脑设备,19940202
12,000023.SZ,000023,深天地A,深圳,其它建材,19930429
13,000025.SZ,000025,特力A,深圳,汽车服务,19930621
14,000026.SZ,000026,飞亚达,深圳,其他连锁,19930603
15,000027.SZ,000027,深圳能源,深圳,火力发电,19930903
16,000028.SZ,000028,国药一致,深圳,医药商业,19930809
17,000029.SZ,000029,深深房A,深圳,区域地产,19930915
18,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929
19,000032.SZ,000032,深桑达A,深圳,通信应用,19931028
20,000034.SZ,000034,神州数码,深圳,综合类,19940509
21,000035.SZ,000035,中国天楹,江苏,环保工程,19940408
22,000036.SZ,000036,华联控股,深圳,全国地产,19940617
23,000037.SZ,000037,深南电A,深圳,火力发电,19940701
24,000038.SZ,000038,深大通,深圳,综合类,19940808
25,000039.SZ,000039,中集集团,深圳,专用机械,19940408
26,000042.SZ,000042,中洲控股,深圳,全国地产,19940921
27,000045.SZ,000045,深纺织A,深圳,显示器件,19940815
28,000048.SZ,000048,京基智农,深圳,饲料,19941101
29,000050.SZ,000050,深天马A,深圳,显示器件,19950315
30,000055.SZ,000055,方大集团,深圳,其它建材,19960415
31,000056.SZ,000056,皇庭国际,深圳,房产服务,19960708
32,000058.SZ,000058,深赛格,深圳,房产服务,19961226
33,000059.SZ,000059,华锦股份,辽宁,石油加工,19970130
34,000060.SZ,000060,中金岭南,深圳,铅锌,19970123
35,000061.SZ,000061,农产品,深圳,农业加工,19970110
36,000062.SZ,000062,深圳华强,深圳,商品批发,19970130
