
1,胜率高的
a0,大盘亢龙有悔

a3,筹码突破
a31,建仓破绽
a32,岛型反转缺口
a4,短线强庄股
a41,短线强庄股2
a5,神4
a51,神4_1
a6,神1
a61,神1pro
a71,神2
a72,神2pro
a73,神3
a81,出水芙蓉

b1,N型反转
b2,塔形底
b3,见龙在田5
b4,跳空缺口阴线

b7,起爆均线4
b8,龙战于野
b83,V型反转
b84,大有
b85,隔山打牛
b89,VOL阴尽阳生





b10,一箭双雕

b12,以逸待劳1
b13,见龙在田1
b14,以逸待劳

c2,以逸待劳2
c3,以逸待劳3
c4,以逸待劳4
c5,以逸待劳5
c6,以逸待劳6


c7,死灰复燃
c8,柳暗花明

c10,结界
c111,起爆均线1
c112,起爆均线2
c113,起爆均线3

c12,看跌做涨


c13,飞龙在天
c14,峰回路转
c15,反客为主Plus




c22,个股亢龙有悔

c23,早晨之星2
c24,峰回路转
c25,早晨之星

d1,堆量1
d2,小阳建仓1
d3,阴错阳差
d4,反包1
d5,追击一字板
d6,5连阳



2,第 2 天盯盘的


e2,飞龙在天2
e3,龙战于野2
e4,见龙在田2
e5,以逸待劳0



f1,SCS1

f3,反客为主
f4,神0
f5,九死一生
f6,有惊无险
f7,否极泰来
f8,蜻蜓点水
f9,凌波微步
f10,有惊无险1
f11,有惊无险2
f12,九死一生1
f13,九死一生2
f14,一阳穿多均

f21,有钱君


胜率低的

g1,雾里看花
