,ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,circ_mv
0,600228.SH,20220323,6.78,0.7247,0.48,,16.2476,163614.96
1,605598.SH,20220323,14.85,3.8507,0.71,23.6648,1.7839,64142.2985
2,001201.SZ,20220323,41.46,3.4539,0.79,10.792,2.3548,183825.348
3,600376.SH,20220323,5.84,0.5344,1.4,4.7983,0.5768,1506466.1013
4,600463.SH,20220323,8.68,1.5277,1.04,286.9603,2.0697,260400.0
5,002249.SZ,20220323,6.49,4.7765,2.13,148.3873,1.8602,1124219.3371
6,300898.SZ,20220323,23.07,2.1004,0.54,35.3722,3.4889,117436.6815
7,300690.SZ,20220323,21.48,2.9597,1.67,11.0881,2.7357,233535.2813
8,300851.SZ,20220323,27.83,1.7326,1.67,20.057,2.0904,114301.7062
9,301206.SZ,20220323,100.0,2.6104,0.55,57.9964,2.9993,319815.29
10,688085.SH,20220323,24.76,1.4675,0.61,42.8822,3.0154,204379.3402
11,603726.SH,20220323,13.8,0.5476,0.73,22.979,2.3544,256198.656
12,000622.SZ,20220323,4.5,1.6047,0.65,648.912,9.6424,191351.7
13,830799.BJ,20220323,11.5,0.1108,0.25,34.0458,4.763,90114.7993
14,603066.SH,20220323,8.22,0.6392,0.59,26.1186,2.2294,247177.7838
15,300397.SZ,20220323,13.03,4.576,1.04,65.5467,3.2875,521981.9863
16,603297.SH,20220323,116.75,0.8529,0.62,79.7745,9.0155,1279445.7375
17,600133.SH,20220323,6.07,5.4459,0.92,7.0516,0.8591,482901.7284
18,300011.SZ,20220323,7.39,4.3265,1.51,,2.7769,370085.2887
19,300872.SZ,20220323,34.74,3.5403,0.69,58.3425,3.4196,494604.3474
20,301110.SZ,20220323,56.78,18.7755,0.57,25.6248,2.7444,86255.9232
21,301036.SZ,20220323,25.46,1.5252,0.51,16.1044,1.6194,63650.0
22,001219.SZ,20220323,25.86,6.0186,0.65,29.0166,2.719,57409.2
23,603950.SH,20220323,15.75,0.7162,0.81,14.6203,1.6182,138695.9096
24,301088.SZ,20220323,19.59,1.3461,0.72,27.5601,1.8663,102645.0844
25,688097.SH,20220323,31.7,1.309,0.87,53.3381,5.295,123471.5
26,000951.SZ,20220323,12.44,0.7702,0.9,7.775,1.0449,1461421.1798
27,300529.SZ,20220323,45.45,0.6578,0.82,41.8283,12.003,2337323.9624
28,003005.SZ,20220323,30.39,2.4077,0.77,21.7788,2.2373,144078.99
29,603716.SH,20220323,14.88,4.3641,0.5,52.9986,2.0011,299569.1374
30,300549.SZ,20220323,15.22,0.5611,0.85,89.6404,3.715,151541.735
31,002259.SZ,20220323,3.2,0.4242,1.47,22.8772,23.748,240745.0454
32,688108.SH,20220323,6.67,1.0209,0.62,121.5787,2.9577,193350.3235
33,301113.SZ,20220323,36.1,5.8439,0.96,29.8889,3.4698,63175.0
34,300999.SZ,20220323,49.9,1.4803,0.69,45.083,3.1204,2707809.014
35,300329.SZ,20220323,8.4,2.6426,0.82,66.7222,2.3222,211839.164
36,300793.SZ,20220323,14.92,1.5989,0.74,73.9791,2.2201,154438.1136
