xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20240925,codename null-**600619.Sh
xxxx,黄线超预期--20241104,建筑工程,美丽生态**000010.SZ
xxxx,黄线超预期--20241104,其他商业,皇庭国际**000056.SZ
xxxx,黄线超预期--20241104,区域地产,渝开发**000514.SZ
xxxx,黄线超预期--20241104,化工原料,金浦钛业**000545.SZ
xxxx,黄线超预期--20241104,汽车配件,万向钱潮**000559.SZ
xxxx,黄线超预期--20241104,多元金融,陕国投A**000563.SZ
xxxx,黄线超预期--20241104,多元金融,海德股份**000567.SZ
xxxx,黄线超预期--20241104,汽车整车,海马汽车**000572.SZ
xxxx,黄线超预期--20241104,中成药,启迪药业**000590.SZ
xxxx,黄线超预期--20241104,化工原料,英力特**000635.SZ
xxxx,黄线超预期--20241104,建筑工程,美丽生态**000010.SZ
xxxx,黄线超预期--20241104,其他商业,皇庭国际**000056.SZ
xxxx,黄线超预期--20241104,区域地产,渝开发**000514.SZ
xxxx,黄线超预期--20241104,化工原料,金浦钛业**000545.SZ
xxxx,黄线超预期--20241104,汽车配件,万向钱潮**000559.SZ
xxxx,黄线超预期--20241104,多元金融,陕国投A**000563.SZ
xxxx,黄线超预期--20241104,多元金融,海德股份**000567.SZ
xxxx,黄线超预期--20241104,汽车整车,海马汽车**000572.SZ
xxxx,黄线超预期--20241104,中成药,启迪药业**000590.SZ
xxxx,黄线超预期--20241104,化工原料,英力特**000635.SZ
xxxx,黄线超预期--20241104,小金属,东方锆业**002167.SZ
xxxx,黄线超预期--20241104,化工原料,川发龙蟒**002312.SZ
xxxx,黄线超预期--20241104,软件服务,榕基软件**002474.SZ
xxxx,黄线超预期--20241104,乳制品,贝因美**002570.SZ
xxxx,黄线超预期--20241104,食品,好想你**002582.SZ
xxxx,黄线超预期--20241104,装修装饰,瑞和股份**002620.SZ
xxxx,黄线超预期--20241104,医疗保健,皓宸医疗**002622.SZ
xxxx,黄线超预期--20241104,建筑工程,成都路桥**002628.SZ
xxxx,黄线超预期--20241104,服饰,棒杰股份**002634.SZ
xxxx,黄线超预期--20241104,运输设备,远大智能**002689.SZ
xxxx,黄线超预期--20241104,汽车配件,浙江世宝**002703.SZ
xxxx,黄线超预期--20241104,元器件,波导股份**600130.SH
xxxx,黄线超预期--20241104,汽车配件,东安动力**600178.SH
xxxx,黄线超预期--20241104,专用机械,精伦电子**600355.SH
xxxx,黄线超预期--20241104,矿物制品,宁波韵升**600366.SH
xxxx,黄线超预期--20241104,焦炭加工,安泰集团**600408.SH
xxxx,黄线超预期--20241104,区域地产,华丽家族**600503.SH
xxxx,黄线超预期--20241104,电气设备,亿晶光电**600537.SH
xxxx,黄线超预期--20241104,普钢,安阳钢铁**600569.SH
xxxx,黄线超预期--20241104,汽车配件,金杯汽车**600609.SH
xxxx,黄线超预期--20241104,化学制药,复旦复华**600624.SH
xxxx,黄线超预期--20241104,电器仪表,飞乐音响**600651.SH
xxxx,黄线超预期--20241104,汽车配件,湖南天雁**600698.SH
xxxx,黄线超预期--20241104,全国地产,上实发展**600748.SH
xxxx,黄线超预期--20241104,证券,哈投股份**600864.SH
xxxx,黄线超预期--20241104,综合类,亚泰集团**600881.SH
xxxx,黄线超预期--20241104,工程机械,建设机械**600984.SH
xxxx,黄线超预期--20241104,摩托车,力帆科技**601777.SH
xxxx,黄线超预期--20241104,家居用品,丰林集团**601996.SH
xxxx,黄线超预期--20241104,家居用品,山东华鹏**603021.SH
xxxx,黄线超预期--20241104,运输设备,展鹏科技**603488.SH
xxxx,黄线超预期--20241104,家居用品,茶花股份**603615.SH
xxxx,黄线超预期--20241104,汽车配件,豪能股份**603809.SH
xxxx,黄线超预期--20241104,化工原料,国泰集团**603977.SH
xxxx,黄线超预期--20241108,建筑工程,美丽生态**000010.SZ
xxxx,黄线超预期--20241108,空运,中信海直**000099.SZ
xxxx,黄线超预期--20241108,元器件,华塑控股**000509.SZ
xxxx,黄线超预期--20241108,机械基件,冰山冷热**000530.SZ
xxxx,黄线超预期--20241108,化工原料,金浦钛业**000545.SZ
xxxx,黄线超预期--20241108,化学制药,海南海药**000566.SZ
xxxx,黄线超预期--20241108,化学制药,东北制药**000597.SZ
xxxx,黄线超预期--20241108,全国地产,新华联**000620.SZ
xxxx,黄线超预期--20241108,保险,天茂集团**000627.SZ
xxxx,黄线超预期--20241108,汽车配件,模塑科技**000700.SZ
xxxx,黄线超预期--20241108,区域地产,苏宁环球**000718.SZ
xxxx,黄线超预期--20241108,酒店餐饮,西安饮食**000721.SZ
xxxx,黄线超预期--20241108,化纤,恒申新材**000782.SZ
xxxx,黄线超预期--20241108,综合类,粤桂股份**000833.SZ
xxxx,黄线超预期--20241108,区域地产,财信发展**000838.SZ
xxxx,黄线超预期--20241108,区域地产,福星股份**000926.SZ
xxxx,黄线超预期--20241108,多元金融,电投产融**000958.SZ
xxxx,黄线超预期--20241108,汽车配件,众泰汽车**000980.SZ
xxxx,黄线超预期--20241108,仓储物流,传化智联**002010.SZ
xxxx,黄线超预期--20241108,装修装饰,宝鹰股份**002047.SZ
xxxx,黄线超预期--20241108,全国地产,荣盛发展**002146.SZ
xxxx,黄线超预期--20241108,其他商业,御银股份**002177.SZ
xxxx,黄线超预期--20241108,软件服务,延华智能**002178.SZ
xxxx,黄线超预期--20241108,医疗保健,新里程**002219.SZ
xxxx,黄线超预期--20241108,汽车配件,奥特佳**002239.SZ
xxxx,黄线超预期--20241108,百货,友阿股份**002277.SZ
xxxx,黄线超预期--20241108,建筑工程,北新路桥**002307.SZ
xxxx,黄线超预期--20241108,化学制药,誉衡药业**002437.SZ
xxxx,黄线超预期--20241108,农药化肥,蓝丰生化**002513.SZ
xxxx,黄线超预期--20241108,电器仪表,新时达**002527.SZ
xxxx,黄线超预期--20241108,百货,徐家汇**002561.SZ
xxxx,黄线超预期--20241108,电气设备,露笑科技**002617.SZ
xxxx,黄线超预期--20241108,汽车配件,京威股份**002662.SZ
xxxx,黄线超预期--20241108,林业,福建金森**002679.SZ
xxxx,黄线超预期--20241108,食品,海欣食品**002702.SZ
xxxx,黄线超预期--20241108,环境保护,岭南股份**002717.SZ
xxxx,黄线超预期--20241108,文教休闲,英派斯**002899.SZ
xxxx,黄线超预期--20241108,证券,华林证券**002945.SZ
xxxx,黄线超预期--20241108,电气设备,冠城大通**600067.SH
xxxx,黄线超预期--20241108,红黄酒,中信尼雅**600084.SH
xxxx,黄线超预期--20241108,煤炭开采,郑州煤电**600121.SH
xxxx,黄线超预期--20241108,装修装饰,创兴资源**600193.SH
xxxx,黄线超预期--20241108,元器件,福日电子**600203.SH
xxxx,黄线超预期--20241108,供气供热,长春燃气**600333.SH
xxxx,黄线超预期--20241108,园区开发,华夏幸福**600340.SH
xxxx,黄线超预期--20241108,化学制药,联环药业**600513.SH
xxxx,黄线超预期--20241108,医疗保健,交大昂立**600530.SH
xxxx,黄线超预期--20241108,普钢,安阳钢铁**600569.SH
xxxx,黄线超预期--20241108,铝,中孚实业**600595.SH
xxxx,黄线超预期--20241108,全国地产,绿地控股**600606.SH
xxxx,黄线超预期--20241108,汽车配件,金杯汽车**600609.SH
xxxx,黄线超预期--20241108,汽车配件,申达股份**600626.SH
xxxx,黄线超预期--20241108,建筑工程,华建集团**600629.SH
xxxx,黄线超预期--20241108,半导体,太极实业**600667.SH
xxxx,黄线超预期--20241108,汽车整车,北汽蓝谷**600733.SH
xxxx,黄线超预期--20241108,农业综合,东方集团**600811.SH
xxxx,黄线超预期--20241108,百货,上海九百**600838.SH
xxxx,黄线超预期--20241108,焦炭加工,宝泰隆**601011.SH
xxxx,黄线超预期--20241108,互联网,三六零**601360.SH
xxxx,黄线超预期--20241108,服饰,日播时尚**603196.SH
xxxx,黄线超预期--20241108,食品,惠发食品**603536.SH
xxxx,黄线超预期--20241108,汽车配件,豪能股份**603809.SH
xxxx,蓝线-低开高走-超预期--20240924,codename null-**600619.Sh
xxxx,蓝线-低开高走-超预期--20240924,codename null-**600619.Sh
xxxx,蓝线-低开高走-超预期--20240924,codename null-**600619.Sh
xxxx,蓝线-低开高走-超预期--20240924,家用电器,海立股份**600619.SH
xxxx,蓝线-低开高走-超预期--20241101,电气设备,上海电气**601727.SH
xxxx,蓝线-低开高走-超预期--20241108,区域地产,深振业A**000006.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他商业,全新好**000007.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,美丽生态**000010.SZ
xxxx,蓝线-低开高走-超预期--20241108,家用电器,深康佳A**000016.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,深振业A**000006.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他商业,全新好**000007.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,美丽生态**000010.SZ
xxxx,蓝线-低开高走-超预期--20241108,家用电器,深康佳A**000016.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,金融街**000402.SZ
xxxx,蓝线-低开高走-超预期--20241108,酒店餐饮,华天酒店**000428.SZ
xxxx,蓝线-低开高走-超预期--20241108,元器件,华塑控股**000509.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,渝开发**000514.SZ
xxxx,蓝线-低开高走-超预期--20241108,水运,凤凰航运**000520.SZ
xxxx,蓝线-低开高走-超预期--20241108,机械基件,冰山冷热**000530.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,金浦钛业**000545.SZ
xxxx,蓝线-低开高走-超预期--20241108,多元金融,陕国投A**000563.SZ
xxxx,蓝线-低开高走-超预期--20241108,化学制药,海南海药**000566.SZ
xxxx,蓝线-低开高走-超预期--20241108,多元金融,海德股份**000567.SZ
xxxx,蓝线-低开高走-超预期--20241108,化学制药,东北制药**000597.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,新华联**000620.SZ
xxxx,蓝线-低开高走-超预期--20241108,保险,天茂集团**000627.SZ
xxxx,蓝线-低开高走-超预期--20241108,石油加工,茂化实华**000637.SZ
xxxx,蓝线-低开高走-超预期--20241108,食品,西王食品**000639.SZ
xxxx,蓝线-低开高走-超预期--20241108,房产服务,荣丰控股**000668.SZ
xxxx,蓝线-低开高走-超预期--20241108,供气供热,惠天热电**000692.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,模塑科技**000700.SZ
xxxx,蓝线-低开高走-超预期--20241108,商贸代理,厦门信达**000701.SZ
xxxx,蓝线-低开高走-超预期--20241108,百货,中兴商业**000715.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,苏宁环球**000718.SZ
xxxx,蓝线-低开高走-超预期--20241108,证券,国海证券**000750.SZ
xxxx,蓝线-低开高走-超预期--20241108,超市连锁,中百集团**000759.SZ
xxxx,蓝线-低开高走-超预期--20241108,化纤,恒申新材**000782.SZ
xxxx,蓝线-低开高走-超预期--20241108,综合类,粤桂股份**000833.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,财信发展**000838.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,海南高速**000886.SZ
xxxx,蓝线-低开高走-超预期--20241108,区域地产,福星股份**000926.SZ
xxxx,蓝线-低开高走-超预期--20241108,纺织,欣龙控股**000955.SZ
xxxx,蓝线-低开高走-超预期--20241108,多元金融,电投产融**000958.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,众泰汽车**000980.SZ
xxxx,蓝线-低开高走-超预期--20241108,仓储物流,传化智联**002010.SZ
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,宝鹰股份**002047.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,宏润建设**002062.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,黑猫股份**002068.SZ
xxxx,蓝线-低开高走-超预期--20241108,日用化工,青岛金王**002094.SZ
xxxx,蓝线-低开高走-超预期--20241108,全国地产,荣盛发展**002146.SZ
xxxx,蓝线-低开高走-超预期--20241108,装修装饰,海南发展**002163.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他商业,御银股份**002177.SZ
xxxx,蓝线-低开高走-超预期--20241108,软件服务,延华智能**002178.SZ
xxxx,蓝线-低开高走-超预期--20241108,中成药,嘉应制药**002198.SZ
xxxx,蓝线-低开高走-超预期--20241108,医疗保健,新里程**002219.SZ
xxxx,蓝线-低开高走-超预期--20241108,其他建材,濮耐股份**002225.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,奥特佳**002239.SZ
xxxx,蓝线-低开高走-超预期--20241108,软件服务,川大智胜**002253.SZ
xxxx,蓝线-低开高走-超预期--20241108,百货,友阿股份**002277.SZ
xxxx,蓝线-低开高走-超预期--20241108,房产服务,世联行**002285.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,北新路桥**002307.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,川发龙蟒**002312.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,雅博股份**002323.SZ
xxxx,蓝线-低开高走-超预期--20241108,广告包装,省广集团**002400.SZ
xxxx,蓝线-低开高走-超预期--20241108,家用电器,爱仕达**002403.SZ
xxxx,蓝线-低开高走-超预期--20241108,电器连锁,爱施德**002416.SZ
xxxx,蓝线-低开高走-超预期--20241108,小金属,云南锗业**002428.SZ
xxxx,蓝线-低开高走-超预期--20241108,化学制药,誉衡药业**002437.SZ
xxxx,蓝线-低开高走-超预期--20241108,软件服务,榕基软件**002474.SZ
xxxx,蓝线-低开高走-超预期--20241108,化工原料,宝莫股份**002476.SZ
xxxx,蓝线-低开高走-超预期--20241108,电气设备,协鑫集成**002506.SZ
xxxx,蓝线-低开高走-超预期--20241108,农药化肥,蓝丰生化**002513.SZ
xxxx,蓝线-低开高走-超预期--20241108,电器仪表,新时达**002527.SZ
xxxx,蓝线-低开高走-超预期--20241108,建筑工程,中化岩土**002542.SZ
xxxx,蓝线-低开高走-超预期--20241108,百货,徐家汇**002561.SZ
xxxx,蓝线-低开高走-超预期--20241108,造纸,顺灏股份**002565.SZ
xxxx,蓝线-低开高走-超预期--20241108,食品,好想你**002582.SZ
xxxx,蓝线-低开高走-超预期--20241108,医药商业,瑞康医药**002589.SZ
xxxx,蓝线-低开高走-超预期--20241108,水泥,海南瑞泽**002596.SZ
xxxx,蓝线-低开高走-超预期--20241108,文教休闲,中公教育**002607.SZ
xxxx,蓝线-低开高走-超预期--20241108,电气设备,露笑科技**002617.SZ
xxxx,蓝线-低开高走-超预期--20241108,石油开采,仁智股份**002629.SZ
xxxx,蓝线-低开高走-超预期--20241108,汽车配件,京威股份**002662.SZ
xxxx,蓝线-低开高走-超预期--20241108,林业,福建金森**002679.SZ
xxxx,蓝线-低开高走-超预期--20241108,服饰,乔治白**002687.SZ
xxxx,蓝线-低开高走-超预期--20241108,运输设备,远大智能**002689.SZ
xxxx,蓝线-低开高走-超预期--20241108,塑料,顾地科技**002694.SZ
xxxx,蓝线-低开高走-超预期--20241108,食品,海欣食品**002702.SZ
