xxxx,00_测试定时任务,下载数据开始=20220325--,codename null---小树股票池**000001.SZ
化工原料,保利联合--强势股票**002037.SZ,,
互联网,南极电商**002127.SZ,,
农业综合,正邦科技**002157.SZ,,
软件服务,联络互动**002280.SZ,,
服饰,嘉麟杰**002486.SZ,,
互联网,吉宏股份**002803.SZ,,
区域地产,华夏幸福**600340.SH,,
化工原料,红星发展--强势股票**600367.SH,,
广告包装,永吉股份**603058.SH,,
汽车配件,福达股份**603166.SH,,
染料涂料,亚邦股份**603188.SH,,
小金属,吉翔股份**603399.SH,,
70.7--流通市值,169.3亿--,仓储物流,德邦股份--强势股票**603056.SH
95.4--流通市值,13.7亿--,纺织,宏达高科**002144.SZ
624.9--流通市值,26.7亿--,旅游服务,曲江文旅**600706.SH
59.8--流通市值,17.1亿--,农业综合,绿康生化**002868.SZ
329.6--流通市值,8.2亿--,装修装饰,名雕股份**002830.SZ
155.0--流通市值,23.1亿--,乳制品,庄园牧场**002910.SZ
204.6--流通市值,149.6亿--,家用电器,创维数字**000810.SZ
101.2--流通市值,183.1亿--,种植业,苏垦农发**601952.SH
45.9--流通市值,134.1亿--,化学制药,华润双鹤**600062.SH
503.6--流通市值,42.4亿--,软件服务,中科金财**002657.SZ
38.8--流通市值,61.6亿--,生物制药,万泽股份**000534.SZ
16.7--流通市值,149.2亿--,园区开发,中国国贸**600007.SH
75.7--流通市值,14.0亿--,服饰,浪莎股份**600137.SH
74.2--流通市值,19.2亿--,中成药,康惠制药**603139.SH
128.0--流通市值,34.8亿--,汽车整车,北方股份**600262.SH
46.7--流通市值,27.6亿--,汽车配件,金鸿顺**603922.SH
108.6--流通市值,51.3亿--,区域地产,津滨发展**000897.SZ
177.0--流通市值,58.2亿--,区域地产,天保基建**000965.SZ
200.8--流通市值,43.1亿--,渔业,好当家**600467.SH
144.7--流通市值,72.6亿--,文教休闲,沐邦高科**603398.SH
28.4--流通市值,139.1亿--,中成药,奇正藏药**002287.SZ
21.8--流通市值,103.6亿--,百货,重庆百货**600729.SH
53.6--流通市值,153.7亿--,医药商业,国药股份**600511.SH
66.8--流通市值,22.6亿--,园区开发,海泰发展**600082.SH
56.8--流通市值,57.3亿--,区域地产,光大嘉宝**600622.SH
98.9--流通市值,39.7亿--,区域地产,栖霞建设**600533.SH
81.4--流通市值,34.1亿--,全国地产,天地源**600665.SH
63.4--流通市值,84.4亿--,房产服务,世联行**002285.SZ
278.4--流通市值,62.2亿--,建筑工程,腾达建设**600512.SH
154.3--流通市值,44.4亿--,区域地产,三湘印象**000863.SZ
72.9--流通市值,28.6亿--,电气设备,融钰集团**002622.SZ
324.5--流通市值,44.4亿--,专用机械,北玻股份**002613.SZ
36.4--流通市值,45.2亿--,仓储物流,广汇物流**600603.SH
93.7--流通市值,36.6亿--,汽车整车,安凯客车**000868.SZ
279.1--流通市值,38.2亿--,汽车配件,湖南天雁**600698.SH
295.7--流通市值,51.9亿--,造纸,顺灏股份**002565.SZ
81.6--流通市值,31.8亿--,家用电器,长虹华意**000404.SZ
54.4--流通市值,42.0亿--,纺织,华茂股份**000850.SZ
57.1--流通市值,22.1亿--,纺织,龙头股份**600630.SH
369.2--流通市值,68.0亿--,互联网,天娱数科**002354.SZ
183.9--流通市值,22.0亿--,综合类,廊坊发展**600149.SH
212.2--流通市值,57.5亿--,种植业,农发种业**600313.SH
777.4--流通市值,34.5亿--,化学制药,亚太药业**002370.SZ
82.9--流通市值,36.2亿--,出版业,读者传媒**603999.SH
72.8--流通市值,26.8亿--,综合类,华阳新材**600281.SH
54.1--流通市值,18.2亿--,纺织,如意集团**002193.SZ
141.6--流通市值,15.9亿--,纺织,凤竹纺织**600493.SH
