b8,龙战于野--20210603-持仓量20210326-20210528-中间值4.5--8周-换手率,106.7-流通市值,26.7亿,软件服务,云鼎科技**000409.SZ
b8,龙战于野--20210408,普钢,本钢板材**000761.SZ,,
b8,龙战于野--20240509-持仓量20240301-20240430-中间值5.88--8周-换手率,423.7-流通市值,24.9亿,纺织机械,上工申贝**600843.SH
b8,龙战于野--20240509-持仓量20240301-20240430-中间值15.3--7周-换手率,65.5-流通市值,19.2亿,汽车配件,朗博科技**603655.SH
b8,龙战于野--20210118-持仓量20201113-20210115-中间值30.24--8周-换手率,110.8-流通市值,125.9亿,codename null-**600259.SH,
b8,龙战于野--20210420-持仓量20210210-20210416-中间值5.1--7周-换手率,44.3-流通市值,100.6亿,软件服务,常山北明**000158.SZ
xxxx,--Xiao V成功了--20240510,电气设备,泰永长征**002927.SZ,,
xxxx,--Xiao V成功了--20240510,其他商业,富森美**002818.SZ,,
xxxx,--Xiao V成功了--20240510,证券,国盛金控**002670.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,兄弟科技**002562.SZ,,
xxxx,--Xiao V成功了--20240510,通信设备,辉煌科技**002296.SZ,,
xxxx,--Xiao V成功了--20240510,区域地产,滨江集团**002244.SZ,,
xxxx,--Xiao V成功了--20240510,服饰,伟星股份**002003.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,华特达因**000915.SZ,,
xxxx,--Xiao V成功了--20240510,路桥,海南高速**000886.SZ,,
xxxx,--Xiao V成功了--20240510,水力发电,甘肃电投**000791.SZ,,
xxxx,--Xiao V成功了--20240509,文教休闲,中路股份**600818.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,渤海化学**600800.SH,,
xxxx,--Xiao V成功了--20240509,水泥,宁波富达**600724.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,金牛化工**600722.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,华谊集团**600623.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,氯碱化工**600618.SH,,
xxxx,--Xiao V成功了--20240509,仓储物流,广汇物流**600603.SH,,
xxxx,--Xiao V成功了--20240509,农药化肥,六国化工**600470.SH,,
xxxx,--Xiao V成功了--20240509,水务,洪城环境**600461.SH,,
xxxx,--Xiao V成功了--20240509,塑料,时代新材**600458.SH,,
xxxx,--Xiao V成功了--20240509,乳制品,三元股份**600429.SH,,
xxxx,--Xiao V成功了--20240509,中成药,昆药集团**600422.SH,,
xxxx,--Xiao V成功了--20240510,普钢,南钢股份**600282.SH,,
xxxx,--Xiao V成功了--20240510,水务,钱江水利**600283.SH,,
xxxx,--Xiao V成功了--20240510,乳制品,三元股份**600429.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,氯碱化工**600618.SH,,
xxxx,--Xiao V成功了--20240509,塑料,双象股份**002395.SZ,,
xxxx,--Xiao V成功了--20240509,通信设备,辉煌科技**002296.SZ,,
