000009.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中国宝安
000017.SZ-----鱼跃龙门  佛系翻倍-------------深中华A
000060.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----中金岭南
000400.SZ-----鱼跃龙门  佛系翻倍-------------许继电气
000422.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----湖北宜化
000498.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----山东路桥
000539.SZ-----鱼跃龙门  佛系翻倍-------------粤电力A
000548.SZ-----鱼跃龙门  佛系翻倍-------------湖南投资
000551.SZ-----鱼跃龙门  佛系翻倍-------------创元科技
000559.SZ-----鱼跃龙门  佛系翻倍-------------万向钱潮
000561.SZ-----鱼跃龙门  佛系翻倍-------------烽火电子
000570.SZ-----鱼跃龙门  佛系翻倍-------------苏常柴A
000572.SZ-----鱼跃龙门  佛系翻倍-------------海马汽车
000637.SZ-----鱼跃龙门  佛系翻倍-------------茂化实华
000731.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----四川美丰
000733.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----振华科技
000751.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----锌业股份
000758.SZ-----鱼跃龙门  佛系翻倍-------------中色股份
000761.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----本钢板材
000762.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----西藏矿业
000768.SZ-----鱼跃龙门  佛系翻倍-------------中航西飞
000776.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----广发证券
000800.SZ-----鱼跃龙门  佛系翻倍-------------一汽解放
000807.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----云铝股份
000811.SZ-----鱼跃龙门  佛系翻倍-------------冰轮环境
000819.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----岳阳兴长
000823.SZ-----鱼跃龙门  佛系翻倍-------------超声电子
000831.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----五矿稀土
000837.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----秦川机床
000859.SZ-----鱼跃龙门  佛系翻倍-------------国风塑业
000902.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----新洋丰
000910.SZ-----鱼跃龙门  佛系翻倍-------------大亚圣象
000915.SZ-----鱼跃龙门  佛系翻倍-------------强势股票----华特达因
000937.SZ-----鱼跃龙门  佛系翻倍-------------冀中能源
000960.SZ-----鱼跃龙门  佛系翻倍-------------锡业股份
000970.SZ-----鱼跃龙门  佛系翻倍-------------中科三环
000977.SZ-----鱼跃龙门  佛系翻倍-------------浪潮信息
000993.SZ-----鱼跃龙门  佛系翻倍-------------闽东电力
000998.SZ-----鱼跃龙门  佛系翻倍-------------隆平高科
002007.SZ-----鱼跃龙门  佛系翻倍-------------华兰生物
002009.SZ-----鱼跃龙门  佛系翻倍-------------天奇股份
002023.SZ-----鱼跃龙门  佛系翻倍-------------海特高新
002024.SZ-----鱼跃龙门  佛系翻倍-------------苏宁易购
002041.SZ-----鱼跃龙门  佛系翻倍-------------登海种业
002042.SZ-----鱼跃龙门  佛系翻倍-------------华孚时尚
002056.SZ-----鱼跃龙门  佛系翻倍-------------横店东磁
002074.SZ-----鱼跃龙门  佛系翻倍-------------国轩高科
002108.SZ-----鱼跃龙门  佛系翻倍-------------沧州明珠
002125.SZ-----鱼跃龙门  佛系翻倍-------------湘潭电化
002126.SZ-----鱼跃龙门  佛系翻倍-------------银轮股份
