trade_date,open,close,high,low
2021-12-31,7.41,7.42,8.15,7.06
2021-11-30,6.45,7.4,7.68,6.3
2021-10-31,6.63,6.42,6.87,6.13
2021-09-30,7.18,6.62,7.47,6.5
2021-08-31,7.82,7.18,8.32,7.13
2021-07-31,7.0919,7.71,7.82,6.8924
2021-06-30,7.0021,7.1218,7.5607,6.9223
2021-05-31,7.2316,7.0221,7.3612,6.7428
2021-04-30,8.4883,7.3113,8.5282,7.3014
2021-03-31,8.0395,8.4784,8.9671,7.8001
2021-02-28,8.2091,8.1093,8.4484,7.3812
2021-01-31,9.396,8.2091,9.5257,7.9996
2020-12-31,9.74,9.3063,10.12,8.638
2020-11-30,9.89,9.6953,10.28,9.4459
2020-10-31,11.03,9.8748,12.58,9.8549
2020-09-30,11.61,10.7825,11.87,10.6129
2020-08-31,10.7,11.6503,12.67,10.3835
2020-07-31,8.2,10.593,11.61,8.1093
2020-06-30,8.031,8.13,8.41,7.9913
2020-05-31,8.21,7.9813,8.4883,7.5838
2020-04-30,7.7925,8.3093,8.5678,7.4546
2020-03-31,9.8599,7.8422,10.8041,7.7726
2020-02-29,7.6533,9.6611,10.8538,7.0669
2020-01-31,7.5738,8.4982,8.9753,7.5241
2019-12-31,7.1067,7.5142,7.7826,6.9476
2019-11-30,7.4347,7.0967,7.5937,7.0371
2019-10-31,7.5738,7.6633,9.6015,7.3055
2019-09-30,7.0172,7.5937,7.9813,6.9874
2019-08-31,7.3651,6.9874,7.4546,6.4606
2019-07-31,7.1862,7.4347,7.6235,6.8781
2019-06-30,7.4241,7.0371,7.7894,6.9206
2019-05-31,7.0884,7.4241,8.0757,6.5849
2019-04-30,7.9078,7.3155,8.9839,7.2563
2019-03-31,6.9996,7.8585,9.1616,6.8515
2019-02-28,5.8149,6.9996,7.1575,5.7754
2019-01-31,5.8544,5.7655,6.5652,5.7063
2018-12-31,6.7429,5.8247,6.9601,5.7754
2018-11-30,5.8247,6.654,6.6639,5.7853
2018-10-31,6.4171,5.7951,6.4171,5.1238
2018-09-30,6.5257,6.4862,6.8021,6.3973
2018-08-31,7.1279,6.5454,7.1378,6.4171
2018-07-31,6.8812,7.0884,7.7992,6.6442
2018-06-30,7.5282,6.9204,7.734,6.3813
2018-05-31,8.527999999999999,7.5968,8.8025,7.4792
2018-04-30,8.5574,8.43,8.6162,7.7046
2018-03-31,7.6458,8.5868,8.5966,7.5478
2018-02-28,8.4104,7.636,8.4104,6.8714
2018-01-31,8.7535,8.3908,9.0671,8.2339
2017-12-31,9.56,8.98,9.88,8.83
2017-11-30,10.4,9.27,10.4,9.16
2017-10-31,11.24,10.35,11.36,10.22
2017-09-30,10.76,11.08,11.75,10.73
2017-08-31,10.13,10.75,11.99,10.05
2017-07-31,10.7514,10.13,11.0404,9.53
2017-06-30,10.7713,10.8311,11.0503,10.1735
2017-05-31,11.2895,10.8311,12.4353,10.3827
2017-04-30,12.4652,11.2895,13.352,10.860999999999999
2017-03-31,13.2524,12.4752,13.6609,12.4054
2017-02-28,12.9535,13.2823,13.5015,12.6745
2017-01-31,13.7606,12.9535,14.1093,12.1563
2016-12-31,14.9065,13.7606,15.0161,13.4318
2016-11-30,15.0759,14.8566,15.4445,14.5976
2016-10-31,14.9862,15.0559,15.9029,14.8566
2016-09-30,16.6402,14.7969,16.8893,14.3086
2016-08-31,15.7534,16.6203,17.3278,15.2054
2016-07-31,16.421,15.9228,18.4238,15.883
2016-06-30,14.6972,16.441,16.8794,13.9599
2016-05-31,16.4111,14.6474,17.4872,13.352
2016-04-30,15.0065,16.5605,17.4728,14.4198
2016-03-31,12.4209,15.0961,15.7126,11.337
2016-02-29,12.8883,12.3314,15.5137,12.2916
2016-01-31,18.8949,12.9579,18.9745,11.7845
2015-12-31,16.6971,19.1038,21.3811,15.6231
2015-11-30,15.7126,16.8264,21.1723,15.2154
2015-10-31,12.7292,16.2596,17.6618,12.4905
2015-09-30,12.9281,12.222000000000001,13.5049,10.064
2015-08-31,16.0607,13.0077,21.0828,12.5005
2015-07-31,25.1999,15.9016,25.1999,15.3646
2015-06-30,35.3236,28.0043,40.823,26.0153
2015-05-31,19.7899,34.9755,35.6816,18.2883
2015-04-30,9.8154,19.6905,23.1811,9.8154
