,ts_code,trade_date,close,open,high,low,vol,amount
0,002303.SZ,20211130,3.39,3.25,3.46,3.22,129978138.0,433888146.63
1,002303.SZ,20211029,3.26,3.47,3.55,3.2,76791742.0,259483458.43
2,002303.SZ,20210930,3.45,3.4,3.83,3.37,269089923.0,965866587.97
3,002303.SZ,20210831,3.4,3.21,3.48,3.2,156429612.0,521648783.18
4,002303.SZ,20210730,3.24,3.51,3.52,3.2,125650231.0,424732827.9
5,002303.SZ,20210630,3.51,3.69,3.7,3.43,147923009.0,526927556.34
6,002303.SZ,20210531,3.67,3.64,3.96,3.59,242684453.0,906560100.24
7,002303.SZ,20210430,3.61,3.63,3.73,3.47,156429351.0,564965135.1
8,002303.SZ,20210331,3.63,3.58,4.03,3.48,250618176.0,918848416.26
9,002303.SZ,20210226,3.57,3.5,3.81,3.24,151324009.0,529081009.42
10,002303.SZ,20210129,3.53,4.01,4.09,3.4,359991924.0,1358027877.78
11,002303.SZ,20201231,4.0,4.47,4.69,3.97,215245464.0,937828605.49
12,002303.SZ,20201130,4.49,4.4,4.54,4.3,206795143.0,917286276.46
13,002303.SZ,20201030,4.4,4.72,4.86,4.37,148310493.0,688926563.57
14,002303.SZ,20200930,4.56,5.06,5.32,4.47,399806688.0,1948262148.12
15,002303.SZ,20200831,5.04,5.28,5.66,4.9,479581804.0,2538085296.97
16,002303.SZ,20200731,5.24,4.35,5.39,4.33,699405508.0,3499399055.46
17,002303.SZ,20200630,4.35,4.48,4.88,4.1,257306288.0,1147917825.49
18,002303.SZ,20200529,4.47,4.62,4.87,4.38,180737174.0,836333856.46
19,002303.SZ,20200430,4.67,4.91,5.46,4.55,473238375.0,2384580949.61
20,002303.SZ,20200331,4.93,5.24,5.96,4.6,624471434.0,3272551514.98
21,002303.SZ,20200228,5.11,4.57,5.65,4.11,516035758.0,2613355116.56
22,002303.SZ,20200123,5.08,5.36,5.85,5.02,459044533.0,2544847286.29
23,002303.SZ,20191231,5.31,4.86,5.55,4.84,548363471.0,2825834116.49
24,002303.SZ,20191129,4.8,5.68,6.77,4.73,976908936.0,5583895100.7
25,002303.SZ,20191031,6.06,4.76,6.6,4.66,600457407.0,3426195520.77
26,002303.SZ,20190930,4.76,4.61,5.35,4.61,357760270.0,1806987647.94
27,002303.SZ,20190830,4.62,4.48,5.05,3.92,329126387.0,1465626977.32
28,002303.SZ,20190731,4.5,4.91,5.06,4.5,146187325.0,697988008.49
29,002303.SZ,20190628,4.83,5.42,5.43,4.79,257318555.0,1308454138.6
30,002303.SZ,20190531,5.39,5.4,6.64,5.0,420014751.0,2392834082.36
31,002303.SZ,20190430,5.97,5.98,7.69,5.61,714382626.0,4748544021.59
32,002303.SZ,20190329,5.95,5.25,6.14,5.12,377636783.0,2083038591.51
33,002303.SZ,20190228,5.23,4.24,5.38,4.24,122132244.0,596147168.26
34,002303.SZ,20190131,4.22,4.66,4.7,4.18,68879079.0,311809370.37
35,002303.SZ,20181228,4.65,4.92,5.22,4.54,63576390.0,313842942.3
36,002303.SZ,20181130,4.81,4.65,5.29,4.59,125863258.0,621821894.2
37,002303.SZ,20181031,4.61,5.2,5.33,4.07,98353794.0,453511047.35
38,002303.SZ,20180928,5.46,5.54,5.79,5.24,97006136.0,532726225.85
39,002303.SZ,20180831,5.57,5.74,5.8,4.82,135102567.0,732129809.51
40,002303.SZ,20180731,5.73,5.4,5.97,5.19,115168723.0,649203354.15
41,002303.SZ,20180629,5.28,5.51,6.09,4.97,130996900.0,735503034.86
42,002303.SZ,20180531,5.54,5.85,6.15,5.49,132723019.0,764888995.88
43,002303.SZ,20180427,5.84,6.53,6.63,5.75,130620304.0,810150759.95
44,002303.SZ,20180330,6.53,6.66,7.48,6.03,173805590.0,1181693924.21
45,002303.SZ,20180228,6.7,6.25,6.92,5.79,135259404.0,860409884.79
46,002303.SZ,20180131,6.26,6.94,7.1,6.24,175796467.0,1157567956.65
47,002303.SZ,20171229,7.0,7.76,7.89,6.55,120790077.0,864654879.6
48,002303.SZ,20171130,7.76,7.9,8.61,7.28,176300447.0,1423023509.39
49,002303.SZ,20171031,7.91,8.6,8.97,7.74,138770010.0,1189125488.85
50,002303.SZ,20170929,8.51,7.72,8.58,7.72,218916711.0,1774486421.5
51,002303.SZ,20170831,7.77,7.56,8.06,7.18,114311172.0,857000936.39
52,002303.SZ,20170731,7.57,7.71,8.27,7.1,109601582.0,848821558.31
53,002303.SZ,20170630,7.72,7.3,8.17,6.96,106336521.0,817159014.48
54,002303.SZ,20170531,7.32,9.09,9.15,7.17,101734679.0,814495478.0
55,002303.SZ,20170428,9.09,9.86,10.13,8.72,112234041.0,1060332516.84
56,002303.SZ,20170331,9.86,9.7,10.59,9.5,226085559.0,2245737812.45
57,002303.SZ,20170228,9.7,9.31,10.33,9.04,167014930.0,1582617698.83
58,002303.SZ,20170126,9.27,10.29,10.38,8.71,131680917.0,1276012704.69
59,002303.SZ,20161230,10.28,11.37,11.6,9.87,207035807.0,2148967323.62
60,002303.SZ,20161130,11.37,12.6,12.66,11.2,241602433.0,2912189955.22
61,002303.SZ,20161031,12.6,13.69,14.84,12.41,171448419.0,2270580012.98
62,002303.SZ,20160930,13.27,13.26,13.85,12.3,129864999.0,1711620427.72
63,002303.SZ,20160831,13.22,12.89,14.35,12.0,216814003.0,2922611505.22
64,002303.SZ,20160729,13.13,12.02,14.13,12.02,343873031.0,4498975542.76
65,002303.SZ,20160630,12.29,10.5,12.89,10.28,312260579.0,3535018551.2
66,002303.SZ,20160531,10.46,9.9,11.4,9.47,219347902.0,2287707774.98
67,002303.SZ,20160429,10.0,10.88,11.45,9.29,193063109.0,2030536828.42
68,002303.SZ,20160331,10.95,9.22,11.99,9.01,292549044.0,3100419695.95
