,ts_code,trade_date,close,open,high,low,vol,amount
0,600603.SH,20211130,3.65,3.65,3.87,3.59,71899346.0,267736048.0
1,600603.SH,20211029,3.66,3.96,4.02,3.56,54679139.0,207802300.0
2,600603.SH,20210930,3.93,3.94,4.26,3.82,118348110.0,481821405.0
3,600603.SH,20210831,3.94,3.62,4.02,3.55,91247287.0,346289672.0
4,600603.SH,20210730,3.63,4.05,4.12,3.5,64131659.0,250294462.0
5,600603.SH,20210630,4.04,4.59,4.71,4.02,103119627.0,451547319.0
6,600603.SH,20210531,4.59,4.55,4.67,4.51,67934589.0,312795727.0
7,600603.SH,20210430,4.6,4.76,4.89,4.58,109761080.0,524243442.0
8,600603.SH,20210331,4.76,4.59,4.93,4.45,116665801.0,545479408.0
9,600603.SH,20210226,4.59,4.26,4.72,4.21,51311515.0,228426759.0
10,600603.SH,20210129,4.26,4.85,4.9,4.2,66768808.0,304287483.0
11,600603.SH,20201231,4.83,4.84,5.5,4.71,226552025.0,1149481627.0
12,600603.SH,20201130,4.84,4.8,4.91,4.64,94616032.0,454306589.0
13,600603.SH,20201030,4.78,5.14,5.23,4.76,84597590.0,428985641.0
14,600603.SH,20200930,5.05,5.36,6.1,5.01,340074590.0,1899014566.0
15,600603.SH,20200831,5.38,5.62,5.91,5.23,192790017.0,1068562819.0
16,600603.SH,20200731,5.6,4.71,5.64,4.68,285861289.0,1492232101.0
17,600603.SH,20200630,4.71,4.7,4.91,4.59,82594289.0,393764090.0
18,600603.SH,20200529,4.68,5.1,5.16,4.62,105847082.0,519952542.0
19,600603.SH,20200430,5.18,5.79,6.36,4.86,257632821.0,1470638639.0
20,600603.SH,20200331,5.76,5.01,6.5,5.01,396149455.0,2281806192.0
21,600603.SH,20200228,4.97,5.0,5.55,4.5,196505797.0,1000640916.0
22,600603.SH,20200123,5.56,4.99,5.76,4.9,114957471.0,601222364.0
23,600603.SH,20191231,4.95,4.84,5.06,4.82,72716380.0,359257943.0
24,600603.SH,20191129,4.84,5.19,5.38,4.79,57968176.0,295828652.0
25,600603.SH,20191031,5.2,5.57,5.8,5.09,146724544.0,809872925.0
26,600603.SH,20190930,5.57,5.01,5.7,5.0,122697423.0,657183392.0
27,600603.SH,20190830,5.02,4.88,5.32,4.57,110328353.0,549183125.0
28,600603.SH,20190731,4.9,4.59,5.07,4.46,116456444.0,555886846.0
29,600603.SH,20190628,4.52,4.67,5.1,4.42,115550282.0,548332527.0
30,600603.SH,20190531,4.64,5.02,5.02,4.5,89787274.0,423297596.0
31,600603.SH,20190430,5.08,5.24,6.05,4.91,269213173.0,1500914220.0
32,600603.SH,20190329,5.24,4.71,5.57,4.65,306184995.0,1557199685.0
33,600603.SH,20190228,4.69,4.04,4.83,4.0,135878278.0,608168814.0
34,600603.SH,20190131,4.02,4.14,4.37,3.82,88228742.0,367859816.0
35,600603.SH,20181228,4.08,4.59,4.71,4.02,119982579.0,533171052.0
36,600603.SH,20181130,4.53,4.4,5.2,4.33,411770506.0,1915031923.0
37,600603.SH,20181031,4.42,5.2,5.4,3.82,503397854.0,2292662572.0
38,600603.SH,20180928,5.7,3.88,5.87,3.79,149498290.0,768992278.0
39,600603.SH,20180831,3.89,4.06,4.38,3.78,76142438.0,305243390.0
40,600603.SH,20180731,4.07,4.0,4.17,3.72,56723834.0,224108042.0
41,600603.SH,20180629,4.02,4.69,4.88,3.88,61299924.0,266600261.0
42,600603.SH,20180531,4.69,6.97,7.43,4.6,71180433.0,463128218.0
43,600603.SH,20180427,6.96,7.02,7.23,6.68,56514117.0,395117341.0
44,600603.SH,20180330,7.0,8.08,8.28,6.61,156318367.0,1199380248.0
45,600603.SH,20180228,8.14,7.52,8.4,6.91,223020739.0,1698623534.0
46,600603.SH,20180131,7.52,6.76,7.52,6.66,88171462.0,626759995.0
47,600603.SH,20171229,6.77,7.33,7.42,6.5,62586771.0,430004281.0
48,600603.SH,20171130,7.35,9.1,9.19,7.12,101248366.0,831295012.0
49,600603.SH,20171031,9.18,8.5,10.51,8.48,268341829.0,2617412586.0
50,600603.SH,20170929,8.46,12.5,13.54,8.38,61344205.0,745612169.0
51,600603.SH,20170831,12.54,11.24,12.78,11.18,66358918.0,797894173.0
52,600603.SH,20170731,11.2,11.71,11.86,11.08,14501975.0,166968724.0
53,600603.SH,20170630,11.81,11.56,11.9,10.52,27573349.0,315034411.0
54,600603.SH,20170531,11.56,14.64,14.65,11.19,50333379.0,659250080.0
55,600603.SH,20170428,14.53,16.21,16.59,13.39,99278530.0,1512305117.0
56,600603.SH,20170331,16.61,15.2,19.33,15.15,181673266.0,3126704660.0
57,600603.SH,20170228,15.12,13.75,15.55,13.43,51889108.0,754032906.0
58,600603.SH,20170126,13.72,15.08,15.25,12.54,37990895.0,532762159.0
59,600603.SH,20161230,15.1,14.44,16.17,14.31,57684755.0,881472866.0
60,600603.SH,20161130,14.16,14.02,15.54,13.91,57659027.0,840608262.0
61,600603.SH,20161031,14.02,14.22,14.97,13.6,38626812.0,547014266.0
62,600603.SH,20160930,14.2,13.22,15.15,13.01,48858496.0,690382683.0
63,600603.SH,20160831,13.21,12.28,13.33,11.95,43639815.0,551376965.0
64,600603.SH,20160729,12.4,11.46,12.62,11.21,49107234.0,585680592.0
65,600603.SH,20160630,11.42,12.26,13.17,11.14,58386028.0,697878667.0
66,600603.SH,20160531,11.68,13.41,13.88,10.61,73984252.0,881419632.0
67,600603.SH,20160429,13.39,12.41,14.85,12.11,91000722.0,1241259899.0
68,600603.SH,20160331,12.41,12.02,13.25,10.85,117347242.0,1420872305.0
69,600603.SH,20160229,12.63,13.4,15.11,12.49,151279577.0,2042885777.0
70,600603.SH,20160129,13.34,13.55,18.58,11.91,294326080.0,4617493317.0
71,600603.SH,20150930,12.32,12.47,12.89,11.22,26658463.0,311642365.0
72,600603.SH,20150831,13.85,11.28,16.28,10.31,209019849.0,2844998368.0
73,600603.SH,20150731,11.64,16.85,17.38,8.97,247742060.0,3200171257.0
74,600603.SH,20150630,16.89,18.52,26.32,14.7,284450532.0,6282761667.0
75,600603.SH,20150529,18.31,13.64,19.93,12.51,204907395.0,3324299105.0
76,600603.SH,20150430,13.65,13.5,16.9,13.1,193385346.0,2838766961.0
77,600603.SH,20150331,13.58,9.0,14.0,8.88,213996316.0,2419507078.0
78,600603.SH,20150227,8.89,8.47,9.02,8.03,49589790.0,423856326.0
79,600603.SH,20150130,8.58,8.46,9.78,7.91,61263122.0,544277684.0
