trade_date,open,close,high,low
2021-12-31,20.12,19.24,23.18,18.59
2021-11-30,19.17,20.12,21.8,18.22
2021-10-31,19.73,19.06,21.52,17.59
2021-09-30,15.6,19.34,20.13,15.38
2021-08-31,15.8,15.55,17.51,15.3
2021-07-31,18.12,15.68,18.12,15.1
2021-06-30,17.73,17.73,18.98,17.28
2021-05-31,17.1112,17.69,18.5,16.9721
2021-04-30,18.581,17.0814,19.3655,17.0317
2021-03-31,17.8759,18.570999999999998,22.1462,17.6772
2021-02-28,17.28,17.7567,18.293,16.3961
2021-01-31,22.5732,17.1112,23.189,16.8828
2020-12-31,23.13,22.7719,25.11,20.8552
2020-11-30,21.7,23.04,23.87,21.3914
2020-10-31,22.45,21.5503,24.17,21.1531
2020-09-30,25.5,21.9079,26.3,21.1531
2020-08-31,26.4,25.4433,29.3,24.7481
2020-07-31,28.0,26.208000000000002,32.9,23.8345
2020-06-30,24.494,28.31,29.51,23.4
2020-05-31,27.2718,24.2262,36.5575,24.1567
2020-04-30,22.4206,26.0615,26.0615,17.629
2020-03-31,17.5496,22.619,27.1825,17.5496
2020-02-29,17.1627,17.5099,20.1587,15.4464
2020-01-31,20.2183,19.0675,21.9048,18.8294
2019-12-31,21.8452,20.0694,25.2976,19.3056
2019-11-30,17.7976,21.8452,27.0833,17.3909
2019-10-31,21.4881,17.9266,22.877,17.8571
2019-09-30,22.7381,21.3294,34.0575,21.1905
2019-08-31,8.4821,22.8175,26.6171,8.4821
