,ts_code,symbol,name,area,industry,list_date
0,000001.SZ,000001,平安银行,深圳,银行,19910403
1,000002.SZ,000002,万科A,深圳,全国地产,19910129
2,000004.SZ,000004,国华网安,深圳,软件服务,19910114
3,000006.SZ,000006,深振业A,深圳,区域地产,19920427
4,000007.SZ,000007,*ST全新,深圳,其他商业,19920413
5,000008.SZ,000008,神州高铁,北京,运输设备,19920507
6,000009.SZ,000009,中国宝安,深圳,电气设备,19910625
7,000010.SZ,000010,美丽生态,深圳,建筑工程,19951027
8,000011.SZ,000011,深物业A,深圳,房产服务,19920330
9,000012.SZ,000012,南玻A,深圳,玻璃,19920228
10,000014.SZ,000014,沙河股份,深圳,全国地产,19920602
11,000016.SZ,000016,深康佳A,深圳,家用电器,19920327
12,000017.SZ,000017,深中华A,深圳,服饰,19920331
13,000019.SZ,000019,深粮控股,深圳,农业综合,19921012
14,000020.SZ,000020,深华发A,深圳,元器件,19920428
15,000021.SZ,000021,深科技,深圳,元器件,19940202
16,000023.SZ,000023,*ST深天,深圳,水泥,19930429
17,000025.SZ,000025,特力A,深圳,综合类,19930621
18,000026.SZ,000026,飞亚达,深圳,服饰,19930603
19,000027.SZ,000027,深圳能源,深圳,火力发电,19930903
20,000028.SZ,000028,国药一致,深圳,医药商业,19930809
21,000029.SZ,000029,深深房A,深圳,区域地产,19930915
22,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929
23,000031.SZ,000031,大悦城,深圳,全国地产,19931008
24,000032.SZ,000032,深桑达A,深圳,建筑工程,19931028
25,000034.SZ,000034,神州数码,深圳,软件服务,19940509
26,000035.SZ,000035,中国天楹,江苏,环境保护,19940408
27,000036.SZ,000036,华联控股,深圳,全国地产,19940617
28,000037.SZ,000037,深南电A,深圳,火力发电,19940701
29,000039.SZ,000039,中集集团,深圳,运输设备,19940408
30,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808
31,000042.SZ,000042,中洲控股,深圳,全国地产,19940921
32,000045.SZ,000045,深纺织A,深圳,元器件,19940815
33,000048.SZ,000048,京基智农,深圳,区域地产,19941101
34,000049.SZ,000049,德赛电池,深圳,电气设备,19950320
35,000050.SZ,000050,深天马A,深圳,元器件,19950315
36,000055.SZ,000055,方大集团,深圳,其他建材,19960415
