,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
0,000404.SZ,20241016,6.77,6.9,6.66,6.79,6.81,-0.019999999999999574,-0.29,141705.65,96403.964,6.81,258280.05,6.69,255548.51,6.27,177025.23,6.16,172486.86,6.06,183349.35,5.88,163952.88,6.81,296015.16,6.46,206006.88,6.33,182885.53,6.0,174709.21,6.04,170644.36
1,000404.SZ,20241015,6.81,7.06,6.79,6.81,6.9,-0.09000000000000075,-1.3,235568.01,163381.768,6.77,305048.86,6.64,251787.54,6.24,175826.03,6.16,173643.22,6.05,183464.42,5.86,163464.1,6.77,297496.35,6.42,204394.97,6.3,184411.62,5.98,174145.17,6.04,171541.05
2,000404.SZ,20241014,6.83,6.9,6.63,6.9,6.82,0.08000000000000007,1.17,266455.09,180892.582,6.85,355627.15,6.6,244361.84,6.22,172758.84,6.16,174484.03,6.04,183549.99,5.84,160984.85,6.72,287114.8,6.38,197680.47,6.27,182320.84,5.96,172369.4,6.04,171445.16
3,000404.SZ,20241011,6.88,7.11,6.74,6.82,6.73,0.08999999999999986,1.34,369954.8,256051.756,6.89,380997.14,6.54,237688.88,6.19,168594.16,6.15,174987.58,6.03,183287.77,5.82,158572.99,6.65,267840.19,6.34,188665.66,6.23,176213.45,5.94,170920.8,6.04,171287.82
4,000404.SZ,20241010,6.61,6.95,6.6,6.73,6.58,0.15000000000000036,2.28,277716.71,188271.941,6.85,362788.02,6.46,216225.93,6.17,161967.12,6.15,174485.78,6.02,182463.2,5.8,154633.56,6.58,240126.01,6.31,177816.64,6.2,166839.14,5.91,166187.42,6.04,169340.85
5,000404.SZ,20241009,7.1,7.1,6.56,6.58,7.24,-0.6600000000000001,-9.12,375549.7,254563.044,6.81,333750.27,6.4,200856.64,6.15,157274.2,6.15,174608.43,6.01,181807.52,5.79,152126.45,6.53,226257.74,6.29,172801.22,6.17,160946.35,5.89,163567.49,6.04,167972.38
6,000404.SZ,20241008,7.81,7.81,6.91,7.24,7.1,0.14000000000000057,1.97,488459.46,357430.91,6.77,289943.83,6.35,181420.51,6.13,150542.47,6.14,174689.91,6.01,180337.79,5.78,148255.24,6.48,206673.42,6.27,165086.37,6.15,152804.14,5.86,158999.16,6.04,166202.63
7,000404.SZ,20240930,6.79,7.15,6.64,7.1,6.61,0.4899999999999993,7.41,393305.03,272601.673,6.59,218602.44,6.25,151132.94,6.1,142047.85,6.13,172898.33,6.0,178531.85,5.75,143083.53,6.34,166921.12,6.21,150446.63,6.1,140684.03,5.83,152363.97,6.04,164007.53
8,000404.SZ,20240927,6.65,6.78,6.54,6.61,6.54,0.07000000000000028,1.07,278909.18,184596.47,6.4,154683.24,6.17,129299.28,6.07,139163.41,6.12,171251.6,5.99,177073.05,5.73,139127.91,6.23,135382.22,6.15,136304.35,6.07,132395.03,5.8,147608.82,6.04,163611.83
9,000404.SZ,20240926,6.33,6.54,6.3,6.54,6.34,0.20000000000000018,3.15,132528.0,85154.404,6.32,117464.0,6.12,115635.35,6.05,145566.57,6.11,171045.25,5.99,176127.28,5.72,136825.87,6.16,119779.3,6.12,126864.61,6.05,127036.64,5.78,144316.76,6.04,162546.53
