,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
0,600470.SH,20241105,4.92,5.09,4.91,5.03,4.96,0.07000000000000028,1.41,228819.66,114558.744,5.01,238586.4,4.87,232795.6,4.57,147433.2,4.33,125483.9,4.35,120361.05,4.32,93832.22,4.96,272896.73,4.77,189000.35,4.63,161649.83,4.39,106644.93,4.27,95282.26
1,600470.SH,20241104,4.94,4.97,4.86,4.96,4.94,0.019999999999999574,0.4,131837.01,64940.834,4.97,235565.68,4.82,221562.55,4.54,142075.18,4.32,124324.51,4.34,119565.82,4.31,92164.5,4.92,260301.07,4.78,193323.86,4.6,155145.27,4.38,103598.17,4.27,95872.82
2,600470.SH,20241101,5.0,5.16,4.93,4.94,5.06,-0.11999999999999922,-2.37,251172.5,126692.658,4.97,264460.61,4.79,216665.93,4.52,139417.24,4.32,123845.05,4.34,119278.18,4.3,92532.36,4.87,257078.67,4.77,199180.69,4.57,152011.74,4.36,102270.36,4.27,98048.07
3,600470.SH,20241031,5.1,5.1,4.94,5.06,5.07,-0.010000000000000675,-0.2,259541.16,129874.743,4.96,276125.68,4.76,203388.82,4.5,133594.93,4.31,122634.15,4.33,118573.72,4.28,91884.86,4.83,241451.36,4.75,191336.05,4.54,145083.35,4.35,99137.71,4.27,101212.4
4,600470.SH,20241030,4.85,5.07,4.84,5.07,4.81,0.2600000000000007,5.41,321561.65,159177.594,4.91,296237.69,4.73,191091.5,4.48,127754.75,4.31,121300.16,4.33,117603.64,4.27,89062.77,4.77,223776.25,4.71,182313.15,4.51,138045.28,4.33,95474.51,4.27,103291.09
5,600470.SH,20241029,4.97,5.02,4.81,4.81,4.97,-0.16000000000000014,-3.22,213716.06,104854.489,4.9,307207.07,4.7,173330.79,4.46,120507.61,4.3,119575.35,4.32,116856.58,4.25,85225.31,4.72,198438.18,4.67,169944.73,4.48,128881.46,4.31,90624.09,4.27,103665.31
6,600470.SH,20241028,4.89,4.99,4.85,4.97,4.89,0.08000000000000007,1.64,276311.68,136237.404,4.87,285036.46,4.69,166387.9,4.44,116944.61,4.3,118579.67,4.32,116851.62,4.24,82877.13,4.7,184923.57,4.64,162717.08,4.46,123139.83,4.3,87596.89,4.27,105882.35
7,600470.SH,20241025,4.74,4.97,4.72,4.89,4.79,0.09999999999999964,2.09,309497.86,150000.402,4.78,249696.73,4.66,161311.32,4.42,111493.8,4.3,117177.68,4.31,116705.76,4.22,79774.71,4.67,167260.01,4.6,150666.8,4.44,115703.24,4.28,83680.33,4.27,108299.33
8,600470.SH,20241024,4.85,4.89,4.71,4.79,5.04,-0.25,-4.96,360101.18,171716.433,4.71,206777.04,4.68,161756.87,4.4,103700.09,4.3,115664.42,4.3,116005.42,4.21,76150.47,4.64,145377.47,4.56,137034.21,4.42,107419.14,4.26,79375.23,4.26,109812.17
9,600470.SH,20241023,4.65,5.1,4.63,5.04,4.64,0.40000000000000036,8.62,376408.56,185423.139,4.64,151314.81,4.68,153208.6,4.38,95114.44,4.29,113690.48,4.3,114599.54,4.2,72005.36,4.63,121713.2,4.52,121810.15,4.4,97921.07,4.25,74029.76,4.26,108009.15
10,600470.SH,20241022,4.53,4.64,4.51,4.64,4.52,0.1200000000000001,2.65,102863.03,47258.076,4.55,89669.3,4.64,131506.38,4.35,86007.02,4.29,111913.33,4.29,113032.67,4.19,67915.76,4.59,105103.96,4.47,106026.37,4.38,88459.92,4.23,68271.05,4.25,106912.53
11,600470.SH,20241021,4.56,4.6,4.5,4.52,4.54,-0.020000000000000462,-0.44,99613.02,45298.609,4.53,84810.68,4.62,129677.15,4.34,85175.96,4.29,111756.02,4.29,112933.11,4.18,67127.9,4.64,126346.65,4.44,102567.37,4.36,88063.95,4.22,67090.9,4.25,108906.83
12,600470.SH,20241018,4.46,4.59,4.45,4.54,4.47,0.07000000000000028,1.57,94899.43,42829.265,4.56,84823.28,4.6,127721.79,4.32,84103.02,4.29,111526.02,4.29,112812.23,4.17,66342.44,4.67,141282.72,4.42,99478.27,4.35,86227.25,4.21,66144.23,4.25,109341.66
13,600470.SH,20241017,4.58,4.65,4.46,4.47,4.57,-0.10000000000000053,-2.19,82790.0,37485.941,4.57,83977.89,4.58,125742.07,4.31,82141.74,4.29,111306.45,4.3,112723.97,4.16,65685.27,4.66,141220.75,4.4,96899.35,4.34,85336.9,4.21,65245.17,4.25,109456.49
