,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300132.SZ,20210812,15.75,16.31,15.75,16.05,15.83,0.22,1.3898,91811.93,147710.415
1,300132.SZ,20210811,16.01,16.17,15.81,15.83,16.16,-0.33,-2.0421,55129.0,87817.118
2,300132.SZ,20210810,16.14,16.25,15.7,16.16,16.01,0.15,0.9369,73053.7,116827.877
3,300132.SZ,20210809,15.1,16.44,14.94,16.01,15.07,0.94,6.2376,139242.18,219994.447
4,300132.SZ,20210806,15.02,15.24,14.8,15.07,15.21,-0.14,-0.9204,68605.53,102970.128
5,300132.SZ,20210805,15.57,15.6,15.12,15.21,15.49,-0.28,-1.8076,83499.36,127522.868
6,300132.SZ,20210804,15.23,15.55,15.12,15.49,15.31,0.18,1.1757,84153.69,129077.026
7,300132.SZ,20210803,15.13,15.6,15.11,15.31,15.3,0.01,0.0654,92275.58,141653.018
8,300132.SZ,20210802,15.32,16.05,15.2,15.3,15.43,-0.13,-0.8425,191155.33,296801.366
9,300132.SZ,20210730,15.64,15.92,14.94,15.43,15.61,-0.18,-1.1531,117090.52,178739.573
10,300132.SZ,20210729,14.99,15.96,14.9,15.61,14.95,0.66,4.4147,129449.88,200237.672
11,300132.SZ,20210728,16.08,16.31,14.9,14.95,16.48,-1.53,-9.284,192887.52,297353.91
12,300132.SZ,20210727,18.24,18.5,16.41,16.48,18.1,-1.62,-8.9503,171632.3,292933.033
13,300132.SZ,20210726,18.26,19.25,17.97,18.1,18.75,-0.65,-3.4667,160217.04,295057.639
14,300132.SZ,20210723,19.11,21.04,18.68,18.75,18.91,-0.16,-0.8461,269651.54,534248.297
15,300132.SZ,20210722,19.8,19.8,18.79,18.91,19.82,-0.91,-4.5913,92015.02,175618.156
16,300132.SZ,20210721,19.89,20.08,19.78,19.82,19.88,-0.06,-0.3018,31777.08,63136.157
17,300132.SZ,20210720,20.4,20.4,19.65,19.88,20.3,-0.42,-2.069,50024.59,99322.201
18,300132.SZ,20210719,19.6,20.4,19.58,20.3,19.25,1.05,5.4545,87587.31,175425.13
19,300132.SZ,20210716,19.11,19.3,18.75,19.25,19.25,0.0,0.0,67380.77,128276.112
20,300132.SZ,20210715,19.21,19.4,19.11,19.25,19.25,0.0,0.0,24730.0,47505.507
21,300132.SZ,20210714,19.66,19.66,19.22,19.25,19.55,-0.3,-1.5345,29851.18,57693.82
22,300132.SZ,20210713,19.35,19.74,19.13,19.55,19.33,0.22,1.1381,39448.52,76700.841
23,300132.SZ,20210712,19.18,19.47,19.09,19.33,19.22,0.11,0.5723,30393.97,58759.289
24,300132.SZ,20210709,19.61,19.61,19.03,19.22,19.61,-0.39,-1.9888,45679.54,87649.708
25,300132.SZ,20210708,19.4,19.64,19.11,19.61,19.41,0.2,1.0304,39789.54,76987.706
26,300132.SZ,20210707,19.37,19.65,19.34,19.41,19.63,-0.22,-1.1207,36562.71,71020.671
27,300132.SZ,20210706,19.48,20.2,19.28,19.63,19.44,0.19,0.9774,65519.16,129519.061
28,300132.SZ,20210705,19.99,20.1,19.27,19.44,19.95,-0.51,-2.5564,70962.22,138198.461
29,300132.SZ,20210702,20.77,20.77,19.9,19.95,20.84,-0.89,-4.2706,71788.44,144326.302
30,300132.SZ,20210701,21.16,21.28,20.77,20.84,21.1,-0.26,-1.2322,25489.25,53399.416
