,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600386.SH,20210812,3.33,3.34,3.3,3.33,3.32,0.01,0.3012,35610.79,11837.644
1,600386.SH,20210811,3.27,3.33,3.27,3.32,3.27,0.05,1.5291,34847.67,11526.784
2,600386.SH,20210810,3.24,3.29,3.22,3.27,3.22,0.05,1.5528,29711.98,9702.456
3,600386.SH,20210809,3.3,3.31,3.27,3.3,3.3,0.0,0.0,37160.71,12239.845
4,600386.SH,20210806,3.3,3.31,3.28,3.3,3.3,0.0,0.0,21230.23,6994.853
5,600386.SH,20210805,3.32,3.35,3.28,3.3,3.32,-0.02,-0.6024,35040.31,11609.93
6,600386.SH,20210804,3.31,3.37,3.3,3.32,3.3,0.02,0.6061,44334.01,14770.593
7,600386.SH,20210803,3.26,3.33,3.25,3.3,3.26,0.04,1.227,38157.9,12557.473
8,600386.SH,20210802,3.19,3.27,3.17,3.26,3.19,0.07,2.1944,45800.46,14769.005
9,600386.SH,20210730,3.22,3.23,3.17,3.19,3.22,-0.03,-0.9317,36345.28,11602.464
10,600386.SH,20210729,3.26,3.28,3.2,3.22,3.25,-0.03,-0.9231,49985.02,16187.642
11,600386.SH,20210728,3.27,3.29,3.24,3.25,3.28,-0.03,-0.9146,33667.88,10981.288
12,600386.SH,20210727,3.31,3.32,3.27,3.28,3.29,-0.01,-0.304,35320.62,11626.455
13,600386.SH,20210726,3.38,3.38,3.28,3.29,3.37,-0.08,-2.3739,43280.64,14343.673
14,600386.SH,20210723,3.41,3.42,3.37,3.37,3.42,-0.05,-1.462,29536.16,9997.539
15,600386.SH,20210722,3.44,3.44,3.41,3.42,3.44,-0.02,-0.5814,28926.12,9899.851
16,600386.SH,20210721,3.42,3.46,3.41,3.44,3.42,0.02,0.5848,28817.05,9904.619
17,600386.SH,20210720,3.42,3.45,3.39,3.42,3.42,0.0,0.0,21996.4,7521.908
18,600386.SH,20210719,3.41,3.43,3.36,3.42,3.41,0.01,0.2933,29816.34,10118.731
19,600386.SH,20210716,3.44,3.46,3.41,3.41,3.43,-0.02,-0.5831,36273.01,12445.346
20,600386.SH,20210715,3.48,3.5,3.4,3.43,3.49,-0.06,-1.7192,40204.0,13842.587
21,600386.SH,20210714,3.51,3.53,3.47,3.49,3.52,-0.03,-0.8523,30620.0,10683.387
22,600386.SH,20210713,3.52,3.54,3.47,3.52,3.52,0.0,0.0,33364.0,11686.842
23,600386.SH,20210712,3.49,3.56,3.49,3.52,3.5,0.02,0.5714,43314.0,15298.736
24,600386.SH,20210709,3.49,3.5,3.46,3.5,3.47,0.03,0.8646,15657.0,5446.203
25,600386.SH,20210708,3.48,3.51,3.47,3.47,3.47,0.0,0.0,27068.94,9446.261
26,600386.SH,20210707,3.51,3.52,3.45,3.47,3.52,-0.05,-1.4205,49466.64,17224.089
27,600386.SH,20210706,3.51,3.53,3.49,3.52,3.5,0.02,0.5714,23214.0,8152.031
28,600386.SH,20210705,3.47,3.57,3.47,3.5,3.47,0.03,0.8646,50115.07,17561.067
29,600386.SH,20210702,3.5,3.53,3.47,3.47,3.5,-0.03,-0.8571,26446.06,9249.014
30,600386.SH,20210701,3.52,3.54,3.5,3.5,3.52,-0.02,-0.5682,19346.9,6815.662
