,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
0,002239.SZ,20171229,4.03,4.07,4.02,4.04,4.04,0.0,0.0,76230.88,30812.687,4.032,115310.656,4.0046,116177.6254,3.9694,178334.9997,4.2846,227776.6561,4.2729,199139.5569,4.304,363236.78
1,002239.SZ,20171228,4.03,4.09,4.02,4.04,4.06,-0.019999999999999574,-0.4926,147036.38,59704.915,4.026,116773.328,3.9985,122130.2285,3.9697,182046.8047,4.2853,227363.5453,4.2759,198813.6222,4.3036,364417.9181
2,002239.SZ,20171227,4.03,4.15,3.98,4.06,4.03,0.02999999999999936,0.7444,192004.71,77815.035,4.014,105675.372,3.9931,127353.8692,3.9715,182351.6259,4.2856,226466.7457,4.2786,198094.9476,4.3036,364422.0795
3,002239.SZ,20171226,3.97,4.03,3.96,4.03,3.99,0.040000000000000036,1.0025,94793.66,37908.479,3.998,86767.084,3.9854,137399.5777,3.9747,182693.3935,4.2858,225297.0047,4.2812,197232.086,4.3041,362837.0191
4,002239.SZ,20171225,3.98,4.0,3.96,3.99,4.01,-0.019999999999999574,-0.4988,66487.65,26442.82,3.988,91058.552,3.9685,141294.2454,3.9776,186426.1388,4.2866,224790.9545,4.2855,196779.2244,4.3048,362247.1836
5,002239.SZ,20171222,3.99,4.05,3.96,4.01,3.98,0.029999999999999805,0.7538,83544.24,33437.888,3.99,109391.866,3.9508,143707.8877,3.98,188884.4756,4.2877,224482.0901,4.29,196512.36,4.306,362631.6288
6,002239.SZ,20171221,3.98,4.0,3.95,3.98,3.98,0.0,0.0,91546.6,36431.276,3.98,111596.558,3.9277,152803.3669,3.9826,190050.8565,4.2887,224117.2797,4.2946,196210.4093,4.3072,362284.3328
7,002239.SZ,20171220,3.98,4.01,3.94,3.98,3.98,0.0,0.0,97463.27,38692.905,3.99,133706.93,3.9162,155675.3823,3.9853,190475.2388,4.2897,223680.1265,4.2992,195894.4812,4.3087,361895.3264
8,002239.SZ,20171219,3.97,4.02,3.95,3.98,4.0,-0.020000000000000018,-0.5,116251.0,46378.066,3.986,132240.348,3.9108,159344.4285,3.9876,191537.0935,4.2904,223144.883,4.3041,195521.9747,4.3105,361389.8715
9,002239.SZ,20171218,4.1,4.19,4.0,4.0,3.96,0.040000000000000036,1.0101,158154.22,64150.432,3.982,139713.092,3.9038,161819.7362,3.9912,191159.1112,4.2913,222507.0845,4.3095,195074.4261,4.3121,360658.1568
10,002239.SZ,20171215,4.01,4.01,3.96,3.96,4.03,-0.07000000000000028,-1.737,94567.7,37647.239,3.976,151070.99,3.9023,164615.8146,3.9941,190382.6788,4.2923,221584.472,4.3152,194370.3604,4.3136,360115.5044
11,002239.SZ,20171214,3.98,4.08,3.98,4.03,3.96,0.07000000000000028,1.7677,202098.46,81453.557,3.976,196677.234,3.9054,177237.4638,3.9968,196802.6682,4.293,221167.4117,4.3209,194119.694,4.316,359314.0881
12,002239.SZ,20171213,3.94,3.97,3.91,3.96,3.96,0.0,0.0,90130.36,35565.179,3.932,185342.41,3.9031,181162.3592,4.0021,198645.6994,4.2938,220112.0377,4.3262,193231.116,4.3171,357295.266
13,002239.SZ,20171212,3.96,3.99,3.91,3.96,3.97,-0.010000000000000231,-0.2519,153614.72,60588.867,3.892,186889.338,3.9154,202720.2154,4.0132,202304.6024,4.2948,219827.6088,4.3314,193154.2124,4.3196,356671.8159
14,002239.SZ,20171211,3.91,4.02,3.91,3.97,3.96,0.010000000000000231,0.2525,214943.71,85330.19,3.842,196523.488,3.9354,266305.2592,4.0259,200747.2282,4.2954,218980.1416,4.3374,192583.6916,4.3225,355078.7287
15,002239.SZ,20171208,4.01,4.19,3.91,3.96,3.81,0.1499999999999999,3.937,322598.92,128965.505,3.814,179311.306,3.95,259301.9815,4.0374,198989.325,4.2963,217720.9478,4.3436,192079.1422,4.3256,352801.4187
16,002239.SZ,20171207,3.77,3.87,3.74,3.81,3.76,0.050000000000000266,1.3298,145424.34,55621.59,3.804,143823.696,3.9362,243640.5785,4.0509,192866.0529,4.2972,215936.6443,4.3494,190623.643,4.3285,349053.6411
17,002239.SZ,20171206,3.7,3.76,3.68,3.76,3.71,0.04999999999999982,1.3477,97865.0,36439.545,3.82,144424.828,3.9408,244196.9469,4.0697,193234.7759,4.3004,215119.1828,4.355,189955.6074,4.3337,347815.3072
18,002239.SZ,20171205,3.83,3.83,3.68,3.71,3.83,-0.1200000000000001,-3.1332,201785.47,75453.117,3.864,163752.476,3.95,253159.6685,4.0879,196495.1435,4.3047,214595.0854,4.3608,189806.5414,4.3395,347091.856
19,002239.SZ,20171204,3.89,3.89,3.82,3.83,3.91,-0.08000000000000007,-2.046,128882.8,49702.536,3.922,175125.21,3.9738,245614.9208,4.1082,197099.8882,4.3093,213355.075,4.368,189017.3546,4.3459,344962.1903
20,002239.SZ,20171201,3.87,3.93,3.84,3.91,3.89,0.020000000000000018,0.5141,145160.87,56507.947,3.956,199973.07,3.9885,243804.9008,4.1285,197159.8094,4.3135,212709.8835,4.375,188838.4614,4.3507,343882.3829
21,002239.SZ,20171130,3.93,3.96,3.89,3.89,3.98,-0.08999999999999986,-2.2613,148430.0,58192.866,3.998,245017.394,3.9992,241754.2331,4.1459,201422.8241,4.3169,211997.1822,4.381,188253.1309,4.3539,342850.7499
