,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,002668.SZ,20171229,18.93,19.2,18.78,19.18,18.93,0.25,1.3207,13171.8,25049.365,18.796,15118.894,18.9115,12643.2108,19.0647,21982.9885
1,002668.SZ,20171228,18.68,19.23,18.5,18.93,18.8,0.129999999999999,0.6915,16745.54,31745.908,18.736,13908.174,18.9031,12678.4262,19.0988,22811.9906
2,002668.SZ,20171227,18.38,18.8,17.9,18.8,18.39,0.41000000000000014,2.2295,22694.14,41610.494,18.73,13418.628,18.9185,12431.9846,19.1476,23576.5541
3,002668.SZ,20171226,18.53,18.8,18.2,18.39,18.68,-0.28999999999999915,-1.5525,13617.4,25202.002,18.74,10934.708,18.9523,11670.62,19.2,24736.3056
4,002668.SZ,20171225,18.88,19.12,18.68,18.68,18.88,-0.1999999999999993,-1.0593,9365.59,17620.838,18.864,9613.096,18.9946,11794.3108,19.2818,25749.1282
5,002668.SZ,20171222,18.92,18.92,18.7,18.88,18.9,-0.019999999999999574,-0.1058,7118.2,13380.7,18.934,10998.604,18.9954,13506.4669,19.3574,27198.2041
6,002668.SZ,20171221,18.82,18.91,18.42,18.9,18.85,0.04999999999999716,0.2653,14297.81,26627.145,18.998,12433.79,18.9415,14535.2169,19.43,28178.6471
7,002668.SZ,20171220,19.02,19.05,18.76,18.85,19.01,-0.16000000000000014,-0.8417,10274.54,19340.667,19.002,11266.708,18.9492,15393.0138,19.5088,29817.0468
8,002668.SZ,20171219,19.0,19.16,18.96,19.01,19.03,-0.019999999999999574,-0.1051,7009.34,13351.465,19.048,11415.344,18.9831,15832.7238,19.5853,31428.4338
9,002668.SZ,20171218,19.09,19.34,18.9,19.03,19.2,-0.16999999999999815,-0.8854,16293.13,31203.76,19.06,12739.396,18.9815,16416.6838,19.6782,32619.2185
10,002668.SZ,20171215,18.5,19.23,18.5,19.2,18.92,0.2799999999999976,1.4799,14294.13,27015.216,19.08,12189.13,18.9938,16550.2892,19.7729,34428.2538
11,002668.SZ,20171214,19.09,19.1,18.78,18.92,19.08,-0.1599999999999966,-0.8386,8462.4,16002.798,19.088,11889.584,19.0092,19727.0954,19.8732,36827.3606
12,002668.SZ,20171213,19.1,19.2,18.7,19.08,19.07,0.00999999999999801,0.0524,11017.72,20867.457,19.092,13242.18,18.9838,21686.7569,20.005,39400.0382
13,002668.SZ,20171212,19.3,19.3,19.06,19.07,19.13,-0.05999999999999872,-0.3136,13629.6,26137.357,19.014,17363.36,18.9477,22883.6223,20.1321,42070.4718
14,002668.SZ,20171211,19.24,19.42,19.07,19.13,19.24,-0.10999999999999943,-0.5717,13541.8,26009.26,18.836,18735.83,18.9115,26169.4723,20.2544,44430.5188
15,002668.SZ,20171208,19.0,19.38,18.9,19.24,18.94,0.29999999999999716,1.5839,12796.4,24559.026,18.81,21117.304,18.8708,28453.7608,20.3753,47967.9262
16,002668.SZ,20171207,18.7,18.98,18.43,18.94,18.69,0.25,1.3376,15225.38,28646.382,18.82,21756.178,18.8531,30173.0069,20.5035,53341.4053
17,002668.SZ,20171206,18.2,18.74,17.71,18.69,18.18,0.5100000000000016,2.8053,31623.62,57914.148,18.83,21631.266,18.8885,30265.9931,20.5909,56372.8974
18,002668.SZ,20171205,18.98,19.1,18.05,18.18,19.0,-0.8200000000000003,-4.3158,20491.95,38024.596,18.93,18912.542,18.9646,32139.6515,20.6582,57233.3826
19,002668.SZ,20171204,19.26,19.56,18.89,19.0,19.29,-0.28999999999999915,-1.5034,25449.17,49017.276,19.174,25932.674,19.14,32703.7938,20.7182,57146.5597
20,002668.SZ,20171201,18.76,19.3,18.76,19.29,18.99,0.3000000000000007,1.5798,15990.77,30497.61,19.092,27630.44,19.2346,32311.6115,20.7571,57015.5347
21,002668.SZ,20171130,19.26,19.26,18.83,18.99,19.19,-0.20000000000000284,-1.0422,14600.82,27724.805,18.956,29747.68,19.2931,33408.5523,20.7935,57720.8929
22,002668.SZ,20171129,19.4,19.77,19.07,19.19,19.4,-0.2099999999999973,-1.0825,18030.0,34684.055,18.878,38096.646,19.3969,35466.7869,20.8497,59093.0165
23,002668.SZ,20171128,18.65,19.58,18.5,19.4,18.59,0.8099999999999987,4.3572,55592.61,106863.172,18.76,43138.156,19.5046,37367.61,20.9062,61244.7776
24,002668.SZ,20171127,18.62,19.21,18.35,18.59,18.61,-0.019999999999999574,-0.1075,33938.0,64047.116,18.682,39048.954,19.5954,37870.1546,20.9497,63068.6082
25,002668.SZ,20171124,18.35,18.78,18.07,18.61,18.6,0.00999999999999801,0.0538,26576.97,48851.044,18.844,35548.194,19.7938,38955.9523,21.0029,64181.4553
26,002668.SZ,20171123,18.5,18.6,17.69,18.6,18.6,0.0,0.0,56345.65,102012.873,19.058,41429.036,19.9969,41421.8908,21.0491,65394.3021
27,002668.SZ,20171122,18.9,18.94,18.31,18.6,19.01,-0.41000000000000014,-2.1568,43237.55,80247.871,19.43,35725.066,20.2085,40199.3992,21.0909,66283.6741
28,002668.SZ,20171121,19.4,19.59,18.84,19.01,19.4,-0.389999999999997,-2.0103,35146.6,67475.861,19.756,31147.716,20.4377,42258.3108,21.1129,66000.3029
29,002668.SZ,20171120,19.72,19.72,18.98,19.4,19.68,-0.28000000000000114,-1.4228,16434.2,31695.614,19.964,30168.596,20.6254,44559.4723,21.1374,65617.65
30,002668.SZ,20171117,20.56,20.6,19.0,19.68,20.46,-0.7800000000000011,-3.8123,55981.18,110132.113,20.152,35153.33,20.8385,46948.8431,21.155,66210.96
31,002668.SZ,20171116,20.3,20.57,20.13,20.46,20.23,0.23000000000000043,1.1369,27825.8,56789.357,20.334,32505.234,21.0362,48627.2392,21.1676,65875.9271
32,002668.SZ,20171115,20.04,20.26,20.0,20.23,20.05,0.17999999999999972,0.8978,20350.8,40939.518,20.358,39365.212,21.2015,53860.9285,21.1532,67211.34
33,002668.SZ,20171114,20.35,20.55,20.05,20.05,20.34,-0.28999999999999915,-1.4258,30251.0,61329.394,20.546,44905.726,21.4454,59674.9777,21.1632,69163.0812
34,002668.SZ,20171113,20.57,20.57,20.15,20.34,20.59,-0.25,-1.2142,41357.87,84178.34,20.786,50582.36,21.7031,65179.7054,21.1735,70124.6729
35,002668.SZ,20171110,20.45,20.75,20.17,20.59,20.58,0.010000000000001563,0.0486,42740.7,87318.64,20.988,50401.438,21.9254,69219.1923,21.175,71494.2826
36,002668.SZ,20171109,20.98,21.1,20.44,20.58,21.17,-0.5900000000000034,-2.787,62125.69,128594.827,21.186,55853.978,22.1292,76224.8038,21.1641,74028.245
37,002668.SZ,20171108,21.09,21.56,21.09,21.17,21.25,-0.0799999999999983,-0.3765,48053.37,102283.723,21.36,56441.18,22.3615,86483.9577,21.1703,78645.6376
38,002668.SZ,20171107,21.27,21.4,20.8,21.25,21.35,-0.10000000000000142,-0.4684,58634.17,123510.512,21.56,56329.71,22.4185,91887.2454,21.1741,86789.8282
39,002668.SZ,20171106,21.68,21.69,21.0,21.35,21.58,-0.22999999999999687,-1.0658,40453.26,86811.074,21.76,60162.942,22.3977,92060.0108,21.1185,85894.0965
40,002668.SZ,20171103,21.43,21.68,20.82,21.58,21.45,0.129999999999999,0.6061,70003.4,149008.28,22.012,71245.042,22.3108,90297.45,21.0609,85891.5771
41,002668.SZ,20171102,22.07,22.07,21.2,21.45,22.17,-0.7200000000000024,-3.2476,65061.7,139920.958,22.376,76431.05,22.2138,86527.5208,21.0006,85290.4559
42,002668.SZ,20171101,22.44,22.79,22.0,22.17,22.25,-0.0799999999999983,-0.3596,47496.02,106063.148,22.766,83781.202,22.1431,84597.6169,20.9512,84193.4426
43,002668.SZ,20171031,22.78,22.88,21.92,22.25,22.61,-0.35999999999999943,-1.5922,77800.33,173634.294,22.978,93056.238,22.0454,85655.8477,20.8844,83874.3812
44,002668.SZ,20171030,23.17,23.2,22.17,22.61,23.4,-0.7899999999999991,-3.3761,95863.76,217330.233,23.176,104258.902,21.9577,86685.8131,20.8106,82766.7629
45,002668.SZ,20171027,24.6,24.6,23.08,23.4,23.4,0.0,0.0,95933.44,226909.226,23.374,124185.088,21.8246,88358.0508,20.7253,80866.9806
46,002668.SZ,20171026,23.27,23.74,23.15,23.4,23.23,0.16999999999999815,0.7318,101812.46,239730.883,23.076,128657.622,21.5938,86499.6938,20.6182,78709.1374
47,002668.SZ,20171025,23.71,23.77,23.16,23.23,23.24,-0.00999999999999801,-0.043,93871.2,219407.375,22.592,120471.154,21.3462,83884.4092,20.5126,76445.7112
48,002668.SZ,20171024,23.4,24.82,23.02,23.24,23.6,-0.360000000000003,-1.5254,133813.65,318010.832,21.99,105204.908,21.0992,83323.8785,20.4088,74341.5871
49,002668.SZ,20171023,21.83,24.1,21.8,23.6,21.91,1.6900000000000013,7.7134,195494.69,456030.194,21.406,82641.042,20.8,75615.3615,20.3065,71005.6626
50,002668.SZ,20171020,20.84,22.87,20.62,21.91,20.98,0.9299999999999997,4.4328,118296.11,257743.825,20.792,51536.694,20.5108,62280.1085,20.1947,65990.0341
51,002668.SZ,20171019,20.17,21.09,20.17,20.98,20.22,0.7600000000000016,3.7587,60880.12,125825.435,20.59,40128.076,20.3638,55996.3108,20.1324,63628.9603
52,002668.SZ,20171018,20.29,20.47,20.17,20.22,20.32,-0.10000000000000142,-0.4921,17539.97,35646.261,20.616,46190.028,20.2969,54743.2292,20.1038,63007.6929
53,002668.SZ,20171017,20.6,20.6,20.2,20.32,20.53,-0.21000000000000085,-1.0229,20994.32,42672.003,20.748,66202.604,20.2777,59027.0654,20.0941,63460.4544
54,002668.SZ,20171016,20.9,20.9,20.36,20.53,20.9,-0.36999999999999744,-1.7703,39972.95,81926.04,20.764,76358.7,20.2969,64082.1177,20.0815,64020.4332
55,002668.SZ,20171013,21.12,21.46,20.68,20.9,21.11,-0.21000000000000085,-0.9948,61253.02,128366.127,20.694,81926.862,20.2869,65849.2077,20.0676,63519.58
56,002668.SZ,20171012,20.83,21.55,20.64,21.11,20.88,0.23000000000000043,1.1015,91189.88,193534.628,20.518,86993.118,20.2477,67900.8677,20.0474,62653.6606
57,002668.SZ,20171011,20.4,21.3,20.31,20.88,20.4,0.4800000000000004,2.3529,117602.85,246753.01,20.166,75475.728,20.1792,70801.2938,20.0185,60684.1182
