,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,603637.SH,20171229,23.98,24.23,23.3,24.19,23.71,0.48,2.02,12327.29,29563.167,23.704,11833.998,23.5231,13063.6923,23.4124,12884.6044
1,603637.SH,20171228,23.38,23.89,23.06,23.71,23.64,0.07,0.3,7458.02,17680.986,23.55,12500.86,23.5292,13486.9977,23.3953,12947.3403
2,603637.SH,20171227,23.58,23.81,23.2,23.64,23.52,0.12,0.51,7609.84,17966.6,23.37,15028.872,23.5377,13815.1215,23.3944,13270.7353
3,603637.SH,20171226,23.49,23.98,23.39,23.52,23.46,0.06,0.26,12796.04,30290.671,23.2,14545.544,23.5362,14097.7046,23.3894,13308.8224
4,603637.SH,20171225,23.37,23.99,23.29,23.46,23.42,0.04,0.17,18978.8,44923.951,23.078,13363.66,23.5115,13707.7269,23.3968,13467.4394
5,603637.SH,20171222,22.44,23.46,22.12,23.42,22.81,0.61,2.67,15661.6,36060.381,22.982,12909.078,23.4769,12977.2354,23.4097,13414.6282
6,603637.SH,20171221,23.08,23.2,21.0,22.81,22.79,0.02,0.09,20098.08,44586.264,23.076,14260.978,23.4577,13091.8115,23.4174,13340.2665
7,603637.SH,20171220,22.84,23.07,22.77,22.79,22.91,-0.12,-0.52,5193.2,11866.024,23.358,12633.926,23.5023,12169.6815,23.4382,12940.62
8,603637.SH,20171219,22.93,23.16,22.8,22.91,22.98,-0.07,-0.3,6886.62,15800.148,23.652,13941.026,23.5677,12844.56,23.4771,13236.3568
9,603637.SH,20171218,23.43,23.76,22.8,22.98,23.89,-0.91,-3.81,16705.89,38532.249,23.924,16129.754,23.5746,12859.0969,23.5156,13293.8856
10,603637.SH,20171215,23.94,24.79,23.85,23.89,24.22,-0.33,-1.36,22421.1,54431.696,24.092,15133.302,23.5654,12126.0808,23.5553,13150.2235
11,603637.SH,20171214,24.15,24.49,23.88,24.22,24.26,-0.04,-0.16,11962.82,29002.665,24.038,12905.766,23.4892,10815.17,23.5644,13064.7382
