,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,002459.SZ,20201231,40.9,41.99,39.13,40.72,39.58,1.1400000000000006,2.8802,268389.08,1086893.739,42.378,213862.374,41.6231,169729.0862,35.9538,151636.3938
1,002459.SZ,20201230,41.32,42.24,38.9,39.58,41.11,-1.5300000000000011,-3.7217,292123.88,1175241.836,43.362,183310.842,41.3862,166725.2385,35.6524,148751.0294
2,002459.SZ,20201229,43.2,43.53,40.71,41.11,43.68,-2.5700000000000003,-5.8837,167576.41,699062.457,44.938,164069.114,41.0192,158196.36,35.3838,147154.7741
3,002459.SZ,20201228,46.04,46.04,43.02,43.68,46.8,-3.1199999999999974,-6.6667,186011.0,820234.754,45.468,170663.63,40.4423,157095.0069,35.0865,152266.8712
4,002459.SZ,20201225,45.65,47.0,43.33,46.8,45.64,1.1599999999999966,2.5416,155211.5,704086.103,45.172,167342.872,39.5346,148873.0662,34.7865,167111.4876
5,002459.SZ,20201224,48.0,48.0,45.12,45.64,47.46,-1.8200000000000003,-3.8348,115631.42,531985.265,43.484,158686.444,38.4723,143532.8562,34.3756,163169.9141
6,002459.SZ,20201223,44.26,48.1,44.26,47.46,43.76,3.700000000000003,8.4552,195915.24,905737.845,41.78,154410.474,37.4869,141095.9292,34.1062,168061.5285
7,002459.SZ,20201222,42.01,45.6,41.6,43.76,42.2,1.5599999999999952,3.6967,200548.99,875704.707,39.728,141605.834,36.2977,131067.5031,33.9024,166395.1453
8,002459.SZ,20201221,39.5,42.2,39.45,42.2,38.36,3.8400000000000034,10.0104,169407.21,697991.515,38.47,125014.12,35.3885,121256.6723,33.78,167420.0715
9,002459.SZ,20201218,37.16,39.11,36.72,38.36,37.12,1.240000000000002,3.3405,111929.36,427739.143,37.558,137000.49,34.6769,115602.5885,33.7856,166940.8732
10,002459.SZ,20201217,37.0,37.5,36.0,37.12,37.2,-0.0800000000000054,-0.2151,94251.57,347326.826,36.848,150864.31,34.2338,115613.3577,33.8971,170284.515
11,002459.SZ,20201216,38.5,39.43,37.0,37.2,37.47,-0.269999999999996,-0.7206,131892.04,502790.57,36.146,162665.76,33.9138,120749.9108,33.9324,171769.9547
12,002459.SZ,20201215,37.79,37.85,36.42,37.47,37.64,-0.1700000000000017,-0.4516,117590.42,435451.521,35.082,152112.506,33.5877,117027.45,34.0191,171173.7741
13,002459.SZ,20201214,35.3,38.27,35.01,37.64,34.81,2.8299999999999983,8.1298,229339.06,837272.011,34.186,145752.176,33.3023,116972.8323,34.0732,174007.1574
14,002459.SZ,20201211,33.65,36.1,33.37,34.81,33.61,1.2000000000000028,3.5704,181248.46,628778.487,33.224,116674.638,32.9777,110978.1069,34.0941,172060.8426
15,002459.SZ,20201210,32.0,34.14,31.05,33.61,31.88,1.7300000000000004,5.4266,153258.82,506692.706,32.662,93534.086,32.8677,110575.9715,34.1468,172028.2515
16,002459.SZ,20201209,33.05,33.5,31.8,31.88,32.99,-1.110000000000003,-3.3647,79125.77,258307.097,32.328,77483.96,32.7523,113638.87,34.2038,171868.3112
17,002459.SZ,20201208,32.7,33.29,32.21,32.99,32.83,0.1600000000000037,0.4874,85788.77,282450.289,32.542,80839.63,32.6885,119480.83,34.3679,173716.5706
18,002459.SZ,20201207,32.5,33.22,32.01,32.83,32.0,0.8299999999999983,2.5937,83951.37,274065.685,32.464,86095.748,32.4969,129026.2592,34.5456,177441.5797
