,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
0,002926.SZ,20201231,12.03,12.55,12.02,12.48,11.96,0.5199999999999996,4.3478,602890.47,746195.176,11.86,322786.58,11.7738,245089.12,12.165,290613.1729,12.113,424583.6861,11.8064,393543.0362,12.0785,266281.1995
1,002926.SZ,20201230,11.62,12.04,11.6,11.96,11.63,0.33000000000000007,2.8375,317113.61,377078.689,11.636,237451.052,11.7208,209239.6554,12.15,278870.9691,12.0987,422728.8055,11.7922,391095.5731,12.0717,262920.2384
2,002926.SZ,20201229,11.62,11.91,11.62,11.63,11.6,0.030000000000001137,0.2586,226304.22,266209.532,11.562,218077.772,11.7031,203206.5015,12.1559,274510.1109,12.0879,423719.9911,11.7818,390597.3102,12.0748,263731.7332
3,002926.SZ,20201228,11.57,11.76,11.51,11.6,11.63,-0.030000000000001137,-0.258,216617.94,251717.696,11.528,226870.112,11.7262,205704.7715,12.1718,274742.3591,12.0756,423020.8409,11.7733,391911.7211,12.08,266116.4451
4,002926.SZ,20201225,11.3,11.71,11.3,11.63,11.36,0.27000000000000135,2.3768,251006.66,290823.594,11.616,219250.628,11.7592,216229.91,12.1921,278533.7662,12.0641,423449.9956,11.7675,392118.4896,12.0927,266168.5015
5,002926.SZ,20201224,11.59,11.67,11.32,11.36,11.59,-0.23000000000000043,-1.9845,176212.83,202187.774,11.658,206193.802,11.8285,212289.3962,12.2174,286646.6712,12.0505,422529.3245,11.7611,392354.1596,12.1065,266846.4219
6,002926.SZ,20201223,11.47,11.69,11.42,11.59,11.46,0.129999999999999,1.1344,220247.21,254478.409,11.788,223490.498,11.9185,218102.1,12.2359,288797.0229,12.0396,422152.5533,11.7567,393430.682,12.1256,269265.5459
7,002926.SZ,20201222,11.97,12.02,11.42,11.46,12.04,-0.5799999999999983,-4.8173,270265.92,316370.063,11.808,207075.672,12.0108,224945.6669,12.2485,288305.2318,12.0263,421467.7989,11.75,394183.3699,12.1421,270572.386
8,002926.SZ,20201221,11.81,12.06,11.72,12.04,11.84,0.1999999999999993,1.6892,178520.52,213092.91,11.87,181099.94,12.1338,241436.2269,12.26,285410.4168,12.0137,421074.7114,11.7452,395424.3025,12.16,273968.0425
9,002926.SZ,20201218,11.95,12.0,11.82,11.84,12.01,-0.16999999999999993,-1.4155,185722.53,220868.46,11.82,172765.322,12.2023,266793.9869,12.2579,288334.445,11.9992,420898.2557,11.7346,395460.4888,12.1711,277092.6017
10,002926.SZ,20201217,11.66,12.03,11.55,12.01,11.69,0.3200000000000003,2.7374,262696.31,311003.112,11.798,183357.338,12.2838,293649.3631,12.2532,289886.6071,11.9874,420596.449,11.7257,396086.1902,12.1811,278645.6701
11,002926.SZ,20201216,11.82,11.86,11.68,11.69,11.77,-0.08000000000000007,-0.6797,138173.08,162466.417,11.782,182574.422,12.3262,327017.5485,12.2412,291383.5706,11.9751,419876.9953,11.7171,396825.0373,12.1855,281535.364
12,002926.SZ,20201215,11.76,11.9,11.68,11.77,11.79,-0.019999999999999574,-0.1696,140387.26,165363.604,11.85,225628.754,12.3915,336317.6631,12.2415,291869.9112,11.9644,420052.0636,11.7095,397507.1099,12.2003,284076.9913
13,002926.SZ,20201214,11.74,11.81,11.68,11.79,11.73,0.05999999999999872,0.5115,136847.43,160741.389,12.002,237507.298,12.4315,339702.8408,12.2374,291406.1503,11.953,420014.9748,11.7015,398949.7123,12.2146,286552.7293
14,002926.SZ,20201211,11.93,11.98,11.62,11.73,11.93,-0.1999999999999993,-1.6764,238682.61,281208.765,12.15,260493.408,12.4685,348902.1054,12.23,290898.5947,11.9417,420204.5465,11.6917,399478.8824,12.231,290101.4444
15,002926.SZ,20201210,12.0,12.11,11.82,11.93,12.03,-0.09999999999999964,-0.8313,258781.73,309666.863,12.362,274599.602,12.5223,354244.4431,12.2262,290113.4338,11.9321,419697.2556,11.6837,399856.309,12.2453,292170.7347
16,002926.SZ,20201209,12.58,12.67,11.98,12.03,12.53,-0.5,-3.9904,353444.74,436027.762,12.588,319771.896,12.5777,375912.2015,12.225,287441.9124,11.9208,419240.9356,11.6732,400513.3005,12.2597,296126.9939
17,002926.SZ,20201208,12.57,12.7,12.5,12.53,12.53,0.0,0.0,199779.98,251358.839,12.768,350717.228,12.6062,367086.1908,12.2253,281577.9462,11.9084,418239.6488,11.6638,400086.9197,12.2774,299814.0957
