,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34
0,600808.SH,20201231,2.65,2.67,2.64,2.66,2.65,0.010000000000000231,0.3774,249371.44,66206.509,2.672,271546.738,2.6846,311888.5046,2.7479,441905.1585
1,600808.SH,20201230,2.66,2.68,2.64,2.65,2.66,-0.010000000000000231,-0.3759,233005.47,62011.702,2.67,275653.354,2.6854,342911.3162,2.7497,446202.7156
2,600808.SH,20201229,2.68,2.71,2.65,2.66,2.68,-0.020000000000000018,-0.7463,312801.72,83684.545,2.678,280128.786,2.6954,375626.7585,2.7526,447645.3106
3,600808.SH,20201228,2.71,2.72,2.65,2.68,2.71,-0.029999999999999805,-1.107,294927.72,79119.443,2.684,289526.316,2.7015,394975.3785,2.7556,454573.0544
4,600808.SH,20201225,2.66,2.73,2.65,2.71,2.65,0.06000000000000005,2.2642,267627.34,72249.485,2.702,307681.36,2.7015,392029.2554,2.7565,458883.5976
5,600808.SH,20201224,2.71,2.71,2.65,2.65,2.69,-0.040000000000000036,-1.487,269904.52,72069.62,2.71,376381.23,2.7,397996.3531,2.7574,468821.7453
6,600808.SH,20201223,2.69,2.72,2.68,2.69,2.69,0.0,0.0,255382.63,68961.748,2.718,398044.974,2.7069,401369.1223,2.7585,470397.8262
7,600808.SH,20201222,2.76,2.77,2.68,2.69,2.77,-0.08000000000000007,-2.8881,359789.37,98005.035,2.708,390931.31,2.7131,409737.5815,2.7585,475748.835
8,600808.SH,20201221,2.77,2.79,2.75,2.77,2.75,0.020000000000000018,0.7273,385702.94,106999.196,2.702,362348.07,2.7208,418145.0846,2.7562,471300.9944
9,600808.SH,20201218,2.7,2.77,2.69,2.75,2.69,0.06000000000000005,2.2305,611126.69,167620.846,2.682,415741.08,2.7262,425338.7062,2.7521,466134.1376
10,600808.SH,20201217,2.65,2.7,2.63,2.69,2.64,0.04999999999999982,1.8939,378223.24,101159.716,2.688,425176.986,2.7315,416163.6115,2.7479,454808.8638
11,600808.SH,20201216,2.66,2.68,2.63,2.64,2.66,-0.020000000000000018,-0.7519,219814.31,58259.165,2.698,462399.094,2.7385,460791.3062,2.7447,450158.5597
12,600808.SH,20201215,2.67,2.67,2.64,2.66,2.67,-0.009999999999999787,-0.3745,216873.17,57490.076,2.706,469761.856,2.7546,488180.7246,2.7438,448737.2894
13,600808.SH,20201214,2.73,2.73,2.64,2.67,2.78,-0.10999999999999988,-3.9568,652667.99,173845.678,2.712,495427.144,2.7662,501228.2392,2.7424,446561.6194
14,600808.SH,20201211,2.76,2.8,2.68,2.78,2.74,0.03999999999999959,1.4599,658306.22,179789.427,2.726,427643.65,2.7792,495457.4892,2.7406,431215.8074
15,600808.SH,20201210,2.68,2.76,2.67,2.74,2.68,0.06000000000000005,2.2388,564333.78,154155.558,2.724,368816.926,2.7854,486643.2331,2.7362,417303.9203
16,600808.SH,20201209,2.69,2.71,2.68,2.68,2.69,-0.009999999999999787,-0.3717,256628.12,69121.591,2.734,349767.552,2.7938,509819.4692,2.7335,404974.4691
17,600808.SH,20201208,2.74,2.74,2.69,2.69,2.74,-0.050000000000000266,-1.8248,345199.61,93496.491,2.766,394285.932,2.8038,515363.8838,2.7326,400925.5247
18,600808.SH,20201207,2.78,2.78,2.73,2.74,2.77,-0.029999999999999805,-1.083,313750.52,86370.865,2.792,423616.102,2.8108,517059.2938,2.7315,396014.4453
19,600808.SH,20201204,2.79,2.8,2.74,2.77,2.79,-0.020000000000000018,-0.7168,364172.6,100561.555,2.8,552542.652,2.8154,528853.7923,2.7294,392638.7015
20,600808.SH,20201203,2.83,2.84,2.78,2.79,2.84,-0.04999999999999982,-1.7606,469086.91,131293.188,2.816,594883.482,2.8185,541070.8992,2.7271,389969.8332
21,600808.SH,20201202,2.84,2.86,2.8,2.84,2.82,0.020000000000000018,0.7092,479220.02,135861.197,2.82,578364.272,2.8208,565083.0062,2.7247,381567.6218
22,600808.SH,20201201,2.79,2.84,2.78,2.82,2.78,0.040000000000000036,1.4388,491850.46,138160.339,2.82,598049.916,2.8115,558642.1108,2.7206,371700.0938
23,600808.SH,20201130,2.87,2.9,2.78,2.78,2.85,-0.07000000000000028,-2.4561,958383.27,272404.586,2.828,608424.002,2.8062,542503.8985,2.7174,361274.335
24,600808.SH,20201127,2.84,2.9,2.79,2.85,2.81,0.040000000000000036,1.4235,575876.75,163472.642,2.842,589872.318,2.8046,510962.4938,2.7159,338167.7344
25,600808.SH,20201126,2.83,2.85,2.79,2.81,2.84,-0.029999999999999805,-1.0563,386490.86,108957.613,2.834,540438.07,2.7938,500624.7585,2.7129,327804.6841
