,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
0,603180.SH,20201231,48.25,49.98,48.25,49.95,48.61,1.3400000000000034,2.7566,8820.22,43567.858,48.704,8967.04,50.4923,8682.4715,54.2103,10595.1262,55.5806,15213.8728,54.6074,15308.6161,56.5115,11143.1167
1,603180.SH,20201230,48.58,49.62,48.05,48.61,48.8,-0.18999999999999773,-0.3893,6712.19,32840.594,48.57,8423.51,50.7292,8950.0015,54.4503,10795.6882,55.5877,15514.1194,54.577,15304.2546,56.5797,11219.8512
2,603180.SH,20201229,47.8,49.86,47.8,48.8,47.9,0.8999999999999986,1.8789,10297.65,50554.467,48.874,8804.14,50.9354,9560.3385,54.7888,10976.9671,55.6359,15688.5647,54.5518,15300.2221,56.7045,11282.7643
3,603180.SH,20201228,48.39,48.68,47.51,47.9,48.26,-0.35999999999999943,-0.746,8831.6,42319.704,49.004,9720.922,51.27,9698.0008,55.0718,11219.0868,55.6815,15893.2671,54.5232,15285.2488,56.8296,11306.364
4,603180.SH,20201225,49.1,49.25,47.62,48.26,49.28,-1.0200000000000031,-2.0698,10173.54,49110.752,49.776,9774.736,51.7831,9654.2992,55.4841,11427.9341,55.7474,16086.5655,54.5011,15299.9348,56.9896,11323.0523
5,603180.SH,20201224,50.13,50.3,49.17,49.28,50.13,-0.8500000000000014,-1.6956,6102.57,30230.108,50.502,9129.824,52.3546,9658.4962,55.8712,11719.4003,55.8042,16149.9957,54.4661,15282.7524,57.1476,11328.2005
6,603180.SH,20201223,49.84,50.67,49.06,50.13,49.45,0.6799999999999997,1.3751,8615.34,42998.069,51.35,9159.598,52.9315,9665.13,56.1862,11940.0912,55.8182,16219.2271,54.4226,15280.9224,57.3192,11409.1845
7,603180.SH,20201222,51.6,51.77,49.22,49.45,51.76,-2.309999999999995,-4.4629,14881.56,74947.855,51.962,8666.926,53.4923,9701.6262,56.4676,12117.9032,55.8187,16206.2374,54.3732,15267.9973,57.4761,11459.0223
8,603180.SH,20201221,51.78,52.5,51.0,51.76,51.89,-0.13000000000000256,-0.2505,9100.67,47062.232,52.804,7687.492,54.0885,9686.3654,56.7229,12000.1685,55.8217,16157.9196,54.3272,15220.7988,57.6299,11604.2679
9,603180.SH,20201218,53.52,53.96,51.79,51.89,53.52,-1.6300000000000026,-3.0456,6948.98,36403.507,53.058,8326.98,54.4892,9770.6608,56.9418,12133.6668,55.8154,16186.0674,54.262,15215.7966,57.7564,11756.0504
10,603180.SH,20201217,53.2,53.6,52.1,53.52,53.19,0.3300000000000054,0.6204,6251.44,33068.622,52.938,9866.498,54.8838,10522.8746,57.1303,12546.7941,55.8058,16185.6689,54.2007,15307.4299,57.8908,11917.3201
11,603180.SH,20201216,53.7,53.94,52.8,53.19,53.66,-0.46999999999999886,-0.8759,6151.98,32745.299,52.864,11033.662,55.0615,11359.9131,57.2115,13024.5506,55.7907,16209.4556,54.1554,15339.5951,58.0179,12065.9081
12,603180.SH,20201215,53.03,54.68,52.65,53.66,53.03,0.6299999999999955,1.188,9984.39,53883.008,53.14,11455.962,55.2923,11660.8323,57.4115,13266.0156,55.7685,16231.3526,54.1139,15375.002,58.176,12152.6016
13,603180.SH,20201214,51.0,53.09,51.0,53.03,51.29,1.740000000000002,3.3925,12298.11,64221.396,53.546,11504.704,55.5531,11584.02,57.4924,13176.2106,55.745,16222.5972,54.0624,15392.5678,58.3485,12272.8468
14,603180.SH,20201211,53.38,53.38,50.8,51.29,53.15,-1.8599999999999994,-3.4995,14646.57,75686.795,54.296,10282.844,55.9046,11563.1469,57.5753,12948.6212,55.7288,16195.9132,54.0093,15393.0633,58.5043,12499.2788
15,603180.SH,20201210,55.0,55.0,53.0,53.15,54.57,-1.4200000000000017,-2.6022,12087.26,64940.453,55.522,9171.488,56.5631,11454.15,57.7094,12668.7959,55.7219,16184.3584,53.9546,15334.6484,58.7137,12610.3911
16,603180.SH,20201209,55.98,55.98,54.54,54.57,55.69,-1.1199999999999974,-2.0111,8263.48,45569.199,56.332,9690.67,57.0438,11503.9323,57.79,12500.3315,55.6984,16259.2691,53.8839,15284.4412,58.9373,12812.8097
17,603180.SH,20201208,56.71,57.2,55.61,55.69,56.78,-1.0900000000000034,-1.9197,10228.1,57374.219,56.812,10077.276,57.3269,11927.1215,57.8591,12454.2168,55.6404,16337.7969,53.8036,15261.1958,59.118,13025.7693
18,603180.SH,20201207,57.38,57.88,56.6,56.78,57.42,-0.6400000000000006,-1.1146,6188.81,35355.131,57.078,11377.208,57.4785,11933.6692,57.8974,12425.8397,55.5688,16401.9124,53.7172,15236.895,59.2979,13239.1325
19,603180.SH,20201204,56.5,57.63,56.31,57.42,57.2,0.21999999999999886,0.3846,9089.79,51898.115,56.888,13566.034,57.49,12289.4654,57.9603,12430.3835,55.4705,16404.5144,53.6324,15234.3042,59.4199,13627.0051
20,603180.SH,20201203,56.49,57.65,56.31,57.2,56.97,0.23000000000000398,0.4037,14683.17,83760.66,56.642,13760.862,57.44,12539.5738,58.0171,12348.8418,55.369,16429.7834,53.5409,15206.0641,59.4841,13826.3036
