,trade_date,open,close,high,low
343,20240929,32.6,33.6,33.62,30.93
342,20240922,32.72,32.66,34.55,32.23
341,20240915,31.86,32.78,34.26,31.67
340,20240908,31.04,31.99,32.83,30.66
339,20240901,29.93,31.07,31.38,29.73
338,20240825,30.26,30.08,30.41,28.98
337,20240818,28.97,30.11,30.45,27.38
336,20240811,27.0,28.88,29.18,26.89
335,20240804,26.48,27.02,27.93,25.37
334,20240728,29.08,26.45,29.72,25.9
333,20240721,30.83,29.09,30.86,28.88
332,20240714,31.37,31.03,31.42,28.57
331,20240707,30.52,31.15,31.79,29.53
330,20240630,33.35,30.57,33.63,30.48
329,20240623,32.94,33.5,33.92,32.32
328,20240616,30.39,33.06,33.16,30.01
327,20240609,29.93,30.24,31.35,29.68
326,20240602,29.87,30.51,32.15,29.36
325,20240526,31.06,29.73,31.24,29.67
324,20240519,30.19,31.04,31.51,29.55
323,20240512,30.22,30.3,31.26,29.48
322,20240505,28.18,30.03,30.27,28.16
321,20240428,25.91,28.18,28.49,25.22
320,20240421,26.47,25.63,27.2,24.86
319,20240414,26.0,26.43,26.9,25.82
318,20240407,26.72,26.11,27.29,25.65
317,20240331,25.98,26.83,27.25,25.72
316,20240324,27.49,26.04,27.49,25.7
315,20240317,24.54,27.69,28.12,24.23
314,20240310,25.02,24.5,26.29,24.05
313,20240303,23.21,25.05,25.22,23.08
312,20240225,24.03,23.18,24.03,22.25
311,20240211,19.78,23.22,25.1,18.39
310,20240204,22.6,19.92,22.6,19.36
309,20240128,23.08,22.44,23.14,21.34
308,20240121,23.0,23.11,24.26,22.51
307,20240114,23.37,22.93,23.82,22.51
306,20240107,22.95,23.35,24.48,22.75
305,20231231,20.81,22.9,23.19,20.77
304,20231224,22.28,20.85,22.67,20.77
303,20231217,22.65,22.28,23.83,22.14
302,20231210,23.22,22.81,23.22,22.17
301,20231203,23.55,23.13,24.37,23.06
300,20231126,23.69,23.55,24.81,23.13
299,20231119,23.94,23.69,24.02,23.1
298,20231112,24.6,23.89,25.11,23.62
297,20231105,23.59,23.76,26.06,23.58
296,20231029,22.65,23.59,23.83,22.21
295,20231022,24.43,22.87,24.59,22.75
294,20231015,23.06,24.29,24.51,22.69
293,20231001,22.58,22.97,23.63,22.53
292,20230924,23.1,22.56,23.88,22.09
291,20230917,20.62,23.05,23.22,20.62
290,20230910,21.17,20.57,21.46,20.14
289,20230903,21.64,20.94,21.76,20.3
288,20230827,20.53,20.7,21.57,20.18
287,20230820,20.31,20.67,21.24,19.83
286,20230813,20.87,20.15,21.07,19.36
285,20230806,23.53,21.07,23.63,20.84
284,20230730,22.04,23.4,23.54,21.93
283,20230723,22.08,21.81,22.44,21.45
282,20230716,22.29,22.14,22.8,20.47
281,20230709,23.09,22.33,25.35,21.83
280,20230702,21.86,23.34,24.13,21.57
279,20230625,23.24,21.85,23.38,21.85
278,20230618,23.58,23.42,24.63,22.44
277,20230611,24.68,23.56,24.73,23.23
276,20230604,26.11,24.69,26.87,23.77
275,20230528,25.82,26.07,26.48,25.47
274,20230521,25.64,25.86,26.99,24.87
273,20230514,24.56,25.64,25.86,23.73
272,20230507,26.01,24.67,26.46,24.38
271,20230430,26.63,26.04,27.02,24.82
