,trade_date,open,close,high,low
247,20241110,7.21,7.32,7.45,7.15
246,20241103,7.27,7.2,7.49,7.03
245,20241027,7.05,7.28,7.47,6.97
244,20241020,7.31,7.05,7.38,6.82
243,20241013,8.45,7.31,8.45,7.25
242,20241006,7.48,7.71,7.78,7.33
241,20240929,6.44,7.24,7.24,6.42
240,20240922,6.45,6.46,6.56,6.36
239,20240915,6.63,6.42,6.64,6.35
238,20240908,6.93,6.67,7.04,6.66
237,20240901,7.13,6.94,7.15,6.86
236,20240825,7.39,7.12,7.43,7.06
235,20240818,7.42,7.39,7.55,7.29
234,20240811,7.52,7.39,7.59,7.35
233,20240804,8.22,7.54,8.37,7.49
232,20240728,8.73,8.27,8.73,8.14
231,20240721,8.61,8.75,8.89,8.44
230,20240714,9.48,8.7,9.59,8.65
229,20240707,9.42,9.42,9.69,9.26
228,20240630,8.86,9.41,9.53,8.84
227,20240623,9.03,8.88,9.18,8.79
226,20240616,9.24,9.05,9.35,8.93
225,20240609,8.8,9.2,9.26,8.65
224,20240602,8.78,8.77,9.05,8.62
223,20240526,8.61,8.74,8.84,8.5
222,20240519,9.05,8.62,9.37,8.56
221,20240512,9.13,9.06,9.28,8.82
220,20240505,9.16,9.16,9.2,8.87
219,20240428,9.4,9.22,9.86,9.09
218,20240421,9.87,9.37,10.0,9.28
217,20240414,9.19,9.88,9.98,9.18
216,20240407,9.17,9.24,9.32,8.91
215,20240331,8.77,9.18,9.18,8.71
214,20240324,9.1,8.81,9.43,8.63
213,20240317,9.29,9.08,9.38,8.63
212,20240310,8.42,9.25,9.29,8.4
211,20240303,8.76,8.45,8.81,8.37
210,20240225,8.57,8.79,8.98,8.49
209,20240211,8.47,8.55,8.71,8.04
208,20240204,8.71,8.47,8.93,8.08
207,20240128,7.98,8.69,8.7,7.73
206,20240121,8.26,8.01,8.53,7.93
205,20240114,8.12,8.27,8.48,8.03
204,20240107,7.5,8.17,8.37,7.5
203,20231231,7.53,7.54,7.88,7.45
202,20231224,7.4,7.54,7.77,7.29
201,20231217,7.61,7.42,7.8,7.38
200,20231210,7.5,7.61,7.74,7.31
199,20231203,7.21,7.5,7.55,7.15
198,20231126,7.54,7.24,7.65,7.23
197,20231119,7.55,7.55,7.72,7.27
196,20231112,7.54,7.45,7.55,7.17
195,20231105,7.55,7.51,7.67,7.38
194,20231029,7.2,7.55,7.68,6.75
193,20231022,7.44,7.22,7.55,7.09
192,20231015,7.7,7.49,7.78,7.45
191,20231001,7.87,7.7,7.93,7.67
190,20230924,8.15,7.87,8.23,7.82
189,20230917,8.17,8.15,8.48,8.05
188,20230910,7.83,8.18,8.33,7.53
187,20230903,8.75,7.84,8.76,7.78
186,20230827,8.73,8.37,8.76,8.23
185,20230820,8.6,8.77,9.29,8.5
184,20230813,8.79,8.61,9.15,8.54
183,20230806,8.36,8.76,8.91,8.26
182,20230730,8.86,8.39,9.1,8.22
181,20230723,9.17,8.93,9.21,8.8
180,20230716,9.34,8.96,9.61,8.92
179,20230709,9.08,9.23,9.4,9.01
178,20230702,8.74,9.06,9.2,8.65
177,20230625,8.36,8.65,8.91,8.28
176,20230618,9.42,8.32,9.46,8.3
175,20230611,9.64,9.37,9.88,8.98
174,20230604,9.47,9.66,10.32,9.47
173,20230528,9.07,9.5,9.66,8.88
172,20230521,9.76,9.09,9.97,8.97
171,20230514,9.85,9.65,10.29,9.31
170,20230507,9.45,9.85,10.05,9.39
169,20230430,8.59,9.49,9.64,8.49
168,20230423,8.93,8.54,9.07,8.5
167,20230416,8.28,8.89,9.09,8.27
166,20230409,8.38,8.34,8.38,7.91
165,20230402,8.5,8.39,8.52,8.17
164,20230326,8.77,8.5,8.83,8.2
163,20230319,8.21,8.71,9.15,8.11
162,20230312,8.19,8.21,8.76,8.11
161,20230305,7.74,8.19,8.31,7.56
160,20230226,7.71,7.74,7.86,7.44
159,20230219,8.07,7.72,8.35,7.58
158,20230212,7.61,7.96,8.05,7.46
157,20230205,7.15,7.63,7.68,6.95
156,20230122,6.98,7.15,7.22,6.73
155,20230115,7.64,7.0,7.65,6.91
154,20230108,7.54,7.66,7.89,7.37
153,20210103,4.77,4.48,4.84,4.47
