,ts_code,symbol,name,area,industry,list_date
0,000004.SZ,000004,国华网安,深圳,软件服务,19910114
1,000006.SZ,000006,深振业A,深圳,区域地产,19920427
2,000010.SZ,000010,美丽生态,深圳,建筑工程,19951027
3,000011.SZ,000011,深物业A,深圳,区域地产,19920330
4,000014.SZ,000014,沙河股份,深圳,全国地产,19920602
5,000016.SZ,000016,深康佳A,深圳,家用电器,19920327
6,000017.SZ,000017,深中华A,深圳,文教休闲,19920331
7,000019.SZ,000019,深粮控股,深圳,其他商业,19921012
8,000020.SZ,000020,深华发A,深圳,元器件,19920428
9,000023.SZ,000023,深天地A,深圳,水泥,19930429
10,000025.SZ,000025,特力A,深圳,汽车服务,19930621
11,000026.SZ,000026,飞亚达,深圳,其他商业,19930603
12,000029.SZ,000029,深深房A,深圳,区域地产,19930915
13,000031.SZ,000031,大悦城,深圳,全国地产,19931008
14,000032.SZ,000032,深桑达A,深圳,元器件,19931028
15,000034.SZ,000034,神州数码,深圳,综合类,19940509
16,000036.SZ,000036,华联控股,深圳,全国地产,19940617
17,000037.SZ,000037,深南电A,深圳,火力发电,19940701
18,000038.SZ,000038,深大通,深圳,综合类,19940808
19,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808
20,000042.SZ,000042,中洲控股,深圳,全国地产,19940921
21,000045.SZ,000045,深纺织A,深圳,元器件,19940815
22,000055.SZ,000055,方大集团,深圳,其他建材,19960415
23,000056.SZ,000056,皇庭国际,深圳,房产服务,19960708
24,000058.SZ,000058,深赛格,深圳,商品城,19961226
25,000065.SZ,000065,北方国际,北京,建筑工程,19980605
26,000070.SZ,000070,特发信息,深圳,通信设备,20000511
27,000078.SZ,000078,海王生物,深圳,医药商业,19981218
28,000096.SZ,000096,广聚能源,深圳,石油贸易,20000724
29,000099.SZ,000099,中信海直,深圳,空运,20000731
30,000150.SZ,000150,宜华健康,广东,生物制药,20000807
31,000151.SZ,000151,中成股份,北京,商贸代理,20000906
32,000153.SZ,000153,丰原药业,安徽,化学制药,20000920
33,000159.SZ,000159,国际实业,新疆,石油贸易,20000926
34,000404.SZ,000404,长虹华意,江西,家用电器,19960619
35,000407.SZ,000407,胜利股份,山东,供气供热,19960703
36,000409.SZ,000409,云鼎科技,山东,软件服务,19960627
37,000411.SZ,000411,英特集团,浙江,医药商业,19960716
38,000416.SZ,000416,民生控股,山东,多元金融,19960719
39,000417.SZ,000417,合肥百货,安徽,百货,19960812
40,000419.SZ,000419,通程控股,湖南,百货,19960816
41,000421.SZ,000421,南京公用,江苏,供气供热,19960806
42,000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808
43,000429.SZ,000429,粤高速A,广东,路桥,19980220
44,000430.SZ,000430,张家界,湖南,旅游景点,19960829
45,000498.SZ,000498,山东路桥,山东,建筑工程,19970609
46,000501.SZ,000501,鄂武商A,湖北,百货,19921120
47,000504.SZ,000504,南华生物,湖南,生物制药,19921208
48,000505.SZ,000505,京粮控股,海南,食品,19921221
49,000506.SZ,000506,中润资源,山东,黄金,19930312
50,000507.SZ,000507,珠海港,广东,港口,19930326
51,000510.SZ,000510,新金路,四川,化工原料,19930507
52,000514.SZ,000514,渝开发,重庆,区域地产,19930712
53,000518.SZ,000518,四环生物,江苏,生物制药,19930908
54,000520.SZ,000520,长航凤凰,湖北,水运,19931025
55,000521.SZ,000521,长虹美菱,安徽,家用电器,19931018
56,000524.SZ,000524,岭南控股,广东,酒店餐饮,19931118
57,000526.SZ,000526,学大教育,福建,文教休闲,19931101
58,000528.SZ,000528,柳工,广西,工程机械,19931118
59,000529.SZ,000529,广弘控股,广东,出版业,19931118
60,000530.SZ,000530,冰山冷热,辽宁,机械基件,19931208
61,000531.SZ,000531,穗恒运A,广东,火力发电,19940106
62,000532.SZ,000532,华金资本,广东,多元金融,19940103
63,000533.SZ,000533,顺钠股份,广东,电气设备,19940103
64,000534.SZ,000534,万泽股份,广东,生物制药,19940110
65,000541.SZ,000541,佛山照明,广东,家用电器,19931123
66,000543.SZ,000543,皖能电力,安徽,火力发电,19931220
67,000544.SZ,000544,中原环保,河南,环境保护,19931208
68,000545.SZ,000545,金浦钛业,吉林,化工原料,19931215
69,000548.SZ,000548,湖南投资,湖南,路桥,19931220
70,000550.SZ,000550,江铃汽车,江西,汽车整车,19931201
71,000551.SZ,000551,创元科技,江苏,专用机械,19940106
72,000552.SZ,000552,靖远煤电,甘肃,煤炭开采,19940106
73,000554.SZ,000554,泰山石油,山东,石油贸易,19931215
