,ts_code
0,000023.SZ
1,000030.SZ
2,000042.SZ
3,000166.SZ
4,000333.SZ
5,000401.SZ
6,000524.SZ
7,000537.SZ
8,000543.SZ
9,000546.SZ
10,000563.SZ
11,000589.SZ
12,000603.SZ
13,000607.SZ
14,000617.SZ
15,000619.SZ
16,000623.SZ
17,000656.SZ
18,000672.SZ
19,000686.SZ
20,000690.SZ
21,000719.SZ
22,000728.SZ
23,000736.SZ
24,000750.SZ
25,000776.SZ
26,000783.SZ
27,000789.SZ
28,000796.SZ
29,000861.SZ
30,000877.SZ
31,000909.SZ
32,000921.SZ
33,000961.SZ
34,000987.SZ
35,002001.SZ
36,002019.SZ
37,002033.SZ
38,002039.SZ
39,002061.SZ
40,002093.SZ
41,002099.SZ
42,002111.SZ
43,002146.SZ
44,002165.SZ
45,002186.SZ
46,002215.SZ
47,002233.SZ
48,002324.SZ
49,002331.SZ
50,002332.SZ
51,002391.SZ
52,002394.SZ
53,002423.SZ
54,002437.SZ
55,002440.SZ
56,002443.SZ
57,002467.SZ
58,002468.SZ
59,002488.SZ
60,002493.SZ
61,002500.SZ
62,002543.SZ
63,002560.SZ
64,002583.SZ
65,002600.SZ
66,002602.SZ
67,002621.SZ
68,002634.SZ
69,002657.SZ
70,002659.SZ
71,002669.SZ
72,002673.SZ
73,002699.SZ
74,002705.SZ
75,002707.SZ
76,002713.SZ
77,002735.SZ
78,002736.SZ
79,002739.SZ
80,002752.SZ
81,002768.SZ
82,002797.SZ
83,002800.SZ
84,002820.SZ
85,002825.SZ
86,002827.SZ
87,002833.SZ
88,002839.SZ
89,002855.SZ
90,002861.SZ
91,002871.SZ
92,002878.SZ
93,002909.SZ
94,002926.SZ
95,002928.SZ
96,002935.SZ
97,002939.SZ
98,002955.SZ
99,002966.SZ
100,003816.SZ
101,300033.SZ
102,300058.SZ
103,300070.SZ
104,300138.SZ
105,300144.SZ
106,300172.SZ
107,300180.SZ
108,300203.SZ
109,300251.SZ
110,300364.SZ
111,300386.SZ
112,300401.SZ
113,300483.SZ
114,300492.SZ
115,300511.SZ
116,300552.SZ
117,300563.SZ
118,300566.SZ
119,300600.SZ
120,300606.SZ
121,300607.SZ
122,300610.SZ
123,300639.SZ
124,300658.SZ
125,300659.SZ
126,300664.SZ
127,300689.SZ
128,300692.SZ
129,300702.SZ
130,300710.SZ
131,300737.SZ
132,300753.SZ
133,300773.SZ
134,300778.SZ
135,600000.SH
136,600004.SH
137,600009.SH
138,600011.SH
139,600023.SH
140,600026.SH
141,600029.SH
142,600030.SH
143,600061.SH
144,600064.SH
145,600107.SH
146,600109.SH
147,600115.SH
148,600120.SH
149,600125.SH
150,600126.SH
151,600138.SH
152,600148.SH
153,600262.SH
154,600325.SH
155,600352.SH
156,600356.SH
157,600361.SH
158,600376.SH
159,600377.SH
160,600383.SH
161,600390.SH
162,600416.SH
163,600446.SH
164,600449.SH
165,600452.SH
166,600468.SH
167,600475.SH
168,600482.SH
169,600488.SH
170,600528.SH
171,600547.SH
172,600556.SH
173,600562.SH
174,600583.SH
175,600585.SH
176,600605.SH
177,600629.SH
178,600635.SH
179,600636.SH
180,600638.SH
181,600643.SH
182,600668.SH
183,600681.SH
184,600705.SH
185,600720.SH
186,600739.SH
187,600764.SH
188,600783.SH
189,600784.SH
190,600790.SH
191,600801.SH
192,600802.SH
193,600804.SH
194,600823.SH
195,600829.SH
196,600858.SH
197,600897.SH
198,600900.SH
199,600909.SH
200,600977.SH
201,600999.SH
202,601006.SH
203,601007.SH
204,601066.SH
205,601069.SH
206,601099.SH
207,601108.SH
208,601111.SH
209,601128.SH
210,601138.SH
211,601162.SH
212,601163.SH
213,601169.SH
214,601229.SH
215,601288.SH
216,601333.SH
217,601398.SH
218,601399.SH
219,601577.SH
220,601595.SH
221,601628.SH
222,601688.SH
223,601800.SH
224,601801.SH
225,601872.SH
226,601992.SH
227,603018.SH
228,603033.SH
229,603040.SH
230,603043.SH
231,603060.SH
232,603088.SH
233,603093.SH
234,603103.SH
235,603111.SH
236,603129.SH
237,603131.SH
238,603136.SH
239,603200.SH
240,603208.SH
241,603229.SH
242,603233.SH
243,603236.SH
244,603239.SH
245,603258.SH
246,603330.SH
247,603357.SH
248,603378.SH
249,603393.SH
250,603458.SH
251,603578.SH
252,603583.SH
253,603590.SH
254,603600.SH
255,603610.SH
256,603639.SH
257,603683.SH
258,603687.SH
259,603689.SH
260,603699.SH
261,603706.SH
262,603725.SH
263,603758.SH
264,603797.SH
265,603815.SH
266,603828.SH
267,603871.SH
268,603878.SH
269,603909.SH
270,603918.SH
271,603939.SH
272,603963.SH
273,603968.SH
274,603982.SH
275,688166.SH
276,601988.SH
277,601398.SH
278,601318.SH
279,000661.SZ
280,600276.SH
281,600030.SH
282,000776.SZ
283,603288.SH
284,002352.SZ
285,600900.SH
286,600887.SH
287,000333.SZ
288,000651.SZ
