code,name,lowprice,upprice,order,tar_value,now_price,jiazhilv,date

1,阿里巴巴-树,1,1.2,1.0,,,,
651,格力电器-树,42,63,1.1,,,,
333,美的集团-树,39,63,1.2,,,,
600887,伊利-树,21.4,30.8,1.3,,,,

002352,顺丰控股-树,30,43,1.5,,,,

601988,中国银行-树,1,1.2,1.6,,,,

600085,同仁堂-树,1,1.2,1.7,,,,



600036,招商银行,17.7,29,0,,,,
1,平安银行,11.15,13.8,1,,,,

600900,长江电力-老沈,17.1,17.3,2,,,,

600612,老凤祥,50,60,3,,,,
600518,康美药业,25,31,4,,,,

2594,比亚迪,61,75,10,,,,
2573,清新环境,20,26,11,,,,
2108,沧州明珠,14.7,23,12,,,,

600276,恒瑞医药,56.8,80,15,,,,
2081,金螳螂,13.15,16,16,,,,

423,东阿阿胶,61,72,18,,,,

776,广发证券,24,27,21,,,,
601318,中国平安,40,62,22,,,,
601211,国泰君安,14,21,23,,,,
2294,信立泰,39,45,24,,,,
300015,爱尔眼科,32,40,25,,,,
300498,温氏股份,20.32,32,26,,,,

600030,中信证券,14.3,21,28,,,,
538,云南白药,94.9,120,29,,,,

600104,上汽集团,26,32,31,,,,
