code,name,lowprice,upprice,order,tar_value,now_price,jiazhilv,date


000651.SZ,格力电器-树,50,64,1.1,,,,毛利率低
000333.SZ,美的集团-树,45,63,1.2,,,,高
600887.SH,伊利-树,25,30.8,1.3,,,,净利率低-(价格低位)

600036.SH,招商银行(重点),30,35,1,,,,毛利率低-市盈率低
600900.SH,长江电力-老沈,16.1,17.3,2.3,,,,市盈率低
600298.SH,安琪酵母, 25, 30,0,,,, 18 年底
603288.SH,海天味业,65,90,1,,,,市盈率低-(非闭眼股-价格略低位 - 18年没有跌.)
300999.SZ,金龙鱼,1,1,1,,,, 测试

002352.SZ,顺丰控股-树,30,43,1.5,,,,


000001.SZ,平安银行(重点),11.15,13.8,1,,,, 市盈率低-毛利率低-净利率低
000776.SZ,广发证券,12,15,21,2.4,,,市净率低-毛利率低-(价格低位)
600030.SH,中信证券,1,1,1,,,,
300059.SZ,东方财富,1,1,1,,,,
601236.SH,红塔证券,1,1,1,,,,

600085.SH,同仁堂-树,1,1.2,1.7,,,,下跌的观望
600276.SH,恒瑞医药,56.8,80,15,,,,市盈率低
000538.SZ,云南白药,94.9,120,1,,,,毛利率低-(价格低位)
300760.SZ,迈瑞医药,1,1,1,,,,
300347.SZ,泰格医药,1,1,1,,,,
603259.SH,药明康德,1,1,1,,,,
300122.SZ,智飞生物,1,1,1,,,,

300015.SZ,爱尔眼科,1,1,1,,,,
000661.SZ,长春高新,1,1,1,,,,

601318.SH,中国平安,1,1,1,,,, 毛利率较低(行业龙头+5年走势好+闭眼股+4 分位)
601398.SH,工商银行,1,1,1,,,,
002142.SZ,宁波银行,1,1,1,,,,
601988.SH,中国银行-树,1,1.2,1.6,,,,市净率低-ROE低
601166.SH,兴业银行,1,1,1,,,,市净率较低
600016.SH,民生银行,1,1,1,,,,
601328.SH,交通银行,1,1,1,,,,市盈率低-净利率低-ROE低
600000.SH,浦发银行,1,1,1,,,,市净率低-毛利率低-净利率低
601288.SH,农业银行,1,1,1,,,,市净率低


600837.SH,海通证券,1,1,1,,,,市净率低-毛利率低
601211.SH,国泰君安,14,21,1,,,,市净率低
601688.SH,华泰证券,1,1,1,,,,市净率低-(价格低位)
600030.SH,中信证券,14.3,21,28,,,,毛利率较低


002714.SZ,牧原股份,1,1,1,,,,市盈率低-(价格略低位)
000895.SZ,双汇发展,1,1,1,,,,毛利率低




601888.SH,中国国旅,1,1,1,,,,高-(价格低位))
601668.SH,中国建筑,1,1,1,,,,
601088.SH,中国神华,1,1,1,,,,
600028.SH,中国石化,1,1,1,,,,
601857.SH,中国石油,1,1,1,,,,
002493.SZ,荣盛石化,1,1,1,,,,



002120.SZ,韵达股份,1,1,1,,,, (高)
002271.SZ,东方雨虹（防水）,1,1,1,,,, (高)

002607.SZ,中公教育,1,1,1,,,,



002594.SZ,比亚迪,61,75,10,,,,
002460.SZ,赣锋锂业,1,1,1,,,,
300014.SZ,亿纬锂能,1,1,1,,,,
300750.SZ,宁德时代,1,1,1,,,,
300124.SZ,汇川技术,1,1,1,,,,
000725.SZ,京东方A,1,1,1,,,,


600519.SH,贵州茅台,1,1,1,,,, 市盈率低
000858.SZ,五 粮 液,1,1,1,,,,高
000568.SZ,泸州老窖,1,1,1,,,,高(价格低位)
002304.SZ,洋河股份,1,1,1,,,,高(价格低位)
000568.SZ,泸州老窖,1,1,1,,,,


601601.SH,中国太保,1,1,1,,,,
601628.SH,中国人寿,1,1,1,,,,

600104.SH,上汽集团,1,1,1,,,,
000338.SZ,潍柴动力,1,1,1,,,,
600031.SH,三一重工,1,1,1,,,,

002415.SZ,海康威视,1,1,1,,,,
002475.SZ,立讯精密,1,1,1,,,,
002241.SZ,歌尔股份,1,1,1,,,,
002335.SZ,科华数据,1,1,1,,,,
002475.SZ,立讯精密,1,1,1,,,,
603501.SH,韦尔股份,1,1,1,,,,
688008.SH,澜起科技,1,1,1,,,,
600570.SH,恒生电子,1,1,1,,,,
600588.SH,用友网络,1,1,1,,,,


000002.SZ,万科A,1,1,1,,,,
002027.SZ,分众传媒,1,1,1,,,,
601012.SH,隆基股份,1,1,1,,,,

510300,华泰柏瑞沪深300ETF(300ETF),3.996,3.2,a0,,,,陈小章老师的基金-三年评级三星 5 年 3 星-345亿-2012
159915,易方达创业板ETF(创业板),42,64,a0,,,,陈小章老师的基金-四分位排名优秀-3 年 2 星-193 亿-2011
159902,华夏中小板ETF(中小板),42,64,a0,,,,陈小章老师的基金-不考虑-22亿-2006
513030,华安德国30(DAX)ETF(德国30),42,64,a0,,,,陈小章老师的基金-不考虑-
511880,银华日利A,42,64,a0,,,,陈小章老师的基金-不考虑-
159920,华夏恒生ETF(QDII),42,64,a0,,,,陈小章老师的基金-不考虑-
512010,医药 ETF,1.9, 2.0,1,,,, 跟踪沪深 300 医药指数
